Completed	JS	p_corr
4	2	-0.4096149930667551
4	3	-0.4225424942937287
4	4	-0.4240582409179668
4	5	-0.423315514294667
4	6	-0.42110066488138664
4	7	-0.42067913221119085
4	8	-0.4193651893348537
4	9	-0.41599865984809437
4	10	-0.4102294821748507
4	11	-0.4034089631734084
5	2	-0.4428585463554995
5	3	-0.45862004825733294
5	4	-0.463613152270178
5	5	-0.4647878953094107
5	6	-0.4630095875362
5	7	-0.4611342378761736
5	8	-0.45912634340286895
5	9	-0.45571624256044624
5	10	-0.4506179464513913
5	11	-0.4449945707225284
5	12	-0.4382387141096993
5	13	-0.4314328812935754
5	14	-0.4256775947569798
5	15	-0.4217141009553556
5	16	-0.4183826267323617
5	17	-0.41492200505313703
5	18	-0.4121964580844335
5	19	-0.40999174617495565
5	20	-0.408102180401069
5	21	-0.4059885616457096
5	22	-0.4039848892167725
5	23	-0.4007293484607571
6	2	-0.4775950398768202
6	3	-0.49290171329071153
6	4	-0.49873484704507026
6	5	-0.5019098824491889
6	6	-0.5011563678435427
6	7	-0.4993879435743393
6	8	-0.49648848489626185
6	9	-0.49276005355669755
6	10	-0.48790879111217467
6	11	-0.4828575259135879
6	12	-0.47713770136330586
6	13	-0.4704501723327727
6	14	-0.4641588500753222
6	15	-0.45909541877157817
6	16	-0.455455019323283
6	17	-0.4514379348706967
6	18	-0.44847576462614314
6	19	-0.44627650982242656
6	20	-0.444446374736252
6	21	-0.44216091393923074
6	22	-0.4393284574639629
6	23	-0.43643710390571755
6	24	-0.4334501833553076
6	25	-0.4294407486656869
6	26	-0.42479151300963347
6	27	-0.42010331303864273
6	28	-0.41525141503628576
6	29	-0.41085906153944973
6	30	-0.4061841880713419
6	31	-0.40194752020660723
7	2	-0.5091954834881857
7	3	-0.529357423105644
7	4	-0.5348903707380959
7	5	-0.5379775247537196
7	6	-0.5382065246417832
7	7	-0.5367500045204835
7	8	-0.5338544952283129
7	9	-0.5297165003960905
7	10	-0.5250326739937518
7	11	-0.5203696742928826
7	12	-0.5157091927216345
7	13	-0.5098909077048764
7	14	-0.5035465181811254
7	15	-0.4981728441677069
7	16	-0.49365186260556854
7	17	-0.48993638889903385
7	18	-0.4863351432486311
7	19	-0.48373944151939524
7	20	-0.4817221744672136
7	21	-0.47938706390333075
7	22	-0.47628041571950297
7	23	-0.47253883598490204
7	24	-0.4696299220100046
7	25	-0.4659817587074313
7	26	-0.46182221047276706
7	27	-0.4568764775278969
7	28	-0.4514885869691786
7	29	-0.4465272147836142
7	30	-0.4421420382862196
7	31	-0.4377970686014045
7	32	-0.433331228385851
7	33	-0.4282850068814006
7	34	-0.4223390393171691
7	35	-0.41646794292612027
8	2	-0.5334668653538976
8	3	-0.5575064673321285
8	4	-0.5665596741980349
8	5	-0.5699292009061347
8	6	-0.570124376773331
8	7	-0.5694454600473607
8	8	-0.5670108936869623
8	9	-0.5631179662060161
8	10	-0.5584646969950244
8	11	-0.5540957873067511
8	12	-0.5498377855875037
8	13	-0.5449707216755265
8	14	-0.5393755925188777
8	15	-0.5339261046819013
8	16	-0.5291546169685898
8	17	-0.5247224489668746
8	18	-0.5214054139156014
8	19	-0.5182603327214483
8	20	-0.5159198116153046
8	21	-0.5134989317915637
8	22	-0.5104608927604743
8	23	-0.5066283683309024
8	24	-0.5029947482544923
8	25	-0.49955502725447704
8	26	-0.4958245739243552
8	27	-0.49143476094521843
8	28	-0.48595538825560003
8	29	-0.4806017572403125
8	30	-0.4757343736559264
8	31	-0.47163736365605047
8	32	-0.4671115758391714
8	33	-0.46235872520315907
8	34	-0.45635662796653126
8	35	-0.44986598751832835
9	2	-0.5526787777627072
9	3	-0.5787795950179634
9	4	-0.5906001259827697
9	5	-0.5971427371871207
9	6	-0.5975419337465062
9	7	-0.596737519547558
9	8	-0.5949876307449207
9	9	-0.591520214443918
9	10	-0.5872485786488348
9	11	-0.5830320564116793
9	12	-0.5791175626103285
9	13	-0.5746398986822238
9	14	-0.5699264672311715
9	15	-0.565093914561522
9	16	-0.5602434972831702
9	17	-0.5556288627481771
9	18	-0.5516931783997822
9	19	-0.5488433364080939
9	20	-0.5459677513066895
9	21	-0.5433011753974479
9	22	-0.5402488493300351
9	23	-0.5365349100719687
9	24	-0.5327851271752078
9	25	-0.5287379600061239
9	26	-0.5251682925702944
9	27	-0.5211968939582374
9	28	-0.51630433647138
9	29	-0.5109026766180147
9	30	-0.505705712221635
9	31	-0.5011756115422675
9	32	-0.4969204689669145
9	33	-0.4921753812427192
9	34	-0.4865094180801445
9	35	-0.4800161875703376
10	2	-0.5710071041065112
10	3	-0.5993917325295333
10	4	-0.6107362615953325
10	5	-0.6186865870889993
10	6	-0.6216350430670283
10	7	-0.6207196842588575
10	8	-0.6187888689589707
10	9	-0.6157710194602872
10	10	-0.6118546810440251
10	11	-0.6079419710703281
10	12	-0.6042201805161433
10	13	-0.6000971862040936
10	14	-0.5957912126294866
10	15	-0.5917248431295549
10	16	-0.5873894887919735
10	17	-0.5827006703033594
10	18	-0.5786022210233139
10	19	-0.5752135045272042
10	20	-0.5726703712303579
10	21	-0.5695148144927226
10	22	-0.5662685544717934
10	23	-0.5625587113318665
10	24	-0.5589022916775027
10	25	-0.5547266455786241
10	26	-0.550574194827353
10	27	-0.5467239743236875
10	28	-0.5422107331940371
10	29	-0.5373599522933812
10	30	-0.5321266494750767
10	31	-0.5273204857056754
10	32	-0.5227615711604157
10	33	-0.5183277289542216
10	34	-0.5127839940315849
10	35	-0.5066476600065404
11	2	-0.595904893221978
11	3	-0.6246686352642088
11	4	-0.6343521254804956
11	5	-0.6396549317287199
11	6	-0.6424722100763235
11	7	-0.6432254603469681
11	8	-0.6406085276159464
11	9	-0.6370272605094032
11	10	-0.6333232095256032
11	11	-0.6295892933553471
11	12	-0.626060856302167
11	13	-0.6221163734379977
11	14	-0.618157525000509
11	15	-0.6144734092102622
11	16	-0.6109033730735128
11	17	-0.6066581085722632
11	18	-0.6024569750811722
11	19	-0.5989358639594458
11	20	-0.5959003617042216
11	21	-0.5931489507088957
11	22	-0.5894604185232117
11	23	-0.5855968828918048
11	24	-0.5819193910905256
11	25	-0.5778494374879848
11	26	-0.5735543351995539
11	27	-0.5692032091865858
11	28	-0.5648787874906216
11	29	-0.5604026462546888
11	30	-0.5557205782469702
11	31	-0.5508796260354503
11	32	-0.5460766043503666
11	33	-0.5413708875467108
11	34	-0.5361877867929324
11	35	-0.5302025170271673
12	2	-0.5951593227316643
12	3	-0.6278709105960508
12	4	-0.6434480012100067
12	5	-0.651370951407078
12	6	-0.6546198388719702
12	7	-0.656472929353517
12	8	-0.6559521255935344
12	9	-0.6524839536484858
12	10	-0.6489494084257904
12	11	-0.6458120722409081
12	12	-0.6427220318115622
12	13	-0.639170722409071
12	14	-0.6355226154313306
12	15	-0.6322686265722919
12	16	-0.6291748088961395
12	17	-0.6256974640335137
12	18	-0.6219889123434232
12	19	-0.6184345206954183
12	20	-0.6152757861192447
12	21	-0.612104926246556
12	22	-0.6087866320073099
12	23	-0.6046001331768749
12	24	-0.6008419656652689
12	25	-0.5968362834998747
12	26	-0.5926889071994257
12	27	-0.5882473262055501
12	28	-0.5835590931604943
12	29	-0.5793535712180778
12	30	-0.5751266221017499
12	31	-0.5709369907204479
12	32	-0.5661668080022896
12	33	-0.5612721984953627
12	34	-0.5559067728837013
12	35	-0.5503218585912975
13	2	-0.5872193048493298
13	3	-0.6218018651061049
13	4	-0.6425618101576467
13	5	-0.6559590115252873
13	6	-0.6621461920056031
13	7	-0.6648954413110835
13	8	-0.665698687899785
13	9	-0.6642586370353387
13	10	-0.6611485670249673
13	11	-0.6583653633799135
13	12	-0.6559766578286997
13	13	-0.6529299569761534
13	14	-0.6497273003265641
13	15	-0.646841070504819
13	16	-0.6442358887793348
13	17	-0.6413217726484928
13	18	-0.6384497303238161
13	19	-0.6354039894523852
13	20	-0.632261333190443
13	21	-0.6290367717034092
13	22	-0.6253887982427283
13	23	-0.6216330126012996
13	24	-0.6175775005730355
13	25	-0.6135163708476601
13	26	-0.6094284544644369
13	27	-0.605146016697476
13	28	-0.6003879169179092
13	29	-0.5958638056327762
13	30	-0.5919324265406184
13	31	-0.5881805845267134
13	32	-0.5840993557974858
13	33	-0.5792879938647726
13	34	-0.5738090815466945
13	35	-0.5681051698077327
14	2	-0.5810869864148972
14	3	-0.6147372419934758
14	4	-0.6351940462964281
14	5	-0.65273767539982
14	6	-0.6636259445566155
14	7	-0.6691775155984153
14	8	-0.6710343192361883
14	9	-0.6709310297438671
14	10	-0.6697716423055956
14	11	-0.6675520215701124
14	12	-0.665606571064524
14	13	-0.6632963623187355
14	14	-0.6605907287100905
14	15	-0.658153216820911
14	16	-0.6559448727583154
14	17	-0.6535640104453785
14	18	-0.6512773709724841
14	19	-0.6491132443104688
14	20	-0.6465098072960247
14	21	-0.6433548056496731
14	22	-0.6397310637336926
14	23	-0.6357401546350524
14	24	-0.632160939755937
14	25	-0.6278551371435747
14	26	-0.6237434159673292
14	27	-0.6195447376923015
14	28	-0.6149818365441013
14	29	-0.6104129905806828
14	30	-0.6062201558055923
14	31	-0.6027905673979376
14	32	-0.5991680003061058
14	33	-0.5950809058225704
14	34	-0.5897528986161564
14	35	-0.5839840335881592
15	2	-0.5806768700494005
15	3	-0.6126937977619344
15	4	-0.6314387378131302
15	5	-0.6470208910059865
15	6	-0.6617292179917127
15	7	-0.6713846779157382
15	8	-0.6758476641880248
15	9	-0.6765511022526622
15	10	-0.6766364592922818
15	11	-0.6762039618442599
15	12	-0.674776769532805
15	13	-0.6728581862746122
15	14	-0.6708103478085414
15	15	-0.6687749804178224
15	16	-0.6669552817806617
15	17	-0.6649859406279277
15	18	-0.663251287873922
15	19	-0.6616657380996056
15	20	-0.660034823040993
15	21	-0.6574199560146885
15	22	-0.6538819795251095
15	23	-0.649983559385542
15	24	-0.646212358588806
15	25	-0.6424441386952505
15	26	-0.6380778242237339
15	27	-0.6338298346646891
15	28	-0.629329184021626
15	29	-0.6249234963089423
15	30	-0.6206402797322506
15	31	-0.616911630853836
15	32	-0.6135727777517037
15	33	-0.6098783261049241
15	34	-0.605244616087746
15	35	-0.5996364773424501
16	2	-0.5751500266215349
16	3	-0.6118766797154059
16	4	-0.629889540962515
16	5	-0.6443403019776545
16	6	-0.656861399879519
16	7	-0.6705637302344964
16	8	-0.6789400539866488
16	9	-0.682011643055246
16	10	-0.6827122539005548
16	11	-0.6833351566159325
16	12	-0.6835339753020728
16	13	-0.6820279310024084
16	14	-0.6802527278253215
16	15	-0.6787292665842105
16	16	-0.6772031463040639
16	17	-0.6755497893358208
16	18	-0.6741789176603177
16	19	-0.6730898690755334
16	20	-0.6720043606528021
16	21	-0.6703444857177648
16	22	-0.6672934623871648
16	23	-0.6634561918590696
16	24	-0.6597640959220759
16	25	-0.6558091717205506
16	26	-0.6519984831809799
16	27	-0.6474717986376377
16	28	-0.6429066699287365
16	29	-0.638527686218771
16	30	-0.6343714106641044
16	31	-0.6305035020713909
16	32	-0.6268558829380152
16	33	-0.6234201496621623
16	34	-0.6191337898915522
16	35	-0.6141813381171434
17	2	-0.5649142647645222
