Completed	MM	p_corr
7	2	-0.40756232151235416
7	3	-0.42217695581571396
7	4	-0.42389663009516687
7	5	-0.42449021976487294
7	6	-0.4232111243865319
7	7	-0.4206961917355482
7	8	-0.418109374722779
7	9	-0.4143816767281264
7	10	-0.4103918108361495
7	11	-0.4064997050142524
7	12	-0.4027295068380422
8	2	-0.42887333702095337
8	3	-0.4452710571626183
8	4	-0.44923627447931735
8	5	-0.4494724600010506
8	6	-0.4480846025131954
8	7	-0.4460626894179635
8	8	-0.4434042487529602
8	9	-0.44010440437181214
8	10	-0.4360681707336121
8	11	-0.43217131343117304
8	12	-0.42855354279095004
8	13	-0.42462074889562856
8	14	-0.4205997987539999
8	15	-0.4165861422674582
8	16	-0.4127937241391021
8	17	-0.40954428626880107
8	18	-0.4072903691702368
8	19	-0.40579010872330457
8	20	-0.40480441190956806
8	21	-0.4039102111542452
8	22	-0.402604137031015
8	23	-0.40073722459792416
9	2	-0.44298054521463676
9	3	-0.4627105349629016
9	4	-0.4682153324261026
9	5	-0.47041807455874124
9	6	-0.4689803562199838
9	7	-0.46697110773054956
9	8	-0.46482784875396715
9	9	-0.461577486363565
9	10	-0.4580552884628432
9	11	-0.45420630520933214
9	12	-0.45061125008309644
9	13	-0.4468257259951219
9	14	-0.44283369025590347
9	15	-0.43922395073705933
9	16	-0.43557086375203774
9	17	-0.43212270046310325
9	18	-0.42933905021709223
9	19	-0.42765172556809533
9	20	-0.4264414322588036
9	21	-0.42535971739444023
9	22	-0.4240096963005977
9	23	-0.42219250049921503
9	24	-0.4202343614094055
9	25	-0.41789373276768943
9	26	-0.4152533596424997
9	27	-0.4117464072327447
9	28	-0.4067285831110353
9	29	-0.40058214160979194
10	2	-0.4561622467309633
10	3	-0.47702981689275437
10	4	-0.4836428993941705
10	5	-0.486776244943669
10	6	-0.48696060410666675
10	7	-0.4848196491180489
10	8	-0.4826582054291656
10	9	-0.47981428633820455
10	10	-0.47632292741613563
10	11	-0.4729580971719179
10	12	-0.46943316319174205
10	13	-0.4657027528675075
10	14	-0.4618794339789437
10	15	-0.4582879355013873
10	16	-0.45504145555483316
10	17	-0.4517033078242513
10	18	-0.44871247449964174
10	19	-0.4465195412337298
10	20	-0.4451286125296766
10	21	-0.4438532648102699
10	22	-0.44238827455015056
10	23	-0.4406087464934546
10	24	-0.4387346654961791
10	25	-0.4363259182985532
10	26	-0.43357935146683285
10	27	-0.4303736378695067
10	28	-0.42603284887084875
10	29	-0.42054620422901534
10	30	-0.4142150376790708
10	31	-0.40751882997976135
