Reg	2010. 07	2010. 08	2010. 09	2010. 10	2010. 11	2010. 12	2011. 01	2011. 02	2011. 03	2011. 04	2011. 05	2011. 06	2011. 07	2011. 08	2011. 09	2011. 10	2011. 11	2011. 12	2012. 01	2012. 02	2012. 03	2012. 04	2012. 05	2012. 06	2012. 07	2012. 08	2012. 09	2012. 10	2012. 11	2012. 12	2013. 01	2013. 02	2013. 03	2013. 04	2013. 05	2013. 06	2013. 07	2013. 08	2013. 09	2013. 10	2013. 11	2013. 12	2014. 01	2014. 02	2014. 03	2014. 04	2014. 05	2014. 06	2014. 07	2014. 08	2014. 09	2014. 10	2014. 11	2014. 12	2015. 01	2015. 02	2015. 03	2015. 04	2015. 05	2015. 06	2015. 07	2015. 08	2015. 09	2015. 10	2015. 11	2015. 12	2016. 01	2016. 02	2016. 03	2016. 04	2016. 05	2016. 06	2016. 07	2016. 08	2016. 09	2016. 10	2016. 11	2016. 12	2017. 01	2017. 02	2017. 03	2017. 04	2017. 05	2017. 06	2017. 07	2017. 08	2017. 09	2017. 10	2017. 11	2017. 12	2018. 01	2018. 02	2018. 03	2018. 04	2018. 05	2018. 06	2018. 07	2018. 08	2018. 09	2018. 10	2018. 11	2018. 12	2019. 01	2019. 02	2019. 03	2019. 04	2019. 05	2019. 06	2019. 07	2019. 08	2019. 09	2019. 10
Cap	-0.260949967	-0.002529554	-0.313874036	0.364524475	-0.49771554	0.874266827	-0.316030534	-0.359340214	-0.07180707	-0.337505666	-0.685959895	-0.070818675	-0.334450626	-0.330407192	-0.354847509	0.064681319	-0.31243637	0.095950548	-0.170916151	-0.162829281	-0.265712234	-0.339752019	-0.356644591	-0.160582929	-0.097774907	0.140338477	-0.327981131	0.220218779	-0.303990084	-0.029126369	-0.647771899	-0.229411175	-0.765031509	-0.365450293	-0.202365088	-0.249448641	-0.737626006	-0.635282178	-0.469411496	-0.217999703	0.273951535	-0.48962867	-0.460426085	-0.525839875	-0.494390938	-0.162200302	-0.003068678	0.12398503	-0.250706598	-0.330766608	-0.651815334	-0.208385314	-0.181518936	-0.55306567	-0.348467867	-0.238666148	-0.660890599	-0.271552751	-0.526379	0.099724421	0.438294697	0.239088141	-0.112510981	-0.129852824	-0.264364423	0.113651807	-0.007651238	-0.121765954	-0.486933047	0.033501943	-0.095708263	0.801125583	-0.075131672	0.218691259	-0.075760651	-0.064259325	-0.014120733	0.919733005	-0.005045469	-0.029755348	-0.224019928	-0.158965555	-0.199220195	0.356886876	0.628336135	0.945071863	0.60614217	0.646037394	0.575412065	0.674700854	0.990807604	0.647475059	-0.060844869	0.236122956	0.611892833	0.771833144	0.555913724	0.757636195	0.705610667	0.407115322	0.679732684	1.100878885	0.436497615	0.593922011	0.593922011	-0.208025897	0.159836819	0.90715343	0.137283438	0.120211157	0.172236685	-0.364911169
SO	0.006730488	-0.742151434	-0.689684856	-0.620626284	-0.612554503	1.822881258	0.398211876	-0.176678318	-0.68250994	0.507629355	-0.465917144	-0.261880453	0.25202295	-0.324212541	-0.255153968	0.328256439	0.605387594	0.636777854	0.168166112	-0.508069779	-0.485199733	-0.515693128	-0.258741427	-0.435872181	-0.479370113	0.134085258	0.0443988	0.328704871	-0.164570646	-0.194615609	-0.007170913	-0.579370513	-0.765021481	-0.794618012	-0.100444829	-0.398203869	-0.795963309	-0.256947698	-0.113000933	-0.037215876	0.623324885	-0.150669245	-0.23004176	-0.23587138	0.291036559	0.573548901	0.615701536	-0.232283922	0.032291129	0.654715145	-0.707622148	0.860993998	-0.342149832	-0.20448112	0.030048967	-0.500894863	-0.515244696	0.42825684	-0.346634155	-0.365468311	0.052022149	0.553369448	0.290139695	-0.507172915	-0.249324349	-0.419728618	0.608078187	-0.060982787	-0.382060306	0.071304738	0.25202295	0.125116612	0.369960642	0.539468047	0.147089795	-0.620626284	-0.0986511	2.421538363	-0.013897397	-0.122866443	-0.057395329	0.330947033	-0.121521146	0.091035758	0.191933023	0.554714745	-0.242597864	-0.453809472	-0.134974115	-0.134974115	-0.308517411	-0.354705937	-0.380715009	-0.286095796	0.164578654	0.328256439	-0.075781053	-0.291028552	-0.099996397	-0.144839625	0.030048967	3.456520085	-0.236319812	0.964133425	0.964133425	-0.55336144	-0.560984789	-0.070848298	-0.13004136	-0.125108605	1.506288062	-0.564123815
IC	-0.559099437	-0.532833021	-0.633208255	2.51782364	0.18011257	4.857410882	-0.794559099	0.924953096	1.885553471	-0.660412758	-0.294559099	-0.218574109	0.141651032	0.55065666	0.161350844	1.333020638	-0.435272045	0.045028143	-0.619136961	0.335834897	1.416510319	2.473733583	-0.291744841	0.256097561	-0.634146341	3.880863039	1.027204503	1.162288931	-0.81988743	-1.912757974	-0.848030019	0.189493433	-0.751407129	-0.832082552	-0.417448405	-0.196060038	-0.759849906	-0.735459662	-0.805816135	-0.828330206	0.191369606	-0.619136961	-0.032833021	-0.700750469	-0.60412758	-0.781425891	-0.688555347	1.948405253	0.450281426	-0.878986867	-0.726078799	-0.139774859	-0.796435272	-2.696060038	-0.462476548	-0.732645403	-0.459662289	-0.477485929	-0.616322702	2.420262664	0.52532833	-0.481238274	-0.660412758	-0.737335835	-0.324577861	0.329268293	-0.529080675	-0.556285178	-0.624765478	-0.623827392	-0.441838649	2.869606004	-0.27673546	-0.485928705	-0.429643527	-0.28424015	-0.446529081	0.43902439	-0.438086304	-0.564727955	-0.510318949	-0.294559099	-0.39587242	0.075984991	0.185741088	0.071294559	1.670731707	-0.607879925	0.162288931	1.988742964	2.693245779	0.324577861	0.796435272	-0.579737336	-0.59380863	-0.528142589	-0.650093809	-0.57879925	0.208255159	0.522514071	-0.297373358	-0.605065666	-0.055347092	0.35272045	0.35272045	-0.727016886	0.350844278	-0.643527205	-0.42120075	-0.385553471	-0.633208255	0.1369606
GG	-0.296580244	0.280198424	-0.163428373	0.351944686	-0.557266839	0.062151066	-0.454243293	-0.586118539	-0.16432201	-0.534159947	-0.801867974	0.003681692	-0.566203207	-0.452073032	-0.453477318	-0.182960719	-0.557011515	-0.051085472	-0.206450598	-0.132406413	-0.4321577	-0.672545976	-0.393348334	-0.138917195	0.083853672	-0.366922219	-0.618417123	0.061129767	-0.273473352	0.274325954	-0.802889273	-0.18679059	-0.76688848	-0.179769159	-0.202110077	-0.214365666	-0.717993786	-0.729355738	-0.525095918	-0.186407603	0.185728257	-0.56850113	-0.584203603	-0.58458659	-0.703057286	-0.287388552	-0.085937304	-0.022872085	-0.426668217	-0.536713195	-0.625821542	-0.522159683	-0.052106771	-0.360666762	-0.440711079	-0.096788607	-0.729738725	-0.442753678	-0.56530957	-0.083639381	0.536416836	0.247644515	-0.15257707	0.06023613	-0.260451788	0.2361549	-0.111980431	-0.079937172	-0.498031492	0.112194722	-0.147598237	0.712080281	-0.174407339	0.223260999	-0.0910438	0.124067324	0.06878951	0.557608792	0.056406258	0.069555484	-0.232493725	-0.279984133	-0.194577996	0.470798369	0.812805905	1.175111762	0.702888589	1.129791614	0.833870199	0.726378469	1.12902564	0.976724411	-0.086447954	0.495820197	0.903318538	1.07502445	0.899871654	1.238049319	1.002639876	0.548544763	0.997661043	0.662419613	0.694973521	0.521352674	0.521352674	-0.039085208	0.339050785	1.396606004	0.289390116	0.258878805	-0.097937569	-0.376496898
BS	0.169707401	-0.930464716	-0.901549053	-0.898106713	-0.546987952	1.223063683	0.17383821	-0.759036145	-0.52151463	-0.890533563	-0.903614458	0.292943201	-0.776936317	-0.876075731	-0.162822719	-0.825129088	1.596901893	-0.215834768	-0.870567986	-0.661273666	-0.31979346	-0.761790017	0.261962134	3.864716007	-0.71979346	-0.681927711	-0.177280551	-0.537349398	-0.27848537	0.071944923	-0.797590361	0.165576592	0.646127367	-0.575903614	-0.787951807	2.49535284	-0.690189329	0.295697074	-0.716351119	-0.510499139	-0.445783133	0.759036145	-0.603442341	-0.447848537	-0.48777969	-0.681239243	1.192771084	-0.402409639	0.617900172	1.406884682	-0.760413081	-0.276419966	1.804130809	0.071256454	0.182099828	-0.62616179	0.067814114	-0.518760757	-0.748709122	1.767641997	-0.436833046	-0.732185886	-0.54010327	1.687091222	-0.562822719	0.993115318	-0.376936317	-0.697762478	-0.645438898	-0.455421687	-0.544234079	-0.401032702	-0.493975904	-0.096729776	0.646815835	0.230292599	-0.487091222	0.153184165	0.675043029	-0.596557659	-0.186230637	-0.102237522	0.028571429	0.071944923	0.721170396	0.013425129	0.680550775	-0.320481928	-0.40172117	-0.047848537	0.274354561	2.231669535	0.294320138	0.575215146	0.347332186	0.058175559	0.222030981	-0.779001721	-0.456798623	1.131497418	-0.098795181	-0.144922547	-0.084337349	0.546987952	0.546987952	0.089845095	1.14939759	-0.060240964	1.001376936	0.324612737	-0.222030981	0.443717728
DG	-0.355710471	1.390494794	0.18119747	-0.904661207	-0.386821025	-0.445027867	-0.881579183	1.324259422	0.280550528	-0.920718267	-0.231268257	-0.877564918	-0.771186896	-0.031558574	-0.648751814	-0.815343811	-0.81835451	0.983046899	-0.843443666	0.799394276	-0.872547087	-0.876561352	-0.775201161	-0.857493593	-0.784233257	-0.694915862	-0.795272486	-0.871543521	-0.86652569	-0.533341696	-0.874554219	-0.53233813	-0.887600581	0.56054551	-0.08876185	0.601691726	-0.824375907	-0.164029318	0.171161807	-0.81835451	-0.455063529	3.511030268	-0.660794609	-0.339653411	-0.799286751	-0.146968692	-0.619648393	-0.225246859	0.601691726	-0.31054999	-0.727029982	-0.356714037	-0.58853784	0.07682658	0.797387144	-0.241303919	-0.034569273	-0.455063529	-0.333632014	-0.645741116	-0.249332449	0.760255193	0.122990627	-0.696922994	1.82704611	0.135033422	1.510922743	-0.023530044	1.752782208	0.454167488	-0.331624881	5.654647766	1.084407089	1.074371427	-0.711976488	1.675507607	-0.068690525	-0.009480117	0.312664648	1.343327181	-0.327610616	-0.836418702	-0.736062078	0.264493468	2.134137381	-0.787243956	0.81444777	0.802404975	0.214315156	-0.513270371	-0.493199047	-0.109836741	-0.288471533	1.226913496	-0.839429401	0.05274099	-0.845450798	1.636368524	-0.140947295	-0.213204064	0.968996971	1.572140284	-0.745094174	-0.368756832	-0.368756832	1.350352144	-0.918711134	-0.208186233	-0.914696869	-0.582516442	-0.227253992	0.521406426
GJ	-0.911807493	-0.079210431	-0.883406516	-0.904333551	-0.908817916	-1.020927036	-0.251111081	-0.926755375	-0.911807493	-0.850521174	-0.902838763	0.47834559	0.13454429	-0.892375245	0.405100965	-0.050809455	-0.832583715	-0.805677526	-0.823614985	-0.823614985	-0.838562868	-0.86247948	-0.866963845	-0.718979807	1.763863494	-0.005965807	-0.576974922	-0.76830782	-0.165908151	0.067278818	-0.693568407	-0.426001308	-0.414043002	1.846076848	0.227221162	0.68462637	-0.811656679	-0.811656679	-0.25260587	0.681636793	-0.687589254	1.926795414	0.482829954	0.101658948	-0.343787954	0.222736797	3.127110387	0.20330455	1.204812684	-0.787740067	-0.487287627	-0.742896419	-0.239152775	-0.388631601	1.017964152	0.720501288	-0.301933882	-0.597901958	-0.844542021	-0.772792184	1.582994114	-0.669651794	-0.092663526	-0.400589908	-0.729443325	-0.354251471	0.034393476	-0.856500327	0.26309608	4.09573318	-0.345282742	-0.506719874	-0.007460595	0.152481749	0.805704219	-0.81913062	-0.478318897	1.318416592	1.083734835	-0.747380784	0.550095426	-0.110600985	-0.588933228	1.639796068	0.13454429	0.27206481	0.227221162	-0.414043002	-0.508214662	1.025438093	0.215262856	0.427522789	-0.526152121	0.402111388	-0.875932574	0.97611008	-0.328840071	0.953688257	1.735462517	-0.846036809	-0.618828994	-1.638274587	1.681650139	1.630827339	1.630827339	0.0314039	0.808693795	0.952193468	-0.766813031	0.361752105	0.420048848	-0.291470364
DJ	1.338029887	-0.721622446	0.764196401	-1.324489174	-0.61232083	3.807563281	-0.759194876	-0.866788655	-0.793351632	0.190362916	-0.820677036	0.444830741	0.567795059	2.179993901	0.485818847	5.324123208	4.290881366	-0.694297042	3.218359256	-0.798475145	-0.820677036	0.130588594	-0.80189082	-0.77968893	-0.673802989	-0.4978957	0.356023178	-0.707959744	-0.668679475	0.569502897	-0.909484599	-0.866788655	-0.721622446	-0.853125953	-0.865080817	0.716376944	-0.839463251	-0.265629765	1.085269899	0.80347667	-0.77968893	-0.796767307	-0.76431839	3.959560842	0.798353156	0.362854529	-0.890698384	3.197865203	-0.24684355	1.464409881	-0.557670021	2.104849039	-0.769441903	-0.122171394	-0.631107045	-0.684050015	-0.781396767	-0.868496493	0.079353461	0.294541019	-0.762610552	-0.615736505	-0.59695029	0.093016163	-0.636230558	-0.61232083	-0.651601098	-0.070936261	-0.791643794	-0.750655688	0.979383959	0.583165599	-0.760902714	-0.660140287	-0.673802989	-0.757487039	-0.690881366	-0.234888686	0.031534004	-0.579871912	-0.600365965	3.211527905	-0.735285148	0.091308326	-0.371515706	-0.808722171	-0.672095151	0.041781031	0.934980177	-0.432997865	-0.80189082	-0.820677036	-0.796767307	0.451662092	-0.854833791	0.309911558	1.751326624	0.125465081	1.102348277	-0.675510826	-0.76431839	-0.574748399	-0.678926502	-0.608905154	-0.608905154	-0.875327844	-0.870204331	0.77273559	-0.844586764	0.250137237	-0.859957304	0.393595608
US	-0.46561648	-0.944865192	-0.789356761	0.272341715	3.258103605	-0.361001717	0.108351005	-0.91093608	-0.816217308	-0.843077855	-0.639503181	-0.701706554	-0.271937797	-0.70453398	-0.790770474	-0.773805917	-0.37655256	-0.649399172	-0.722912249	-0.860042411	-0.7935979	-0.768151065	-0.652226598	-0.676259719	2.532868828	-0.546198122	-0.674846006	-0.828940725	-0.423205089	-0.570231243	-0.816217308	1.386347571	-0.110774513	-0.773805917	-0.619711199	-0.059880844	-0.783701909	1.044229022	-0.826113299	1.072503282	-0.014642028	1.775118651	-0.462789054	1.278905382	0.952337675	-0.141876199	0.666767646	0.159244673	0.789760679	-0.731394527	-0.754013935	-0.13763506	0.126729274	-0.625366051	-0.650812885	-0.616883773	0.921235989	0.792588105	0.29354741	-0.74694537	-0.721498536	-0.194183581	0.48581238	-0.773805917	-0.259214379	1.978693325	-0.772392204	-0.739876805	-0.756841361	2.112996062	-0.601332929	-0.122084217	-0.680500858	-0.59709179	-0.205493285	-0.270524084	-0.693224275	-0.157427042	-0.717257397	0.617287691	0.405230738	0.002322529	-0.363829143	-0.090982531	-0.756841361	0.478743815	3.269413309	-0.800666465	1.813288902	-0.776633343	1.218115723	-0.008987176	-0.133393921	-0.550439261	-0.881248107	2.186509139	-0.691810562	-0.865697263	-0.766737352	0.843481773	-0.382207412	0.803897809	2.621932748	2.753408058	2.753408058	0.75300414	0.310511966	-0.035847723	-0.427446228	-0.816217308	0.67807735	-0.476926184
GW	-0.006640872	-0.309615406	-0.639907316	-0.625006929	-0.59023936	0.635317465	-0.673433187	-0.854721228	-0.888247098	-0.859688023	-0.223938181	-0.299681815	-0.615073338	-0.412676415	-0.40770962	-0.576580672	-0.508287232	0.364627102	-0.744210025	-0.071209215	-0.86341312	-0.822437056	-0.78394439	-0.629973725	-0.094801494	-0.468552866	-0.451169082	-0.565405381	-0.071209215	0.713544496	-0.682125079	-0.821195357	-0.318307298	-0.575338973	-0.035199947	-0.071209215	-0.41888491	-0.508287232	-0.641149015	-0.387842437	0.039301988	1.037627912	-0.618798435	-0.832370647	-0.512012328	0.960642579	0.346001619	0.158505083	0.21934833	0.523564563	1.610051109	0.377044091	-0.499595339	-0.181720418	-0.617556736	-0.706959057	-0.759110411	0.060410869	1.01651903	-0.107218484	-0.103493387	-0.446202286	1.258650318	-0.405226222	1.055011696	0.968092773	-0.552988392	0.098903536	-0.659774499	-0.699508864	-0.664741294	-0.50952893	-0.318307298	-0.189170612	-0.700750563	1.022727525	0.486313595	0.34475992	-0.437510394	-0.641149015	-0.6585328	-0.05382543	-0.561680285	-0.374183749	-0.139502655	-0.276089535	-0.105976785	0.465204714	2.330236477	0.427953747	0.805430215	-0.626248628	0.415536758	0.465204714	-0.026508054	0.465204714	1.3927538	1.271067307	-0.448685684	0.564540627	0.744586969	3.554551603	1.042594707	0.619175379	0.619175379	1.149380814	-0.237596869	-0.184203816	0.30999235	0.221831728	0.430437145	2.78221488
