Permits	JS	p_corr
39	7	-0.402611237495617
39	8	-0.4047380242005591
39	9	-0.40479077476500824
39	10	-0.4030433754322211
39	11	-0.4002679504185842
40	6	-0.40354921824460405
40	7	-0.40675673077286767
40	8	-0.40907175726167927
40	9	-0.41006425406319696
40	10	-0.40935972308117763
40	11	-0.4073463326006981
40	12	-0.40472062197986475
40	13	-0.40140307259588365
41	5	-0.40043588144127856
41	6	-0.4064010678283439
41	7	-0.40960328067735974
41	8	-0.41189767707444375
41	9	-0.41326968939488845
41	10	-0.4135817379653503
41	11	-0.4126670083300448
41	12	-0.41084536615726863
41	13	-0.4080559513197275
41	14	-0.4045943827758104
41	15	-0.40025510247181717
42	6	-0.4065874552161879
42	7	-0.4113274644224883
42	8	-0.413767211971141
42	9	-0.41529917826350193
42	10	-0.41611363791034617
42	11	-0.41625583735467303
42	12	-0.4155334245923403
42	13	-0.41354624701629694
42	14	-0.41061937439755913
42	15	-0.40620786380358287
42	16	-0.4017195984318092
43	6	-0.4047914389813585
43	7	-0.41112347978346
43	8	-0.4149156525576606
43	9	-0.41659330909521475
43	10	-0.41764003929186216
43	11	-0.41833163042734134
43	12	-0.4186331964704889
43	13	-0.41768657239519336
43	14	-0.41553328847820825
43	15	-0.41164998057394003
43	16	-0.4071143997304243
43	17	-0.40241214984205614
44	6	-0.40252066948242854
44	7	-0.4099094662795269
44	8	-0.41503109249845616
44	9	-0.41791911434127516
44	10	-0.4190859173374289
44	11	-0.4200541777760404
44	12	-0.42090413770036467
44	13	-0.42091857350670947
44	14	-0.4197548683200915
44	15	-0.41662647794800345
44	16	-0.4125979531432442
44	17	-0.40785618930526346
44	18	-0.4032349671573523
45	6	-0.40083123299615175
45	7	-0.40820919904269576
45	8	-0.41417868842463784
45	9	-0.41821002235488935
45	10	-0.42049792523333507
45	11	-0.421564738735158
45	12	-0.42270007899759904
45	13	-0.42323587250981864
45	14	-0.42298591842207445
45	15	-0.42080631126918455
45	16	-0.4174987975734395
45	17	-0.41323423219340416
45	18	-0.40857794194068325
45	19	-0.40391808147403646
46	7	-0.40606725591736736
46	8	-0.4120516518073341
46	9	-0.4168642704381376
46	10	-0.4202060646441972
46	11	-0.4223565568770976
46	12	-0.42360756348041384
46	13	-0.42444470474968915
46	14	-0.4247298626295403
46	15	-0.42345072756366703
46	16	-0.42106601498222235
46	17	-0.41749745298409807
46	18	-0.41329728761305673
46	19	-0.4086103860785566
46	20	-0.4038020725647868
47	7	-0.40432243686002367
47	8	-0.4095674272996856
47	9	-0.41446323066776464
47	10	-0.4185560511880639
47	11	-0.42171162211295454
47	12	-0.42401462777455634
47	13	-0.4249872158131444
47	14	-0.42561411523915893
47	15	-0.424898938796327
47	16	-0.42341020699446597
47	17	-0.42073236723223045
47	18	-0.4172151154321066
47	19	-0.4129898763145438
47	20	-0.4081748426066014
47	21	-0.40324685675277383
48	7	-0.40270067815546895
48	8	-0.4075916836761693
48	9	-0.4118412159804555
48	10	-0.4160405424739725
48	11	-0.41989508141898113
48	12	-0.42314624973572634
48	13	-0.4251195192138802
48	14	-0.4258648943845416
48	15	-0.42551564161094535
48	16	-0.42459780495317767
48	17	-0.42277337180179203
48	18	-0.42010226539676165
48	19	-0.41653850815427246
48	20	-0.4121778167255757
48	21	-0.4072582116307265
48	22	-0.40230832096405644
49	7	-0.4008690490127482
49	8	-0.4058376287632023
49	9	-0.4097390847068916
49	10	-0.41329861923052136
49	11	-0.4172228924320993
49	12	-0.42107372732675724
49	13	-0.42389524778943527
49	14	-0.425560447867642
49	15	-0.42529938712301724
49	16	-0.4247453531281766
49	17	-0.42344364596783995
49	18	-0.4215574327242578
49	19	-0.4187831857676879
49	20	-0.4150462048283656
49	21	-0.4105581131814595
49	22	-0.405614740417914
49	23	-0.40083248243925673
50	8	-0.4043138903458848
50	9	-0.40827068060602373
