Starts	JS	p_corr
37	2	-0.40049171682079554
38	2	-0.4115119420434164
38	3	-0.40873494404780913
38	4	-0.4016715784138577
39	2	-0.42433087973895756
39	3	-0.4204767762899819
39	4	-0.4141819513795087
39	5	-0.4074786136443906
39	6	-0.40087566327990004
40	2	-0.4338912601977345
40	3	-0.4318130117342444
40	4	-0.4251704555038007
40	5	-0.41942579495648097
40	6	-0.41304983220743413
40	7	-0.40635904872012124
41	2	-0.45309695047646137
41	3	-0.44528309259240045
41	4	-0.43852469593297405
41	5	-0.4318230249978787
41	6	-0.42615851505766994
41	7	-0.4195235267356487
41	8	-0.41190219611314877
41	9	-0.40399105299376736
42	2	-0.47408740027256685
42	3	-0.4659401359993096
42	4	-0.45438486525087535
42	5	-0.44681864993313686
42	6	-0.43977408340821617
42	7	-0.43351705843328586
42	8	-0.42568866856184967
42	9	-0.4176715649746188
42	10	-0.4093811880446866
42	11	-0.4002482823543982
43	2	-0.4972604860306891
43	3	-0.4886767281479001
43	4	-0.47666743232400194
43	5	-0.4648922624593816
43	6	-0.45663280382242577
43	7	-0.4488597472525607
43	8	-0.44130934406865546
43	9	-0.43299494401863936
43	10	-0.42450670748291647
43	11	-0.41646702714833744
43	12	-0.40775507549343093
44	2	-0.5168493436632166
44	3	-0.5098160067141153
44	4	-0.49781597625286034
44	5	-0.4855829495534211
44	6	-0.4735808721390701
44	7	-0.46440331238348653
44	8	-0.45518797469600886
44	9	-0.44680345058778426
44	10	-0.4378605854440002
44	11	-0.42946937331580626
44	12	-0.42165778700767026
44	13	-0.4132033826744426
44	14	-0.4035148909281595
45	2	-0.5360544615905626
45	3	-0.530095055794445
45	4	-0.5193605865115288
45	5	-0.5074314253839538
45	6	-0.4951267335319952
45	7	-0.48265008413809923
45	8	-0.47202280969244526
45	9	-0.4618701180238021
45	10	-0.4527095226556691
45	11	-0.44375472769819313
45	12	-0.43546354670831944
45	13	-0.4278327437707397
45	14	-0.41892011130173124
45	15	-0.409459009134021
46	2	-0.5501364235630979
46	3	-0.5471700547582878
46	4	-0.5381700896964711
46	5	-0.5278623400604062
46	6	-0.5162966794830499
46	7	-0.5040046621707603
46	8	-0.4908460415504132
46	9	-0.4796608324148848
46	10	-0.46909817582924634
46	11	-0.460060104563044
46	12	-0.45134843844381967
46	13	-0.4433549760530461
46	14	-0.4352093516337479
46	15	-0.4265006688827478
46	16	-0.41739167476921024
46	17	-0.4079218760727517
47	2	-0.5594824404398158
47	3	-0.5596738859094748
47	4	-0.5536883743523828
47	5	-0.5454777752866168
47	6	-0.535859110974545
47	7	-0.5245954555527668
47	8	-0.511948343216545
47	9	-0.49881899452577083
47	10	-0.48751806235117634
47	11	-0.47724406156512306
47	12	-0.4685051602546185
47	13	-0.46020083325241473
47	14	-0.451784084177674
47	15	-0.44385054361124743
47	16	-0.4354907566333295
47	17	-0.4271853774749609
47	18	-0.41843607913933295
47	19	-0.40933915902417556
47	20	-0.40012765120228566
48	2	-0.5649917780666073
48	3	-0.5676016521609583
48	4	-0.5645228940734912
48	5	-0.5592625068128019
48	6	-0.5518833238485894
48	7	-0.542640161259307
48	8	-0.5311758095067237
48	9	-0.5187151980810881
48	10	-0.5057867753903258
48	11	-0.4949524176173786
48	12	-0.48514605200500394
48	13	-0.4769178856644043
48	14	-0.4682834976989883
48	15	-0.4601877926693899
48	16	-0.4526308046574653
48	17	-0.44511236990683767
48	18	-0.4375748888169577
