Starts	MM	p_corr
43	2	-0.4016480021581122
44	2	-0.42183794074658754
44	3	-0.41405686166529687
44	4	-0.40359282440094035
45	2	-0.4392093554252671
45	3	-0.433968384958741
45	4	-0.42516764667268236
45	5	-0.4143682614216596
45	6	-0.40299911108544956
46	2	-0.45269568534679794
46	3	-0.4499397677723223
46	4	-0.44369069645858555
46	5	-0.43488514037598336
46	6	-0.4239994152274936
46	7	-0.4118636964712414
47	2	-0.4613639281746181
47	3	-0.4616982590134271
47	4	-0.4582166245116994
47	5	-0.4522329986008382
47	6	-0.44365506972912144
47	7	-0.43240713896298444
47	8	-0.4196937359910844
47	9	-0.40590192266262476
48	2	-0.46864974712419055
48	3	-0.4701667017071173
48	4	-0.4691417922772761
48	5	-0.46570107921458853
48	6	-0.4598342627183851
48	7	-0.4508827194817777
48	8	-0.43920322803663214
48	9	-0.42614901388099735
48	10	-0.4120054799005074
49	2	-0.47272930846924915
49	3	-0.4750762934716854
49	4	-0.4747836212341895
49	5	-0.47322579502066764
49	6	-0.4694654423237684
49	7	-0.4628820241030766
49	8	-0.45326099654106805
49	9	-0.4411627126359533
49	10	-0.4277667948679781
49	11	-0.4135380651210957
50	2	-0.48211226847825045
50	3	-0.48325383908400277
50	4	-0.4825168636715506
50	5	-0.48066292538898325
50	6	-0.477813386537669
50	7	-0.47263846502513035
50	8	-0.46473920463008606
50	9	-0.4541280535968481
50	10	-0.4414338368315288
50	11	-0.42781596293028923
50	12	-0.4137931090374598
50	13	-0.40033628560619267
51	2	-0.48822256048161866
51	3	-0.49138102681543117
51	4	-0.49045489001692383
51	5	-0.48852820572414135
51	6	-0.48554177498738305
51	7	-0.481211166057955
51	8	-0.4746470445056879
51	9	-0.4657048480135111
51	10	-0.4544614320940411
51	11	-0.44155692425321513
51	12	-0.42815315025218265
51	13	-0.4143344980636255
51	14	-0.4006798931568548
52	2	-0.4893124586475887
52	3	-0.4950852423512599
52	4	-0.4964008137331168
52	5	-0.49485493329221525
52	6	-0.49217804649848496
52	7	-0.4879773874205568
52	8	-0.4822740685724437
52	9	-0.47456804983652495
52	10	-0.46489800765250366
52	11	-0.4533840095057544
52	12	-0.44071287169848333
52	13	-0.4275549962831761
52	14	-0.4136717222980643
52	15	-0.4003778910131732
53	2	-0.4834595917496993
53	3	-0.49259113491064377
53	4	-0.4968027914040422
53	5	-0.49777532030786154
53	6	-0.496053192481547
53	7	-0.49252260964862254
53	8	-0.4872537021862272
53	9	-0.4805289986525543
53	10	-0.4721466468658422
53	11	-0.46221573254805404
53	12	-0.4509484058830514
53	13	-0.43856730851662523
53	14	-0.42538629777461484
53	15	-0.41197216492352884
54	2	-0.47720808277657806
54	3	-0.4859952538396716
54	4	-0.4926378705022826
54	5	-0.49598724121803367
54	6	-0.4964748008625736
54	7	-0.4938981381346474
54	8	-0.4893106097328419
54	9	-0.483019119213996
54	10	-0.47561815519138173
54	11	-0.4669468919811976
54	12	-0.45717477621118546
54	13	-0.4461321623222908
54	14	-0.43373498485237333
54	15	-0.4210277970870921
54	16	-0.4083200407530511
55	2	-0.4703130557298079
55	3	-0.4797003042878032
55	4	-0.4863399346696584
55	5	-0.4914543658878298
55	6	-0.49386930578143456
55	7	-0.4931664330888587
55	8	-0.4894526390286195
55	9	-0.48375881500240553
55	10	-0.47678665530370934
55	11	-0.4690592045636402
55	12	-0.46046552819473696
55	13	-0.4508352771632029
55	14	-0.43971865949475136
55	15	-0.4278015485172092
55	16	-0.41579635359662753
55	17	-0.40393619798958363
56	2	-0.4669705693733707
56	3	-0.4739091658094838
56	4	-0.4802142281872975
56	5	-0.48490261421564357
56	6	-0.4886456537729662
56	7	-0.48954517820426896
56	8	-0.48748576576708924
56	9	-0.4825398333965631
56	10	-0.4760942147689218
56	11	-0.4687647804238012
56	12	-0.46104019552828696
56	13	-0.4525161280101683
56	14	-0.44274592324455747
56	15	-0.4320534543343534
56	16	-0.42083290555398256
56	17	-0.40964719188956605
57	2	-0.464739197320347
57	3	-0.47156858233289356
57	4	-0.4761348075599648
57	5	-0.4802577098797417
57	6	-0.4833025424567467
57	7	-0.48514448853595166
57	8	-0.4843325095480442
57	9	-0.4807044481240942
57	10	-0.47482589597173125
57	11	-0.46793174643852575
57	12	-0.4605329185329817
57	13	-0.45279595523237787
57	14	-0.44404866668717635
57	15	-0.434609325398918
57	16	-0.42450724909845367
57	17	-0.41401741774085205
57	18	-0.40327569719526307
58	2	-0.4596389530853156
58	3	-0.4678258245073671
58	4	-0.4727997756391916
58	5	-0.4757783513702482
58	6	-0.47842738894924836
58	7	-0.479526138681468
58	8	-0.4795699446035274
58	9	-0.47710049745576794
58	10	-0.47247486013392714
58	11	-0.4661054563531974
58	12	-0.45913260762171937
58	13	-0.4516917555292538
58	14	-0.44364606971551385
58	15	-0.43514208864921
58	16	-0.4262285361992307
58	17	-0.4168529594680634
58	18	-0.4068254188319594
59	2	-0.44933087731452054
59	3	-0.46022281937043474
59	4	-0.4670989935341642
59	5	-0.47087483207131964
59	6	-0.4730753797111249
59	7	-0.474120687915696
59	8	-0.47378358950091326
59	9	-0.47217577266443317
59	10	-0.4685959468345117
59	11	-0.46323795548872326
59	12	-0.4566776621133986
59	13	-0.4496481263818217
59	14	-0.44200077462725407
59	15	-0.4342310248706195
59	16	-0.42613845336868994
59	17	-0.417840172424235
59	18	-0.4088222919244786
