Reg	2011. 01	2011. 02	2011. 03	2011. 04	2011. 05	2011. 06	2011. 07	2011. 08	2011. 09	2011. 10	2011. 11	2011. 12	2012. 01	2012. 02	2012. 03	2012. 04	2012. 05	2012. 06	2012. 07	2012. 08	2012. 09	2012. 10	2012. 11	2012. 12	2013. 01	2013. 02	2013. 03	2013. 04	2013. 05	2013. 06	2013. 07	2013. 08	2013. 09	2013. 10	2013. 11	2013. 12	2014. 01	2014. 02	2014. 03	2014. 04	2014. 05	2014. 06	2014. 07	2014. 08	2014. 09	2014. 10	2014. 11	2014. 12	2015. 01	2015. 02	2015. 03	2015. 04	2015. 05	2015. 06	2015. 07	2015. 08	2015. 09	2015. 10	2015. 11	2015. 12	2016. 01	2016. 02	2016. 03	2016. 04	2016. 05	2016. 06	2016. 07	2016. 08	2016. 09	2016. 10	2016. 11	2016. 12	2017. 01	2017. 02	2017. 03	2017. 04	2017. 05	2017. 06	2017. 07	2017. 08	2017. 09	2017. 10	2017. 11	2017. 12	2018. 01	2018. 02	2018. 03	2018. 04	2018. 05	2018. 06	2018. 07	2018. 08	2018. 09	2018. 10	2018. 11	2018. 12	2019. 01	2019. 02	2019. 03	2019. 04	2019. 05	2019. 06	2019. 07	2019. 08	2019. 09	2019. 10
Cap	1831	4696	8429	8989	6427	5396	4890	4852	5911	15591	10743	13056	4832	3546	10438	5939	6869	10873	6577	8586	12028	9906	2900	9828	3616	7582	7445	8943	5319	9725	9533	11770	8174	5969	9584	11597	3996	3772	8045	15025	8420	6163	7965	8236	9011	18049	13723	11727	6446	9978	17507	20732	19202	21087	17471	25470	16136	41528	28547	20979	6110	9007	16478	19554	18478	24303	20654	14021	22659	17792	21761	20152	7735	7693	11179	7008	12196	15343	13806	18437	16270	11283	14032	16469	7199	9606	21230	12292	15291	10129	11548	5594	10416	8243	16598	13354	6666	10365	9670	11546	13300	11231	10233	13255	5802	13893
SO	352	606	3305	2656	867	1970	2149	1043	1228	2500	1114	8269	2004	745	2950	2175	3427	944	1443	2570	3591	691	-44	1022	458	838	2372	1001	770	856	1968	4834	495	1528	5127	4597	777	714	1686	1070	1691	1971	1510	2437	1625	2887	1917	1370	1268	751	1750	1311	2050	2191	2467	3208	4173	8804	2675	5573	1970	1861	1829	2142	1225	5113	658	3176	2446	2884	2836	2985	902	811	1586	2290	734	2983	4216	3583	4903	1513	4410	2194	1579	2847	2208	2773	3824	2277	5094	766	2831	1504	3025	1737	1249	2907	2343	1165	1193	2546	1861	1489	1471	1065
IC	364	560	471	471	457	1405	332	498	1046	367	1243	591	1055	520	1331	331	358	221	1010	302	152	277	204	1054	145	119	244	265	342	3413	282	362	335	265	387	985	317	774	1056	499	391	501	440	425	458	416	625	419	498	326	2328	502	1772	2859	631	2490	1563	5199	979	1864	422	483	992	972	823	420	677	468	2255	580	2736	635	671	584	346	777	1833	687	604	2476	407	838	406	847	1417	728	1301	363	1275	260	1125	1070	4137	2738	2765	2931	931	2030	2396	420	3740	1288	438	1164	2317	6032
GG	1115	3530	4653	5862	5103	2021	2409	3311	3637	12724	8386	4196	1773	2281	6157	3433	3084	9708	4124	5714	8285	8938	2740	7752	3013	6625	4829	7677	4207	5456	7283	6574	7344	4176	4070	6015	2902	2284	5303	13456	6338	3691	6015	5374	6928	14746	11181	9938	4680	8901	13429	18919	15380	16037	14373	19772	10400	27525	24893	13542	3718	6663	13657	16440	16430	18770	19319	10377	17958	14328	16189	16532	6162	6298	9247	3941	9629	11673	8986	12378	10960	8932	9216	13428	4203	6031	17721	9156	10192	7592	5329	3758	3448	4001	10808	8686	4486	5428	4931	9961	8367	7397	7934	10602	2014	6796
BS	1379	1086	960	3114	1353	2771	594	408	861	443	3671	5174	402	584	1142	1139	1316	1040	318	2568	561	2151	3518	1812	362	503	827	409	240	994	1438	1813	516	884	2352	1827	1982	958	1410	956	520	1516	704	1012	1423	2493	3747	958	746	351	3028	1758	1373	4844	3040	2217	1357	1527	1591	1196	1566	1456	3636	2607	1650	2757	682	2626	326	1301	3542	3045	770	1214	997	843	895	1537	2656	4779	4147	4303	3304	1240	609	311	1595	2145	2078	2756	2575	2179	4081	1891	50	483	639	282	251	679	3447	2353	738	3111	3866	1980
DG	77	96	159	1250	943	361	404	178	137	1848	146	436	112	273	347	463	961	594	145	772	270	882	385	3015	74	135	1033	1043	1439	229	805	883	2521	2409	2965	2677	1174	2026	2651	957	984	6462	504	820	2654	329	1763	259	1637	323	390	656	1081	1407	1119	1850	431	693	3197	1265	1059	701	2979	485	297	1252	2838	411	125	115	1484	111	415	148	969	1267	302	561	107	1252	660	269	574	1417	658	898	1285	2119	2035	2161	2194	215	2364	286	1429	3037	2901	48	684	965	5291	3207	1702	1178	212	2477
GJ	24	46	99	515	116	755	1024	3502	395	128	111	852	1550	619	962	528	614	981	285	3865	585	976	989	1177	159	805	83	388	323	319	381	99	160	144	813	1121	30	658	1132	274	1316	788	1332	1020	1695	1381	668	1140	304	157	732	681	197	468	1100	587	179	505	674	1471	1961	440	137	3267	1451	448	87	2682	295	60	2054	546	913	1709	2059	1134	1138	93	1435	2347	2531	1344	915	559	32	43	411	116	454	241	773	210	59	1991	477	1309	295	41	171	890	1548	1839	1974	1905	87	562
DJ	309	85	349	174	2107	231	104	303	2189	5115	354	2085	103	201	263	226	194	153	61	83	892	91	85	242	99	101	829	188	250	86	91	97	624	1118	535	821	24	75	311	204	1331	102	91	118	775	143	170	479	530	128	1213	213	1214	730	239	175	227	2359	365	582	74	175	1626	302	190	144	173	255	348	1375	738	122	111	762	280	206	231	149	791	166	215	298	73	3000	753	242	131	170	235	261	277	2053	443	1832	66	33	27	64	2676	93	376	854	789	926	42	2566
US	365	150	1629	1642	804	204	302	544	204	1651	213	160	166	220	1197	1066	1083	659	669	277	2161	371	292	234	74	79	2055	174	1060	194	237	513	108	636	1513	198	99	200	232	293	235	263	288	169	539	2812	1530	1099	149	1482	628	825	526	653	1092	269	277	1421	3907	249	775	207	269	3044	266	321	356	396	934	3868	1696	621	165	1626	167	167	418	539	99	984	206	282	132	1109	167	146	81	128	140	383	64	101	49	89	43	363	53	330	897	1229	66	105	64	526	37	212
SJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	231	10855	878	582	2882	2641	512	1762	682	595	804	747	242	354	47	970	2513	1319	60	53	192	791	97	2588	79	40	1081	2098	2976	219	891	227	67	667	52	1295	2271	2066	1201	1046	1500	878	7	35	885	1135	36	691	600	252	1540	71	2064	844	22	27	36	700	28	33	73	330	56	24	78	2806	534	24	2982	217	30	73	38	30	19	71	22	615	10	11	40	498	26	31	47	19	20	44
