Date Time,SO_Stock,GG_Stock,IC_Stock,BS_Stock,DG_Stock,GJ_Stock,DJ_Stock,US_Stock,GW_Stock,CB_Stock,CN_Stock,JB_Stock,JN_Stock,GB_Stock,GN_Stock,JJ_Stock,SO_Exchange,GG_Exchange,IC_Exchange,BS_Exchange,DG_Exchange,GJ_Exchange,DJ_Exchange,US_Exchange,GW_Exchange,CB_Exchange,CN_Exchange,JB_Exchange,JN_Exchange,GB_Exchange,GN_Exchange,JJ_Exchange,SO_MG,BS_MG,DG_MG,IC_MG,GJ_MG,DJ_MG,US_MG,GG_MG,GW_MG,CB_MG,CN_MG,JB_MG,JN_MG,GB_MG,GN_MG,JJ_MG,SO_MM,GG_MM,IC_MM,BS_MM,DG_MM,GJ_MM,DJ_MM,US_MM,GW_MM,CB_MM,CN_MM,JB_MM,JN_MM,GB_MM,GN_MM,JJ_MM,SO_JS,GG_JS,IC_JS,BS_JS,DG_JS,GJ_JS,DJ_JS,US_JS,GW_JS,CB_JS,CN_JS,JB_JS,JN_JS,GB_JS,GN_JS,JJ_JS,SO_JSratio,BS_JSratio,DG_JSratio,IC_JSratio,GJ_JSratio,DJ_JSratio,US_JSratio,GG_JSratio,GW_JSratio,CB_JSratio,CN_JSratio,JB_JSratio,JN_JSratio,GB_JSratio,GN_JSratio,JJ_JSratio,GN_Permits,GG_Permits,CB_Permits,JN_Permits,IC_Permits,SO_Permits,CN_Permits,JB_Permits,GJ_Permits,GB_Permits,BS_Permits,DJ_Permits,DG_Permits,GW_Permits,JJ_Permits,US_Permits,SO_Starts,IC_Starts,GG_Starts,BS_Starts,DG_Starts,GJ_Starts,DJ_Starts,US_Starts,GW_Starts,CB_Starts,CN_Starts,JB_Starts,JN_Starts,GB_Starts,GN_Starts,JJ_Starts,SO_Completed,IC_Completed,GG_Completed,BS_Completed,DG_Completed,GJ_Completed,DJ_Completed,US_Completed,GW_Completed,CB_Completed,CN_Completed,JB_Completed,JN_Completed,GB_Completed,GN_Completed,JJ_Completed,SO_Unsold,BS_Unsold,DG_Unsold,IC_Unsold,GJ_Unsold,DJ_Unsold,US_Unsold,GG_Unsold,GW_Unsold,CB_Unsold,CN_Unsold,JB_Unsold,JN_Unsold,GB_Unsold,GN_Unsold,JJ_Unsold,SO_Interest,GG_Interest,IC_Interest,BS_Interest,DG_Interest,GJ_Interest,DJ_Interest,US_Interest,GW_Interest,CB_Interest,CN_Interest,JB_Interest,JN_Interest,GB_Interest,GN_Interest,JJ_Interest,SO_JW,BS_JW,DG_JW,IC_JW,GJ_JW,DJ_JW,US_JW,GG_JW,GW_JW,CB_JW,CN_JW,JB_JW,JN_JW,GB_JW,GN_JW,JJ_JW
1990. 01,867.2,867.2,867.2,867.2,867.2,867.2,867.2,867.2,867.2,867.2,867.2,867.2,867.2,867.2,867.2,867.2,686.3,686.3,686.3,686.3,686.3,686.3,686.3,686.3,686.3,686.3,686.3,686.3,686.3,686.3,686.3,686.3,38.763000000000005,37.898,39.453,39.238,39.111999999999995,38.314,40.260999999999996,37.925,39.2,40.568000000000005,39.141,38.455999999999996,39.38,41.075,40.203,39.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990. 02,845.5,845.5,845.5,845.5,845.5,845.5,845.5,845.5,845.5,845.5,845.5,845.5,845.5,845.5,845.5,845.5,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,38.965,38.21,39.783,39.564,39.395,38.67,40.595,38.124,39.484,40.906,39.426,38.816,39.668,41.373000000000005,40.479,39.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990. 03,785.5,785.5,785.5,785.5,785.5,785.5,785.5,785.5,785.5,785.5,785.5,785.5,785.5,785.5,785.5,785.5,702.1,702.1,702.1,702.1,702.1,702.1,702.1,702.1,702.1,702.1,702.1,702.1,702.1,702.1,702.1,702.1,39.411,38.446,40.196,39.931,39.721,39.028,40.760999999999996,38.439,39.889,41.455,39.791,39.135999999999996,40.037,41.711999999999996,40.808,40.126999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990. 04,771.7,771.7,771.7,771.7,771.7,771.7,771.7,771.7,771.7,771.7,771.7,771.7,771.7,771.7,771.7,771.7,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,39.896,38.875,40.774,40.339,40.126,39.464,41.095,38.832,40.254,41.92,40.238,39.537,40.529,42.096000000000004,41.247,40.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990. 05,766.7,766.7,766.7,766.7,766.7,766.7,766.7,766.7,766.7,766.7,766.7,766.7,766.7,766.7,766.7,766.7,712.3,712.3,712.3,712.3,712.3,712.3,712.3,712.3,712.3,712.3,712.3,712.3,712.3,712.3,712.3,712.3,40.341,39.188,41.43600000000001,40.747,40.613,39.82,41.718999999999994,39.308,40.62,42.38399999999999,40.604,40.138000000000005,41.103,42.521,41.74,40.945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990. 06,698.2,698.2,698.2,698.2,698.2,698.2,698.2,698.2,698.2,698.2,698.2,698.2,698.2,698.2,698.2,698.2,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,40.624,39.227,41.476000000000006,40.91,40.937,39.82,41.845,39.543,40.701,42.511,40.645,40.338,41.18600000000001,42.648999999999994,42.016000000000005,41.148999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990. 07,637.4,637.4,637.4,637.4,637.4,637.4,637.4,637.4,637.4,637.4,637.4,637.4,637.4,637.4,637.4,637.4,715.1,715.1,715.1,715.1,715.1,715.1,715.1,715.1,715.1,715.1,715.1,715.1,715.1,715.1,715.1,715.1,40.826,39.149,41.601000000000006,41.114,40.937,39.782,41.97,39.82,40.701,42.468,40.849000000000004,40.378,41.349,42.735,42.126000000000005,40.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990. 08,602.2,602.2,602.2,602.2,602.2,602.2,602.2,602.2,602.2,602.2,602.2,602.2,602.2,602.2,602.2,602.2,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,40.948,39.345,41.849,41.358999999999995,41.059,39.939,42.053999999999995,39.977,40.823,42.596000000000004,41.051,40.539,41.595,42.903999999999996,42.181000000000004,41.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990. 09,682.8,682.8,682.8,682.8,682.8,682.8,682.8,682.8,682.8,682.8,682.8,682.8,682.8,682.8,682.8,682.8,712.9,712.9,712.9,712.9,712.9,712.9,712.9,712.9,712.9,712.9,712.9,712.9,712.9,712.9,712.9,712.9,41.231,39.853,42.138999999999996,41.398999999999994,41.1,40.058,42.303000000000004,40.215,41.066,42.678999999999995,41.336000000000006,40.738,41.801,43.16,42.29,41.516999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990. 10,696.4,696.4,696.4,696.4,696.4,696.4,696.4,696.4,696.4,696.4,696.4,696.4,696.4,696.4,696.4,696.4,713.8,713.8,713.8,713.8,713.8,713.8,713.8,713.8,713.8,713.8,713.8,713.8,713.8,713.8,713.8,713.8,41.312,39.774,42.261,41.522,41.302,40.177,42.387,40.293,41.27,42.933,41.58,40.859,41.883,43.501000000000005,42.455,41.721000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
