Date Time,SO_Stock,GG_Stock,IC_Stock,BS_Stock,DG_Stock,GJ_Stock,DJ_Stock,US_Stock,GW_Stock,CB_Stock,CN_Stock,JB_Stock,JN_Stock,GB_Stock,GN_Stock,JJ_Stock,SO_Exchange,GG_Exchange,IC_Exchange,BS_Exchange,DG_Exchange,GJ_Exchange,DJ_Exchange,US_Exchange,GW_Exchange,CB_Exchange,CN_Exchange,JB_Exchange,JN_Exchange,GB_Exchange,GN_Exchange,JJ_Exchange,SO_MG,BS_MG,DG_MG,IC_MG,GJ_MG,DJ_MG,US_MG,GG_MG,GW_MG,CB_MG,CN_MG,JB_MG,JN_MG,GB_MG,GN_MG,JJ_MG,SO_MM,GG_MM,IC_MM,BS_MM,DG_MM,GJ_MM,DJ_MM,US_MM,GW_MM,CB_MM,CN_MM,JB_MM,JN_MM,GB_MM,GN_MM,JJ_MM,SO_JS,GG_JS,IC_JS,BS_JS,DG_JS,GJ_JS,DJ_JS,US_JS,GW_JS,CB_JS,CN_JS,JB_JS,JN_JS,GB_JS,GN_JS,JJ_JS,SO_JSratio,BS_JSratio,DG_JSratio,IC_JSratio,GJ_JSratio,DJ_JSratio,US_JSratio,GG_JSratio,GW_JSratio,CB_JSratio,CN_JSratio,JB_JSratio,JN_JSratio,GB_JSratio,GN_JSratio,JJ_JSratio,SO_Permits,IC_Permits,GG_Permits,BS_Permits,DG_Permits,GJ_Permits,DJ_Permits,US_Permits,GW_Permits,CB_Permits,CN_Permits,JB_Permits,JN_Permits,GB_Permits,GN_Permits,JJ_Permits,SO_Starts,IC_Starts,GG_Starts,BS_Starts,DG_Starts,GJ_Starts,DJ_Starts,US_Starts,GW_Starts,CB_Starts,CN_Starts,JB_Starts,JN_Starts,GB_Starts,GN_Starts,JJ_Starts,SO_Completed,IC_Completed,GG_Completed,BS_Completed,DG_Completed,GJ_Completed,DJ_Completed,US_Completed,GW_Completed,CB_Completed,CN_Completed,JB_Completed,JN_Completed,GB_Completed,GN_Completed,JJ_Completed,SO_Unsold,BS_Unsold,DG_Unsold,IC_Unsold,GJ_Unsold,DJ_Unsold,US_Unsold,GG_Unsold,GW_Unsold,CB_Unsold,CN_Unsold,JB_Unsold,JN_Unsold,GB_Unsold,GN_Unsold,JJ_Unsold,SO_Interest,GG_Interest,IC_Interest,BS_Interest,DG_Interest,GJ_Interest,DJ_Interest,US_Interest,GW_Interest,CB_Interest,CN_Interest,JB_Interest,JN_Interest,GB_Interest,GN_Interest,JJ_Interest,SO_JW,BS_JW,DG_JW,IC_JW,GJ_JW,DJ_JW,US_JW,GG_JW,GW_JW,CB_JW,CN_JW,JB_JW,JN_JW,GB_JW,GN_JW,JJ_JW
1990. 01,867.2,867.2,867.2,867.2,867.2,867.2,867.2,867.2,867.2,867.2,867.2,867.2,867.2,867.2,867.2,867.2,686.3,686.3,686.3,686.3,686.3,686.3,686.3,686.3,686.3,686.3,686.3,686.3,686.3,686.3,686.3,686.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990. 02,845.5,845.5,845.5,845.5,845.5,845.5,845.5,845.5,845.5,845.5,845.5,845.5,845.5,845.5,845.5,845.5,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990. 03,785.5,785.5,785.5,785.5,785.5,785.5,785.5,785.5,785.5,785.5,785.5,785.5,785.5,785.5,785.5,785.5,702.1,702.1,702.1,702.1,702.1,702.1,702.1,702.1,702.1,702.1,702.1,702.1,702.1,702.1,702.1,702.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990. 04,771.7,771.7,771.7,771.7,771.7,771.7,771.7,771.7,771.7,771.7,771.7,771.7,771.7,771.7,771.7,771.7,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990. 05,766.7,766.7,766.7,766.7,766.7,766.7,766.7,766.7,766.7,766.7,766.7,766.7,766.7,766.7,766.7,766.7,712.3,712.3,712.3,712.3,712.3,712.3,712.3,712.3,712.3,712.3,712.3,712.3,712.3,712.3,712.3,712.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990. 06,698.2,698.2,698.2,698.2,698.2,698.2,698.2,698.2,698.2,698.2,698.2,698.2,698.2,698.2,698.2,698.2,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990. 07,637.4,637.4,637.4,637.4,637.4,637.4,637.4,637.4,637.4,637.4,637.4,637.4,637.4,637.4,637.4,637.4,715.1,715.1,715.1,715.1,715.1,715.1,715.1,715.1,715.1,715.1,715.1,715.1,715.1,715.1,715.1,715.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990. 08,602.2,602.2,602.2,602.2,602.2,602.2,602.2,602.2,602.2,602.2,602.2,602.2,602.2,602.2,602.2,602.2,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990. 09,682.8,682.8,682.8,682.8,682.8,682.8,682.8,682.8,682.8,682.8,682.8,682.8,682.8,682.8,682.8,682.8,712.9,712.9,712.9,712.9,712.9,712.9,712.9,712.9,712.9,712.9,712.9,712.9,712.9,712.9,712.9,712.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990. 10,696.4,696.4,696.4,696.4,696.4,696.4,696.4,696.4,696.4,696.4,696.4,696.4,696.4,696.4,696.4,696.4,713.8,713.8,713.8,713.8,713.8,713.8,713.8,713.8,713.8,713.8,713.8,713.8,713.8,713.8,713.8,713.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
