Date Time,SO_MM,SO_JS,SO_Permits,GG_MM,GG_JS,GG_Permits
2004. 10,-0.811688312,-4.158415842,13.11338778,-2.694610778,-5.532786885,-3.199018981
2004. 11,-0.653594771,-3.8,10.40691555,-2.857142857,-5.590062112,-3.984524143
2004. 12,-0.655737705,-4.417670683,9.971048828,-3.021148036,-6.444906445,-1.431381467
2005. 01,-1.628664495,-5.4,8.092802185,-3.619909502,-7.261410788,-1.273276841
2005. 02,-1.13452188,-5.765407555,6.816571819,-3.308270677,-7.010309278,-2.002349151
2005. 03,-1.288244767,-5.367793241,5.83197018,-2.848575712,-5.967078189,-2.883658923
2005. 04,-0.321543408,-4.780876494,4.73844127,-1.951951952,-4.536082474,-3.315821861
2005. 05,0.805152979,-3.822937626,3.718686547,-0.60331825,-2.910602911,-1.985751253
2005. 06,2.907915994,-2.834008097,2.356543934,2.121212121,-0.210526316,-2.712970774
2005. 07,5.528455285,-1.431492843,0.351084111,4.573170732,1.923076923,-3.481492041
2005. 08,6.362153344,-0.205761317,-1.28550478,5.513016845,3.879310345,-5.331347048
2005. 09,6.873977087,1.859504132,-1.547024812,6.153846154,6.507592191,-5.520871881
2005. 10,7.401315789,3.742203742,-2.772811291,6.656346749,9.210526316,-5.340070594
2005. 11,7.920792079,5.672268908,-3.984095151,7.165109034,11.33333333,-6.006997287
2005. 12,8.940397351,6.553911205,-0.515762577,7.668231612,12.30425056,-3.191221829
2006. 01,8.68852459,7.172995781,-1.060714204,7.465007776,11.52993348,-3.014743716
2006. 02,9.135399674,7.773109244,-9.319482131,7.561728395,10.94091904,-4.914778414
2006. 03,9.677419355,8.9958159,-9.471759618,7.810107198,10.79913607,-5.748456079
2006. 04,11.02236422,10.25104603,-9.573908491,8.497723824,10.70663812,-5.718271065
2006. 05,11.14599686,10.625,-9.42021227,8.456973294,9.915611814,-6.343278416
2006. 06,9.861325116,10.37344398,-8.783515821,8.017492711,9.433962264,-6.412140392
2006. 07,9.662576687,9.896907216,-8.124592534,8.127721335,8.298755187,-6.191504151
2006. 08,9.800918836,8.519269777,-10.80142898,8.550724638,6.924643585,-7.972574381
2006. 09,10.71975498,8.617234469,-10.84635557,10.01451379,7.02811245,-7.721753126
2006. 10,12.8440367,9.542743539,-10.751458,13.80813953,8.582834331,-7.982996317
2006. 11,18.8449848,11.11111111,-12.14512804,22.96511628,10.75697211,-7.676051007
2006. 12,22.47360483,10.82677165,-10.61699351,27.49638205,11.72962227,-4.585445242
2007. 01,24.21524664,10.52631579,-10.87220806,29.41176471,11.83431953,-4.874557461
2007. 02,22.94117647,9.404990403,-11.23918734,29.26136364,11.11111111,-5.471618584
2007. 03,20.86330935,8.918406072,-11.18401434,27.83216783,11.21856867,-6.125498557
2007. 04,19.06779661,8.662900188,-11.2525865,25.44459644,10.94049904,-6.424646715
2007. 05,18.23281907,8.458646617,-12.01649613,23.61673414,10.34482759,-5.968320325
2007. 06,18.18181818,8.255159475,-12.57216708,23.22147651,10.34482759,-6.728735642
2007. 07,18.27057183,7.85046729,-12.15285226,22.96395194,9.523809524,-6.173362262
2007. 08,17.84232365,6.826568266,-13.00756089,22.16358839,8.067542214,-8.526017773
2007. 09,15.98915989,5.081669691,-11.02432791,18.90166028,6.433823529,-8.475760882
2007. 10,9.846547315,3.571428571,-9.931587184,10.63829787,4.316546763,-4.345123122
2007. 11,6.527093596,3.019538188,-9.640273731,6.696935301,3.024911032,-2.48955535
2007. 12,4.572803851,2.116402116,-8.597503984,4.4345898,2.116402116,0.343358402
2008. 01,4.66507177,1.929824561,-9.217963806,3.956043956,1.754385965,-1.612414352
2008. 02,4.880952381,1.393728223,-9.835270885,3.938730853,1.217391304,-1.724662461
2008. 03,6.40569395,1.733102253,-10.00945994,4.689203926,1.384083045,-1.908628928
2008. 04,9.015421115,2.426343154,-7.88198896,6.441048035,2.777777778,-1.96027541
2008. 05,10.41420118,2.772963605,-7.204779763,7.516339869,3.298611111,-2.036316942
2008. 06,11.6745283,3.119584055,-6.537659344,8.360477742,3.826086957,-2.418068591
2008. 07,11.97183099,2.936096718,-6.025496244,8.423326134,3.819444444,-1.965370579
2008. 08,11.68224299,3.10880829,-9.885872411,8.163265306,3.454231434,-4.709736476
2008. 09,11.5250291,3.103448276,-10.22037844,7.799145299,3.620689655,-5.320770713
2008. 10,10.40462428,2.75862069,-10.13147109,6.808510638,3.799654577,-5.197328673
2008. 11,8.975834292,1.899827288,-10.2545857,5.095541401,2.763385147,-4.30814455
2008. 12,6.285714286,-1.376936317,-9.626874573,3.171247357,0.172413793,-0.999836125
2009. 01,4.653802497,-3.264604811,-9.8964341,1.473684211,-2.577319588,-1.065224122
2009. 02,2.564102564,-3.918228279,-10.61116094,-0.104166667,-3.754266212,-1.450758548
2009. 03,-0.108813928,-4.060913706,-11.40896255,-2.153846154,-4.560810811,-1.807265952
2009. 04,-1.286173633,-3.878583474,-11.17944286,-3.444782168,-4.705882353,-2.449643196
2009. 05,-2.534318902,-3.529411765,-10.82743911,-4.308617234,-4.355108878,-2.617320563
2009. 06,-2.830188679,-3.187919463,-10.89585363,-4.6812749,-4.180602007,-2.136521925
2009. 07,-2.19665272,-2.512562814,-10.89806055,-4.667328699,-3.67278798,-2.201060727
2009. 08,-1.983298539,-1.839464883,-12.55451172,-4.558969277,-3.327787022,-5.122985531
2009. 09,-0.523560209,1.174496644,-12.53354598,-3.386454183,-0.998336106,-4.16841341
2009. 10,0.633579725,3.389830508,-12.2756516,-1.717171717,1.008403361,-3.605706076
2009. 11,2.47311828,7.329842932,-12.01838778,-0.409836066,3.95869191,-2.71366557
2009. 12,3.362255965,9.591474245,-9.745732984,0.726141079,6.525573192,3.481364676
2010. 01,3.695652174,10.10638298,-9.839211814,1.147028154,7.269503546,2.664902504
2010. 02,4.248366013,10.58201058,-9.942779422,1.677148847,7.433628319,2.550801607
