Date Time,Stock,Exchange,MG,MM,JS,JSratio,Permits,Starts,Completed,Unsold,Interest,JW,Reg
1990. 01,867.2,686.3,38.763000000000005,,,,,,,,,,SO
1990. 02,845.5,694.0,38.965,,,,,,,,,,SO
1990. 03,785.5,702.1,39.411,,,,,,,,,,SO
1990. 04,771.7,707.0,39.896,,,,,,,,,,SO
1990. 05,766.7,712.3,40.341,,,,,,,,,,SO
1990. 06,698.2,716.0,40.624,,,,,,,,,,SO
1990. 07,637.4,715.1,40.826,,,,,,,,,,SO
1990. 08,602.2,714.0,40.948,,,,,,,,,,SO
1990. 09,682.8,712.9,41.231,,,,,,,,,,SO
1990. 10,696.4,713.8,41.312,,,,,,,,,,SO
1990. 11,712.5,713.1,41.473,,,,,,,,,,SO
1990. 12,647.5,716.4,41.757,,,,,,,,,,SO
1991. 01,654.7,719.0,42.727,,,,,,,,13.72,,SO
1991. 02,670.6,724.4,43.132,,,,,,,,14.38,,SO
1991. 03,638.3,724.7,43.617,,,,,,,,14.81,,SO
1991. 04,630.2,725.1,43.86,,,,,,,,15.25,,SO
1991. 05,604.7,723.0,43.982,,,,,,,,16.2,,SO
1991. 06,646.3,723.1,44.306000000000004,,,,,,,,19.07,,SO
1991. 07,710.6,726.1,44.71,,,,,,,,18.58,,SO
1991. 08,684.3,735.6,45.114,,,,,,,,19.14,,SO
1991. 09,705.2,741.5,45.195,,,,,,,,19.58,,SO
1991. 10,668.1,750.3,45.277,,,,,,,,18.78,,SO
1991. 11,625.1,754.5,45.479,,,,,,,,17.93,,SO
1991. 12,639.8,760.8,45.43899999999999,,,,,,,,17.44,,SO
1992. 01,651.3,762.0,45.722,,,,,,,,15.0,,SO
1992. 02,615.8,768.2,45.964,,,,,,,,14.47,,SO
1992. 03,588.4,775.1,46.41,,,,,,,,14.96,,SO
1992. 04,589.3,778.8,46.652,,,,,,,,14.94,,SO
1992. 05,564.5,783.5,46.93600000000001,,,,,,,,14.91,,SO
1992. 06,523.0,790.2,47.016999999999996,,,,,,,,14.87,,SO
1992. 07,496.3,788.1,47.178999999999995,,,,,,,,14.9,,SO
1992. 08,537.1,787.6,47.34,,,,,,,,14.94,,SO
