MM,Completed,p_corr
2,7,-0.4075623214956459
2,8,-0.4288733370060404
2,9,-0.4429805452037864
2,10,-0.4561622467221839
2,11,-0.47908616082741035
2,12,-0.48006980895048135
2,13,-0.4739517337891346
2,14,-0.46672727191709323
2,15,-0.4661500711088973
2,16,-0.45644076874759254
2,17,-0.4435245512663235
2,18,-0.4342955632335585
2,19,-0.4256392353101264
2,20,-0.417731832862915
2,21,-0.4195127259488746
2,22,-0.4146383765658012
2,23,-0.4082861425002794
2,24,-0.4034262509634878
2,26,-0.4057895647387117
2,27,-0.4090956141601769
2,28,-0.4157250576441211
2,29,-0.4181652929336176
2,30,-0.4210021538917135
2,31,-0.4302624262207413
2,32,-0.4443822017425664
2,33,-0.45497078663495844
2,34,-0.4635735745919428
2,35,-0.46163794943635056
2,36,-0.4593439451418885
2,37,-0.4602302901104645
2,38,-0.4635459326401319
2,39,-0.4725653579139605
2,40,-0.47699508669693735
2,41,-0.4751044721242439
3,6,-0.4082493647874935
3,7,-0.434737211982868
3,8,-0.45504480651478274
3,9,-0.47137153586111374
3,10,-0.4938627661989366
3,11,-0.49914880178729587
3,12,-0.4940123802343665
3,13,-0.48820604575428406
3,14,-0.4837843483851557
3,15,-0.47858733013192906
3,16,-0.46618090863128786
3,17,-0.45436822358907325
3,18,-0.44471739552172296
3,19,-0.43583899001031046
3,20,-0.43166522163879706
3,21,-0.42916718300608653
3,22,-0.4233236794582255
3,23,-0.41640449381067046
3,24,-0.40938812872191904
3,25,-0.4103557032438327
3,26,-0.41513176289379927
3,27,-0.4199688175198529
3,28,-0.4246090052101301
3,29,-0.42740618888675486
3,30,-0.43390850510676127
3,31,-0.44524908507627015
3,32,-0.45789404124666194
3,33,-0.4676115787709402
3,34,-0.4704527578244529
3,35,-0.46799851075852156
3,36,-0.46746181942793763
3,37,-0.4693841476032753
3,38,-0.4756111709399522
3,39,-0.4822669911958766
3,40,-0.4833135544556763
3,41,-0.48133388754447265
4,6,-0.41108472953090813
4,7,-0.43993266956365096
4,8,-0.4620017278805592
4,9,-0.4796426517989651
4,10,-0.4991458137955353
4,11,-0.5086040565097316
4,12,-0.5087820871956341
4,13,-0.5021926350547972
4,14,-0.4977130043652497
4,15,-0.4930875298937755
4,16,-0.48456186227918435
4,17,-0.4747147244755625
4,18,-0.4645403297829488
4,19,-0.45552100209398694
4,20,-0.4497672245674768
4,21,-0.4444028274187168
4,22,-0.4402670551472607
4,23,-0.43307614419139967
4,24,-0.4259023991206533
4,25,-0.4220868640818813
4,26,-0.4242260264516694
4,27,-0.43004014550707625
4,28,-0.4344986320320943
4,29,-0.4388155280565296
4,30,-0.4441297775975312
4,31,-0.4525337883450621
4,32,-0.4647983941110438
4,33,-0.47641441901706677
4,34,-0.48211876371468354
4,35,-0.4830871570990599
4,36,-0.4821991633761099
4,37,-0.48250313593855176
4,38,-0.48718396429335425
4,39,-0.49266324939419287
4,40,-0.4963224829806628
4,41,-0.4961800659354131
5,6,-0.4273239864988983
5,7,-0.4549993876856042
5,8,-0.47682696687107534
5,9,-0.4976566972298074
5,10,-0.5101595723606511
5,11,-0.5163078366648612
5,12,-0.5142294577879868
5,13,-0.5082531696007395
5,14,-0.5032098885180747
5,15,-0.495780286129898
5,16,-0.48665626796700906
5,17,-0.4769150494727115
