MM,Unsold,p_corr
1,1,-0.533296298129412
1,2,-0.5432166636724716
1,3,-0.5527262834192942
1,4,-0.5620265984911648
1,5,-0.5712326630639939
1,6,-0.5803925821506388
1,7,-0.589263030967286
1,8,-0.597959303662091
1,9,-0.6065175855924558
1,10,-0.6148498801416912
1,11,-0.6229084296073579
1,12,-0.6307607966734378
1,13,-0.6383675854620778
1,14,-0.6456687575011476
1,15,-0.6526267804953128
1,16,-0.6591724526955506
1,17,-0.6652699972969701
1,18,-0.6710719146447635
1,19,-0.6762963517197381
1,20,-0.6809064725686417
1,21,-0.68503701187234
1,22,-0.6887256084473955
1,23,-0.6918945063846038
1,24,-0.6945116253718655
1,25,-0.6967087053141534
1,26,-0.6983548775627793
1,27,-0.699538565986161
1,28,-0.7001855585977474
1,29,-0.700259940756144
1,30,-0.699797651171032
1,31,-0.6988747552777174
1,32,-0.6974808820043608
1,33,-0.6955673927820646
1,34,-0.6931082650831919
1,35,-0.6901234349312585
1,36,-0.6865187344660196
1,37,-0.682406506184236
1,38,-0.6777807891762079
1,39,-0.672581430093269
1,40,-0.6669470897408165
1,41,-0.6607897135105358
11,41,0.4084137210730806
12,41,0.40461765334640276
13,39,0.40309798557813603
13,40,0.412379256490865
13,41,0.42101340477464205
14,40,0.4080875978463632
14,41,0.41713296821477136
15,38,0.4054022318629161
15,39,0.41571009876114573
15,40,0.424947380013159
15,41,0.43315029114569087
16,39,0.41083562363155535
16,40,0.4208949441487781
16,41,0.42948477168618665
17,37,0.40593347361219445
17,38,0.41780003451308523
17,39,0.4284760626448741
17,40,0.4377376149717084
17,41,0.4456740858374524
18,38,0.41196292047356314
18,39,0.4235593238835799
18,40,0.4335859963985535
18,41,0.4423377578272987
19,36,0.4041625790729577
19,37,0.4176416423154606
19,38,0.429942645013202
19,39,0.44073545592603675
19,40,0.45009627994794105
19,41,0.4581595247904461
20,37,0.41021909408874613
20,38,0.4234099089631962
20,39,0.4350669136827923
20,40,0.44533047122665914
20,41,0.45414379726290155
21,36,0.4143143700454317
21,37,0.4283741238737499
21,38,0.44076319848772616
21,39,0.45173769735922603
21,40,0.4612910219560044
21,41,0.46871163609525285
22,36,0.4051273578088997
22,37,0.4202525428353652
22,38,0.43367583137251225
22,39,0.4455353423766608
22,40,0.45594587007163995
22,41,0.4642503966752016
23,35,0.4072848683409682
23,36,0.42354788392310166
23,37,0.43786459298734204
23,38,0.45059287404260145
23,39,0.461731697724135
23,40,0.4707574636869902
23,41,0.4773577452440451
24,36,0.4133857237460198
24,37,0.4290267322792334
24,38,0.4428123564396036
24,39,0.4549780029552865
24,40,0.4648803012580319
24,41,0.4723450372003073
25,35,0.4149058130975038
25,36,0.43140281721849905
25,37,0.4463265211093575
25,38,0.4593743989308033
25,39,0.4701592517911298
25,40,0.47837141452259263
25,41,0.4839149682021472
26,35,0.4032420900958288
26,36,0.420576639855208
26,37,0.43655636396878467
26,38,0.450912395209758
26,39,0.46273915239358687
26,40,0.4719720637564378
26,41,0.47835633834313984
27,34,0.40369093529292255
27,35,0.4214386983368531
27,36,0.43806011968947384
27,37,0.4532840697067326
27,38,0.46624297606030396
27,39,0.4763740035643607
27,40,0.4836604883897501
27,41,0.48958015734095733
28,35,0.4094501102262147
28,36,0.42670083182863094
28,37,0.44277874385995675
28,38,0.4567909162228697
28,39,0.468205109848226
28,40,0.4764868252681908
28,41,0.4834037055609977
29,34,0.40983267433163056
29,35,0.4270805800970898
29,36,0.4435993912355595
29,37,0.45829437087136493
29,38,0.4705970231587944
29,39,0.48000999469301353
29,40,0.48780850963709693
29,41,0.49354110837135273
30,35,0.41524122385276846
30,36,0.4319675909961268
30,37,0.44732306554389867
30,38,0.4604930425578014
30,39,0.4709252115326569
30,40,0.4799670932297404
30,41,0.4866818296973444
31,34,0.4155258622227412
31,35,0.43235738917127153
31,36,0.4477580787415193
31,37,0.46144203433854725
31,38,0.4725926316010242
31,39,0.4825287643502784
31,40,0.4903649061124803
31,41,0.49614756824315775
32,34,0.40344831383676005
32,35,0.4205565859882365
32,36,0.43625963749736124
32,37,0.45019172125247225
32,38,0.46202488896926447
32,39,0.4728205830749358
32,40,0.4816715394680709
32,41,0.48866546913415343
33,33,0.40355053041255007
33,34,0.42062354209252606
33,35,0.4364500813644037
