MM,Permits,p_corr
5,36,-0.4031220913048398
5,37,-0.40710533353558076
5,38,-0.4108455658842595
5,39,-0.41221831862437575
5,40,-0.4108775502553989
5,41,-0.4073477391166767
6,35,-0.40468500337789554
6,36,-0.40936337356188024
6,37,-0.4132064139035196
6,38,-0.41659642566975524
6,39,-0.41883923125316413
6,40,-0.41891816327862064
6,41,-0.41691314113872446
7,32,-0.40476616521571007
7,33,-0.4105703580937017
7,34,-0.41592557415607195
7,35,-0.42108430168801575
7,36,-0.425679988913263
7,37,-0.42874715826760496
7,38,-0.4306270265421879
7,39,-0.4313285895461602
7,40,-0.43029962707426556
7,41,-0.42790616055605835
8,32,-0.40619329638296586
8,33,-0.41255761425862036
8,34,-0.4183725706987823
8,35,-0.4242334096336392
8,36,-0.42950784943765913
8,37,-0.4328751960204591
8,38,-0.4348704216855908
8,39,-0.43573545601872304
8,40,-0.43561295314684534
8,41,-0.4344858935769409
9,29,-0.4019616083905615
9,30,-0.4091603024820228
9,31,-0.4155399334976999
9,32,-0.4215141163092371
9,33,-0.4275163384982208
9,34,-0.4334306487546818
9,35,-0.43907259809819027
9,36,-0.44361487838760155
9,37,-0.44570125809883704
9,38,-0.446457416349366
9,39,-0.4462391136389808
9,40,-0.44557300007590483
9,41,-0.44409729132708026
10,29,-0.40156866105834693
10,30,-0.40921255432828296
10,31,-0.41598698973211545
10,32,-0.42216812186308256
10,33,-0.42808546086352517
10,34,-0.4344233479074259
10,35,-0.44047179227890854
10,36,-0.4456630865604546
10,37,-0.448453021615005
10,38,-0.4496875612271726
10,39,-0.44975476272713116
10,40,-0.4493348839640414
10,41,-0.4486197571502666
11,27,-0.4028286854002161
11,28,-0.41003128410994644
11,29,-0.4174804577737677
11,30,-0.42454714943559796
11,31,-0.430784203455416
11,32,-0.43659682976119357
11,33,-0.4425624607165072
11,34,-0.4486715039942073
11,35,-0.4540073203421002
11,36,-0.45801054532247215
11,37,-0.45966400910140504
11,38,-0.45988185606275556
11,39,-0.45943832504486787
11,40,-0.45857642380348795
11,41,-0.4571786538693138
12,27,-0.40117620590829994
12,28,-0.4085511877679812
12,29,-0.41593486242148936
12,30,-0.4232010855538604
12,31,-0.42991879004817385
12,32,-0.43611330507649315
12,33,-0.4422670344900035
12,34,-0.4483472713861496
12,35,-0.4541209410739367
12,36,-0.45861054217560243
12,37,-0.46098414623275435
12,38,-0.4619608884968147
12,39,-0.4620400835496515
12,40,-0.46149090136505394
12,41,-0.4603335723700885
13,25,-0.4021884235596312
13,26,-0.409690122829403
13,27,-0.4169368078408893
13,28,-0.4239403351960106
13,29,-0.43082481839223963
13,30,-0.43759653634709766
13,31,-0.44387004603081565
13,32,-0.4500657465406443
13,33,-0.45603311416753706
13,34,-0.46144299242997555
13,35,-0.4660849392989074
13,36,-0.4695145345781354
13,37,-0.470865982267622
13,38,-0.4712962496979555
13,39,-0.4708956169885231
13,40,-0.4696529108767446
13,41,-0.46807963763082994
14,26,-0.40593646238734155
14,27,-0.41395639665755446
14,28,-0.4214216331916862
14,29,-0.4285402793404692
14,30,-0.43535212175617755
14,31,-0.4418573406926277
14,32,-0.44848672534171846
14,33,-0.4547871141107145
14,34,-0.4604249753458251
14,35,-0.46514109428150346
14,36,-0.4690715536889623
14,37,-0.4709788410731053
14,38,-0.4721310016848516
14,39,-0.47244946140241934
14,40,-0.4717179795429294
14,41,-0.47047637033509465
15,24,-0.40403449273752695
15,25,-0.4127148753397295
15,26,-0.42110795547712404
15,27,-0.4287677757003121
15,28,-0.4357969602334404
15,29,-0.44251677266395645
15,30,-0.4488819854228851
15,31,-0.45535282514880593
15,32,-0.4617772831813641
15,33,-0.4674098938060133
15,34,-0.47198676326829564
15,35,-0.47572713806598244
15,36,-0.4786939089815955
15,37,-0.4800646346239805
15,38,-0.48070452942969927
15,39,-0.4803288307880751
15,40,-0.4792135910177385
15,41,-0.4775177790127537
16,25,-0.4071214678717254
16,26,-0.4162429012131042
16,27,-0.4246605922093525
16,28,-0.43243298181668127
16,29,-0.43966031661816607
16,30,-0.4463182168314709
16,31,-0.4528406313797151
16,32,-0.459510524024395
16,33,-0.4655700042820615
16,34,-0.4704813540192188
16,35,-0.4745232370472906
16,36,-0.4776728877989332
16,37,-0.4795615585443018
16,38,-0.4807484566171275
16,39,-0.4810637926996022
16,40,-0.4806427978317622
16,41,-0.47946598143146874
17,23,-0.4018808350233548
17,24,-0.41250853272212556
17,25,-0.42189033061307785
17,26,-0.4306382562851431
17,27,-0.43861699428588957
17,28,-0.44601166115598856
17,29,-0.4527978957912832
17,30,-0.45942504849203586
17,31,-0.4657792586472291
17,32,-0.47178440511793257
17,33,-0.47678626492140014
17,34,-0.480773551338228
17,35,-0.4839146897164242
17,36,-0.48656199959088653
17,37,-0.4879156778792843
17,38,-0.48837910156372183
17,39,-0.488270145633014
17,40,-0.48735701716766366
17,41,-0.4857579737565628
18,24,-0.40527705528410046
18,25,-0.4151107990928412
18,26,-0.42449527425418165
18,27,-0.4331997725947563
18,28,-0.4413626231135388
18,29,-0.44884691401550614
18,30,-0.4559401246371905
18,31,-0.4625558561122879
18,32,-0.46866317935738416
18,33,-0.47393488012907903
18,34,-0.47836633855560867
18,35,-0.4818787927313469
18,36,-0.4848541035091271
18,37,-0.4864117813126955
18,38,-0.48736473717451284
18,39,-0.4877803806351237
18,40,-0.4875074585674231
18,41,-0.48653054890284064
19,23,-0.4078084191608288
19,24,-0.4193600971897177
19,25,-0.4288161881908402
19,26,-0.43777976570603977
19,27,-0.4461153648640953
