MM,Starts,p_corr
1,7,0.41566831259426495
1,8,0.43244721502101985
1,9,0.4481558725793782
1,10,0.462934419210923
1,11,0.47833567794235804
1,12,0.4929249166708744
1,13,0.5054999376310007
1,14,0.5160340706433063
1,15,0.5265796965788119
1,16,0.5371191043551605
1,17,0.5476494589148816
1,18,0.5572278472528915
1,19,0.5657028293124338
1,20,0.5727333929407635
1,21,0.5798435162972959
1,22,0.5864766098114078
1,23,0.5924248204712288
1,24,0.5965747094407797
1,25,0.59899946420539
1,26,0.5992989727622982
1,27,0.5976029201398374
1,28,0.5955903374565211
1,29,0.5921980699134047
1,30,0.5878624686351959
1,31,0.5820619699468182
1,32,0.5749488909472732
1,33,0.5666108015255424
1,34,0.5574055027635327
1,35,0.5471947727095112
1,36,0.5373659932703813
1,37,0.5272308337678329
1,38,0.5170359108296578
1,39,0.506105085490851
1,40,0.4944436102948187
1,41,0.48200106577837176
5,41,-0.4115953756110955
6,41,-0.40296972824024213
7,40,-0.4161388326770169
7,41,-0.43519562079324775
8,40,-0.4074121830512429
8,41,-0.42562441021269015
9,38,-0.4023140806487201
9,39,-0.4195717093178851
9,40,-0.4377116910571835
9,41,-0.4546299506024064
10,39,-0.4099991184609872
10,40,-0.42801707860478866
10,41,-0.44477324469246154
11,37,-0.4037395332162301
11,38,-0.42163337545645546
11,39,-0.4388576382715607
11,40,-0.4554163250300718
11,41,-0.4725813637518064
12,38,-0.4099715601009052
12,39,-0.4284617785789291
12,40,-0.4447778112294172
12,41,-0.4617771176123818
13,37,-0.41861234195866764
13,38,-0.4379689823151392
13,39,-0.4547974673966927
13,40,-0.47156666375490086
13,41,-0.4884024672816565
14,37,-0.40439470585735604
14,38,-0.42484231122360516
14,39,-0.44301576915515667
14,40,-0.46085365600232736
14,41,-0.47756916651527714
15,36,-0.41154575689239853
15,37,-0.4322479323189917
15,38,-0.45074646009767466
15,39,-0.4693052013083708
15,40,-0.4870360863907412
15,41,-0.5036508169902877
16,37,-0.4174847641694314
16,38,-0.4366620834885549
16,39,-0.4562789743935298
16,40,-0.47533438152038676
16,41,-0.4930220306337855
17,35,-0.4036302360113765
17,36,-0.42457185440994266
17,37,-0.44340636532739763
17,38,-0.4629161466977073
17,39,-0.48239769961349155
17,40,-0.5013534775622025
17,41,-0.5181546071924045
18,36,-0.4101830472958019
18,37,-0.42895195588019036
18,38,-0.4486387862136893
18,39,-0.4688466267817141
18,40,-0.48897212283185393
18,41,-0.5071480802660423
19,35,-0.41705408229559976
19,36,-0.4368223041865791
19,37,-0.45598030125197764
19,38,-0.47566053691664867
19,39,-0.4959059522095991
19,40,-0.5152443590374313
19,41,-0.5299509666259978
20,35,-0.40118602616360033
20,36,-0.421930097349437
20,37,-0.44201113288434796
20,38,-0.46171090749823224
20,39,-0.48228887512405
20,40,-0.5024911213662419
20,41,-0.5183447851388348
21,34,-0.4058657211174879
21,35,-0.4270732948123839
21,36,-0.4481458649366494
21,37,-0.4683299830446254
21,38,-0.48821936792751436
21,39,-0.5081072861884023
21,40,-0.5247325443701318
21,41,-0.5390344748315997
22,35,-0.4105560134518944
22,36,-0.43267397564288157
22,37,-0.4538350770385263
22,38,-0.4747275838207227
22,39,-0.4947655467787436
22,40,-0.5117873252441754
22,41,-0.5268275567331344
23,34,-0.4139080590374566
23,35,-0.4362429911949277
23,36,-0.4584694086057487
23,37,-0.4797905778479079
23,38,-0.5000474290367979
23,39,-0.5166108923282736
23,40,-0.5321186900632547
23,41,-0.5467961469703901
24,35,-0.41878337323904313
24,36,-0.44180171425985154
24,37,-0.4641801803351992
24,38,-0.4854879286318819
24,39,-0.5031032803150189
24,40,-0.5188718886047193
24,41,-0.5339883229517128
25,34,-0.42084637968168565
25,35,-0.44391882242990227
25,36,-0.46711046115253413
25,37,-0.48892538783615686
25,38,-0.5067927536726726
25,39,-0.5231097154370395
25,40,-0.5386302299655926
25,41,-0.5525929150594415
26,34,-0.40160153199072285
26,35,-0.42543723514108567
26,36,-0.449274084082813
26,37,-0.4719275345687131
26,38,-0.4909219686307914
26,39,-0.508294786801896
26,40,-0.5248820682971479
26,41,-0.5391582260783505
27,33,-0.4033647918999333
27,34,-0.4269024014268414
27,35,-0.4509349987283122
27,36,-0.4742763713231275
27,37,-0.49353600918114304
27,38,-0.5112427096622346
27,39,-0.5283643324501492
27,40,-0.543826941974297
27,41,-0.5573582797800826
28,34,-0.40658924109417977
28,35,-0.43156753952222365
28,36,-0.45568065091273185
28,37,-0.4756242778581721
28,38,-0.4942081733191892
28,39,-0.5124941582277159
28,40,-0.5289965879612468
28,41,-0.543547641588979
29,33,-0.40670527158028486
29,34,-0.43115659991512734
29,35,-0.4556617735898462
29,36,-0.4765032670393618
29,37,-0.4952049901026645
29,38,-0.5135027922440198
29,39,-0.5305900700626368
29,40,-0.5463258721850184
29,41,-0.5592354778547933
30,34,-0.41012412549937866
30,35,-0.4354115909074852
30,36,-0.4572307378979851
30,37,-0.47675859484090516
30,38,-0.49575519950305424
30,39,-0.5137681620525553
30,40,-0.5306812849131645
30,41,-0.5445969618350721
31,33,-0.40871726104415806
31,34,-0.43334546299710547
31,35,-0.455547662798731
31,36,-0.47618904420744734
31,37,-0.495479998503943
31,38,-0.5133292133667526
31,39,-0.5305859340869432
31,40,-0.5458764974589937
31,41,-0.5593161186856155
32,34,-0.41205549168624406
32,35,-0.4349018695718842
32,36,-0.45636112280060104
32,37,-0.4766461418374953
32,38,-0.4953475029354919
32,39,-0.5133287454510302
32,40,-0.52958358374159
32,41,-0.5441544913621194
33,33,-0.41006515057605086
33,34,-0.43194874715066794
33,35,-0.4536619328942724
33,36,-0.47493405011449974
33,37,-0.4940794852372941
33,38,-0.5120486028653853
33,39,-0.528361032635341
33,40,-0.5440923396764432
