MM,Unsold,p_corr
1,1,-0.533296298129412
1,31,0.4169655203295147
1,32,0.424586291330584
1,33,0.43911529323982174
1,34,0.44412778612218895
1,35,0.45663994408071895
1,36,0.460216525113271
1,37,0.4722824752500025
1,38,0.47363280086326803
1,39,0.4838005786044494
1,40,0.4835022993700199
1,41,0.49285677286599255
7,40,-0.4100251944521715
9,38,-0.408703542787728
9,40,-0.42097795872179933
9,41,-0.4113881657614245
10,40,-0.41125266276691963
10,41,-0.40157048538312085
11,36,-0.40675654153465846
11,38,-0.4211660381339156
11,39,-0.4107897954249974
11,40,-0.43294811880906425
11,41,-0.4230039240959363
12,38,-0.41045476027815914
12,39,-0.40022314131676495
12,40,-0.42328291386963285
12,41,-0.4133976704873692
13,34,-0.40653481399401964
13,36,-0.4201192912472427
13,37,-0.4101809443272787
13,38,-0.4336244047753667
13,39,-0.4229570882417271
13,40,-0.4449811910866066
13,41,-0.4349359051362963
14,36,-0.4086929702980988
14,38,-0.4229956446870003
14,39,-0.41237720118147864
14,40,-0.4350660706931323
14,41,-0.42495165821337855
15,32,-0.40631148116734145
15,34,-0.4192171560677474
15,35,-0.40708947209858976
15,36,-0.43231708422343973
15,37,-0.42234297791025
15,38,-0.445519820849193
15,39,-0.4349830345346564
15,40,-0.4568442336554072
15,41,-0.4464095871598978
16,34,-0.4073359023177713
16,36,-0.420912308330631
16,37,-0.4109182161585708
16,38,-0.4345972392309726
16,39,-0.42400668843550376
16,40,-0.44669646533133084
16,41,-0.43634627281286015
17,30,-0.40563864716943304
17,32,-0.41895245840680023
17,33,-0.4068777239210857
17,34,-0.43081521391052374
17,35,-0.41893852418227423
17,36,-0.4436871498011254
17,37,-0.43394447976874667
17,38,-0.45681936157432995
17,39,-0.44619959678667015
17,40,-0.4681371653987186
17,41,-0.45787093295334746
18,32,-0.40649147596701635
18,34,-0.41882319421763076
18,35,-0.40688068425456636
18,36,-0.43210234563527716
18,37,-0.4222571268216802
18,38,-0.4457048164276495
18,39,-0.4351861113234203
18,40,-0.45771337447422755
18,41,-0.4476110598570274
19,28,-0.4009744793784742
19,30,-0.4174036838754199
19,31,-0.4053612080302984
19,32,-0.43034298170318835
19,33,-0.41830830556356774
19,34,-0.4419641073162609
19,35,-0.42982303587630954
19,36,-0.45425079003709906
19,37,-0.44451352029604335
19,38,-0.46722706062245734
19,39,-0.45698851896417153
19,40,-0.4787089058390831
19,41,-0.4685901986044882
20,30,-0.4040409421140685
20,32,-0.41733586214492796
20,33,-0.40522597518423537
20,34,-0.4295678080772765
20,35,-0.41733433965089267
20,36,-0.4423212037270855
20,37,-0.4326236522057443
20,38,-0.45589552575912146
20,39,-0.44581516997477133
20,40,-0.46814954336725356
20,41,-0.4580837661652094
21,28,-0.41172260478704437
21,29,-0.4011509337915628
21,30,-0.42742701677956596
21,31,-0.41575607732038933
21,32,-0.440382220091646
21,33,-0.4284885261504859
21,34,-0.45215117441311387
21,35,-0.4400515577826934
21,36,-0.46431482741172536
21,37,-0.45433564604063376
21,38,-0.47681375996403536
21,39,-0.4668642262222424
21,40,-0.48820335822896843
21,41,-0.4784195536447826
22,30,-0.41372583427380044
22,31,-0.40191775962249787
22,32,-0.4270717573639634
22,33,-0.41505664459256764
22,34,-0.4392461763623874
22,35,-0.4271507711738122
22,36,-0.4521659285615545
22,37,-0.4422994199367208
22,38,-0.4654285522043254
22,39,-0.4555085701039472
22,40,-0.477467449813516
22,41,-0.4677593731483396
23,26,-0.40453806897941275
23,28,-0.4209815239833426
23,29,-0.4106893267809091
23,30,-0.4364663432207966
23,31,-0.4247993216136748
23,32,-0.44925930579142814
23,33,-0.4377169997539351
23,34,-0.4612578188007207
23,35,-0.4494372147621805
23,36,-0.4736643774942365
23,37,-0.4638785345643751
23,38,-0.4860294082549213
23,39,-0.4758737571402859
23,40,-0.4975286652105611
23,41,-0.4879745983978464
24,28,-0.40681893019481813
24,30,-0.4226005193682974
24,31,-0.4107623081440714
24,32,-0.4356283940122898
24,33,-0.4240388640481486
24,34,-0.44817339408599677
24,35,-0.43641382239052656
24,36,-0.46124761117777563
24,37,-0.45145015862282734
24,38,-0.47442990155169523
24,39,-0.4643239922040325
24,40,-0.48669076267600014
24,41,-0.4771136648949019
25,26,-0.4116448920363638
25,27,-0.40232140688910795
25,28,-0.428651599933448
25,29,-0.4189372400982549
25,30,-0.4445150467769391
25,31,-0.43316919774027446
25,32,-0.4573940719629072
25,33,-0.445957543076483
25,34,-0.4693741107312754
25,35,-0.4581066506937313
25,36,-0.4819723028062833
25,37,-0.47241587350414144
25,38,-0.4950692578532396
25,39,-0.4850703528484215
25,40,-0.5065224819924108
25,41,-0.4967476091180787
26,28,-0.4141564896844662
26,29,-0.404213425369317
26,30,-0.43035022294352915
26,31,-0.41890799830484343
26,32,-0.4436835598033444
26,33,-0.4322643507727392
26,34,-0.45616231926262524
26,35,-0.44485438343668837
26,36,-0.4693763105623865
26,37,-0.45982150631768903
26,38,-0.48314376374871487
26,39,-0.4730983190307093
26,40,-0.49541863921776264
26,41,-0.4857576760634503
27,26,-0.41697278165529167
27,27,-0.408528281572689
27,28,-0.43474296055082834
27,29,-0.4258046076492973
27,30,-0.4513044717831584
27,31,-0.44062502011466836
27,32,-0.4647075535038574
27,33,-0.45377293714981437
27,34,-0.4767751819986088
27,35,-0.4656355179906609
27,36,-0.4898236030703215
27,37,-0.48072982713327816
27,38,-0.5031595556090748
27,39,-0.4933567507816315
27,40,-0.5148932682080024
27,41,-0.5053318448470644
28,26,-0.40131012095476876
28,28,-0.4199601310305617
28,29,-0.410857510124708
28,30,-0.4369796334740519
28,31,-0.42626951203757596
28,32,-0.45095927663201596
28,33,-0.43998177633734076
28,34,-0.463561838598135
28,35,-0.45241809369817526
28,36,-0.4771399955573046
28,37,-0.46795213845165395
28,38,-0.4910834303211714
28,39,-0.48136472478600995
28,40,-0.5036286048493736
28,41,-0.49423475840330616
29,24,-0.4025348885718515
29,26,-0.42175379407209806
29,27,-0.4127048579633403
29,28,-0.4394512171263623
29,29,-0.4314022316101664
29,30,-0.4568454380177706
29,31,-0.4471053198758639
29,32,-0.47092571112953663
29,33,-0.460676877581114
29,34,-0.4839668553444082
29,35,-0.47331530583244347
29,36,-0.4971726765106681
29,37,-0.4881363431643188
29,38,-0.5105329735061231
29,39,-0.5012483974952195
29,40,-0.5220382996580436
29,41,-0.5128491048396264
30,26,-0.40495888181379336
30,28,-0.42399315362204226
30,29,-0.41588658447215354
30,30,-0.4424494320853951
30,31,-0.4326268022241061
30,32,-0.45710795166844786
30,33,-0.44683326586207406
30,34,-0.4707515072947738
30,35,-0.4600055731273207
30,36,-0.48447299149381573
30,37,-0.47547126433722503
30,38,-0.498464038208508
30,39,-0.4893098205698566
30,40,-0.5108649504864371
30,41,-0.5019271616546587
31,24,-0.4020751002099024
31,26,-0.42376164036447267
31,27,-0.4160593089541929
31,28,-0.44406536842909433
31,29,-0.4353770610629807
31,30,-0.4610715117908818
31,31,-0.4522664232268577
31,32,-0.4764670329319535
31,33,-0.4671127614153038
31,34,-0.49022449440815413
