구  분(1)	2010. 07	2010. 08	2010. 09	2010. 10	2010. 11	2010. 12	2011. 01	2011. 02	2011. 03	2011. 04	2011. 05	2011. 06	2011. 07	2011. 08	2011. 09	2011. 10	2011. 11	2011. 12	2012. 01	2012. 02	2012. 03	2012. 04	2012. 05	2012. 06	2012. 07	2012. 08	2012. 09	2012. 10	2012. 11	2012. 12	2013. 01	2013. 02	2013. 03	2013. 04	2013. 05	2013. 06	2013. 07	2013. 08	2013. 09	2013. 10	2013. 11	2013. 12	2014. 01	2014. 02	2014. 03	2014. 04	2014. 05	2014. 06	2014. 07	2014. 08	2014. 09	2014. 10	2014. 11	2014. 12	2015. 01	2015. 02	2015. 03	2015. 04	2015. 05	2015. 06	2015. 07	2015. 08	2015. 09	2015. 10	2015. 11	2015. 12	2016. 01	2016. 02	2016. 03	2016. 04	2016. 05	2016. 06	2016. 07	2016. 08	2016. 09	2016. 10	2016. 11	2016. 12	2017. 01	2017. 02	2017. 03	2017. 04	2017. 05	2017. 06	2017. 07	2017. 08	2017. 09	2017. 10	2017. 11	2017. 12	2018. 01	2018. 02	2018. 03	2018. 04	2018. 05	2018. 06	2018. 07	2018. 08	2018. 09	2018. 10	2018. 11	2018. 12	2019. 01	2019. 02	2019. 03	2019. 04	2019. 05	2019. 06	2019. 07	2019. 08	2019. 09	2019. 10
수도권소계	8225	11101	7636	15186	5590	20859	7612	7130	10330	7373	3495	10341	7407	7452	7180	11849	7652	12197	9227	9317	8172	7348	7160	9342	10041	12691	7479	13580	7746	10805	3920	8576	2615	7062	8877	8353	2920	4059	5905	8703	14178	5680	6005	5277	5627	9324	11095	12509	8339	7448	3875	8810	9109	4974	7251	8473	3774	8107	5271	12239	16007	13790	9877	9684	8187	12394	11044	9774	5710	11502	10064	20045	10293	13563	10286	10414	10972	21365	11073	10798	8636	9360	8912	15101	18122	21647	17875	18319	17533	18638	22156	18335	10452	13757	17939	19719	17316	19561	18982	15660	18694	23381	15987	17739	17739	8814	12908	21225	12657	12467	13046	7068
서울	2245	575	692	846	864	6295	3118	1836	708	3362	1191	1646	2792	1507	1661	2962	3580	3650	2605	1097	1148	1080	1653	1258	1161	2529	2329	2963	1863	1796	2214	938	524	458	2006	1342	455	1657	1978	2147	3620	1894	1717	1704	2879	3509	3603	1712	2302	3690	652	4150	1467	1774	2297	1113	1081	3185	1457	1415	2346	3464	2877	1099	1674	1294	3586	2094	1378	2389	2792	2509	3055	3433	2558	846	2010	7630	2199	1956	2102	2968	1959	2433	2658	3467	1689	1218	1929	1929	1542	1439	1381	1592	2597	2962	2061	1581	2007	1907	2297	9938	1703	4380	4380	996	979	2072	1940	1951	5589	972
인천	470	498	391	3750	1258	6244	219	2052	3076	362	752	833	1217	1653	1238	2487	602	1114	406	1424	2576	3703	755	1339	390	5203	2161	2305	192	-973	162	1268	265	179	621	857	256	282	207	183	1270	406	1031	319	422	233	332	3143	1546	129	292	917	217	-1808	573	285	576	557	409	3646	1626	553	362	280	720	1417	502	473	400	401	595	4125	771	548	608	763	590	1534	599	464	522	752	644	1147	1264	1142	2847	418	1239	3186	3937	1412	1915	448	433	503	373	449	1288	1623	749	421	1007	1442	1442	291	1440	380	617	655	391	1212
경기	5510	10028	6553	10590	3468	8320	4275	3242	6546	3649	1552	7862	3398	4292	4281	6400	3470	7433	6216	6796	4448	2565	4752	6745	8490	4959	2989	8312	5691	9982	1544	6370	1826	6425	6250	6154	2209	2120	3720	6373	9288	3380	3257	3254	2326	5582	7160	7654	4491	3629	2931	3743	7425	5008	4381	7075	2117	4365	3405	7178	12035	9773	6638	8305	5793	9683	6956	7207	3932	8712	6677	13411	6467	9582	7120	8805	8372	12201	8275	8378	6012	5640	6309	11521	14200	17038	13339	16683	14365	13523	16677	15484	7156	11717	14909	16254	14882	17531	15687	12130	15648	13022	13277	11917	11917	7527	10489	18773	10100	9861	7066	4884
부산	1699	101	143	148	658	3229	1705	350	695	159	140	1878	324	180	1216	254	3772	1139	188	492	988	346	1833	7066	407	462	1195	672	1048	1557	294	1693	2391	616	308	5077	450	1882	412	711	805	2555	576	802	744	463	3185	868	2350	3496	348	1051	4073	1556	1717	543	1551	699	365	4020	818	389	668	3903	635	2895	905	439	515	791	662	870	735	1312	2392	1787	745	1675	2433	586	1182	1304	1494	1557	2500	1472	2441	987	869	1383	1851	4694	1880	2288	1957	1537	1775	321	789	3096	1309	1242	1330	2247	2247	1583	3122	1365	2907	1924	1130	2097
대구	642	2382	1177	95	611	553	118	2316	1276	79	766	122	228	965	350	184	181	1976	156	1793	127	123	224	142	215	304	204	128	133	465	125	466	112	1555	908	1596	175	833	1167	181	543	4495	338	658	200	850	379	772	1596	687	272	641	410	1073	1791	756	962	543	664	353	748	1754	1119	302	2817	1131	2502	973	2743	1449	666	6631	2077	2067	287	2666	928	987	1308	2335	670	163	263	1260	3123	212	1808	1796	1210	485	505	887	709	2219	160	1049	154	2627	856	784	1962	2563	254	629	629	2342	81	789	85	416	770	1516
광주	59	616	78	64	61	-14	501	49	59	100	65	989	759	72	940	635	112	130	118	118	108	92	89	188	1849	665	283	155	558	714	205	384	392	1904	821	1127	126	126	500	1125	209	1958	992	737	439	818	2761	805	1475	142	343	172	509	409	1350	1151	467	269	104	152	1728	221	607	401	181	432	692	96	845	3409	438	330	664	771	1208	121	349	1551	1394	169	1037	595	275	1766	759	851	821	392	329	1355	813	955	317	938	83	1322	449	1307	1830	103	255	-427	1794	1760	1760	690	1210	1306	156	911	950	474
대전	1369	163	1033	-190	227	2815	141	78	121	697	105	846	918	1862	870	3703	3098	179	2470	118	105	662	116	129	191	294	794	171	194	919	53	78	163	86	79	1005	94	430	1221	1056	129	119	138	2904	1053	798	64	2458	441	1443	259	1818	135	514	216	185	128	77	632	758	139	225	236	640	213	227	204	544	122	146	1159	927	140	199	191	142	181	448	604	246	234	2466	155	639	368	112	192	610	1133	332	116	105	119	850	85	767	1611	659	1231	190	138	249	188	229	229	73	76	1038	91	732	82	816
울산	378	39	149	900	3012	452	784	63	130	111	255	211	515	209	148	160	441	248	196	99	146	164	246	229	2499	321	230	121	408	304	130	1688	629	160	269	665	153	1446	123	1466	697	1963	380	1612	1381	607	1179	820	1266	190	174	610	797	265	247	271	1359	1268	915	179	197	570	1051	160	524	2107	161	184	172	2202	282	621	226	285	562	516	217	596	200	1144	994	709	450	643	172	1046	3020	141	1990	158	1569	701	613	318	84	2254	218	95	165	1304	437	1276	2562	2655	2655	1240	927	682	405	130	1187	370
강원	800	556	290	302	330	1317	263	117	90	113	625	564	310	473	477	341	396	1099	206	748	110	143	174	298	729	428	442	350	748	1380	256	144	549	342	777	748	468	396	289	493	837	1641	307	135	393	1579	1084	933	982	1227	2102	1109	403	659	308	236	194	854	1624	719	722	446	1819	479	1655	1585	360	885	274	242	270	395	549	653	241	1629	1197	1083	453	289	275	762	353	504	693	583	720	1180	2682	1150	1454	301	1140	1180	784	1180	1927	1829	444	1260	1405	3668	1645	1304	1304	1731	614	657	1055	984	1152	3046
충북	295	946	884	796	711	840	1036	133	468	180	250	466	445	403	403	424	447	1083	342	662	351	271	470	1303	534	541	599	688	971	661	539	359	1113	463	362	2144	551	477	513	507	567	695	437	313	2504	2341	586	1000	1133	515	512	766	987	1582	471	254	1107	279	1291	486	1135	620	1645	1052	1624	1535	911	523	613	219	496	1158	1361	974	513	1132	1625	1631	432	1010	494	1022	329	1071	1399	1470	1177	266	2833	1366	1220	2935	1935	1033	357	1921	1650	3894	3461	3504	2561	1057	977	318	318	870	230	475	2856	1651	2495	1613
충남	742	1136	1672	948	448	559	1815	379	167	235	735	1890	503	472	1055	2919	867	1679	366	859	331	1130	3658	600	657	912	540	1800	1362	1513	423	322	263	308	1694	1417	662	1082	474	570	1300	827	498	374	303	603	1129	502	1806	739	2086	2054	1081	2256	496	769	929	791	632	630	3877	1514	1318	2035	1565	2639	2222	528	412	4437	740	1259	664	2573	477	2723	1647	3361	1134	4867	502	673	1925	1381	3988	2897	1791	950	1976	3847	3061	1386	3228	1290	2936	1474	1362	2022	1981	1531	1324	835	715	1057	1057	294	1097	624	2525	933	353	570
