지역(1)	2011. 01	2011. 02	2011. 03	2011. 04	2011. 05	2011. 06	2011. 07	2011. 08	2011. 09	2011. 10	2011. 11	2011. 12	2012. 01	2012. 02	2012. 03	2012. 04	2012. 05	2012. 06	2012. 07	2012. 08	2012. 09	2012. 10	2012. 11	2012. 12	2013. 01	2013. 02	2013. 03	2013. 04	2013. 05	2013. 06	2013. 07	2013. 08	2013. 09	2013. 10	2013. 11	2013. 12	2014. 01	2014. 02	2014. 03	2014. 04	2014. 05	2014. 06	2014. 07	2014. 08	2014. 09	2014. 10	2014. 11	2014. 12	2015. 01	2015. 02	2015. 03	2015. 04	2015. 05	2015. 06	2015. 07	2015. 08	2015. 09	2015. 10	2015. 11	2015. 12	2016. 01	2016. 02	2016. 03	2016. 04	2016. 05	2016. 06	2016. 07	2016. 08	2016. 09	2016. 10	2016. 11	2016. 12	2017. 01	2017. 02	2017. 03	2017. 04	2017. 05	2017. 06	2017. 07	2017. 08	2017. 09	2017. 10	2017. 11	2017. 12	2018. 01	2018. 02	2018. 03	2018. 04	2018. 05	2018. 06	2018. 07	2018. 08	2018. 09	2018. 10	2018. 11	2018. 12	2019. 01	2019. 02	2019. 03	2019. 04	2019. 05	2019. 06	2019. 07	2019. 08	2019. 09	2019. 10
전국	8.4	8.4	8.4	8.4	8.4	8.4	8.3	8.2	8.1	8.0	8.0	8.0	8.0	7.9	7.8	7.8	7.7	7.7	7.7	7.7	7.7	7.6	7.6	7.5	7.5	7.4	7.3	7.2	7.2	7.2	7.2	7.1	7.0	6.9	6.9	6.8	6.7	6.5	6.5	6.5	6.4	6.4	6.4	6.4	6.4	6.3	6.2	6.0	6.0	6.0	6.0	5.8	5.7	5.7	5.6	5.6	5.5	5.4	5.3	5.2	5.1	5.0	5.0	4.9	4.9	4.9	4.9	4.9	4.8	4.8	4.8	4.7	4.7	4.6	4.6	4.6	4.6	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.8	4.8	4.7	4.7
수도권	8.1	8.1	8.1	8.1	8.1	8.1	8.0	8.0	8.0	8.0	7.9	7.8	7.7	7.7	7.6	7.6	7.6	7.5	7.5	7.5	7.5	7.5	7.5	7.4	7.3	7.2	7.2	7.1	7.1	7.0	7.0	6.9	6.9	6.8	6.7	6.6	6.5	6.4	6.3	6.2	6.2	6.1	6.1	6.1	6.0	6.0	6.0	6.0	5.8	5.7	5.6	5.5	5.5	5.4	5.3	5.3	5.2	5.1	5.0	4.9	4.8	4.8	4.7	4.7	4.7	4.7	4.6	4.6	4.6	4.6	4.5	4.5	4.4	4.4	4.4	4.4	4.4	4.4	4.4	4.4	4.4	4.4	4.4	4.4	4.4	4.4	4.4	4.4	4.4	4.4	4.4	4.5	4.4	4.4	4.4	4.4	4.4	4.4	4.4	4.4	4.5	4.5	4.5	4.5	4.5	4.4
서울특별시	7.4	7.4	7.4	7.4	7.4	7.4	7.3	7.3	7.2	7.2	7.2	7.1	7.1	7.1	7.0	7.0	7.0	6.9	6.9	6.9	6.9	6.9	6.8	6.7	6.7	6.7	6.6	6.6	6.6	6.5	6.5	6.4	6.4	6.3	6.2	6.1	6.0	6.0	5.9	5.9	5.8	5.8	5.8	5.8	5.8	5.7	5.6	5.5	5.5	5.4	5.3	5.3	5.2	5.1	5.1	5.0	4.9	4.8	4.8	4.7	4.6	4.6	4.5	4.5	4.5	4.5	4.4	4.4	4.4	4.3	4.2	4.2	4.2	4.2	4.1	4.1	4.1	4.1	4.1	4.1	4.1	4.1	4.1	4.1	4.0	4.0	4.0	4.0	4.1	4.1	4.1	4.1	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.1	4.1	4.1	4.1	4.1	4.0	4.0
부산광역시	7.5	7.5	7.5	7.5	7.5	7.5	7.4	7.3	7.2	7.2	7.2	7.2	7.1	7.0	6.9	6.9	6.8	6.8	6.8	6.7	6.7	6.8	6.7	6.7	6.7	6.7	6.5	6.5	6.5	6.4	6.3	6.2	6.2	6.1	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	5.8	5.7	5.6	5.5	5.5	5.5	5.3	5.3	5.3	5.3	5.2	5.1	5.1	5.1	5.1	5.1	5.0	5.0	4.9	4.8	4.8	4.7	4.7	4.7	4.7	4.7	4.7	4.8	4.8	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.8	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.6
대구광역시	7.6	7.6	7.6	7.6	7.6	7.6	7.5	7.4	7.4	7.3	7.2	7.1	7.1	7.0	6.9	6.8	6.8	6.8	6.7	6.7	6.7	6.7	6.6	6.6	6.6	6.5	6.4	6.4	6.4	6.3	6.3	6.2	6.1	6.0	6.0	6.0	6.0	5.8	5.8	5.8	5.7	5.7	5.6	5.6	5.5	5.5	5.5	5.5	5.4	5.3	5.2	5.2	5.1	5.0	5.0	4.9	4.8	4.8	4.7	4.7	4.6	4.6	4.6	4.6	4.6	4.7	4.7	4.7	4.6	4.6	4.6	4.5	4.5	4.4	4.4	4.4	4.4	4.4	4.4	4.5	4.5	4.5	4.5	4.5	4.4	4.4	4.4	4.4	4.4	4.4	4.4	4.4	4.5	4.6	4.6	4.5	4.4	4.4	4.4	4.4	4.5	4.6	4.6	4.6	4.6	4.6
인천광역시	8.8	8.8	8.8	8.8	8.8	8.8	8.8	8.8	8.8	8.7	8.7	8.7	8.7	8.6	8.6	8.5	8.5	8.4	8.4	8.4	8.3	8.3	8.3	8.3	8.3	8.3	8.3	8.2	8.0	8.0	8.0	7.8	7.8	7.7	7.5	7.5	7.4	7.2	7.2	7.1	7.0	7.0	6.9	6.9	6.9	6.7	6.6	6.5	6.5	6.3	6.2	6.0	6.0	6.0	6.0	5.8	5.6	5.6	5.4	5.3	5.2	5.1	5.0	5.0	4.9	4.9	4.9	4.9	4.9	4.9	4.8	4.8	4.8	4.7	4.7	4.7	4.8	4.8	4.8	4.8	4.8	4.8	4.8	4.8	4.8	4.8	4.9	4.9	4.9	4.9	4.9	4.9	4.9	4.9	4.9	4.9	4.9	4.9	4.9	4.9	5.0	5.0	4.9	4.9	4.9	4.9
광주광역시	9.0	9.0	9.0	9.0	9.0	9.0	8.9	8.6	8.4	8.1	8.0	8.0	7.9	7.9	7.9	8.0	8.0	7.8	7.9	8.0	8.0	7.7	7.7	7.6	7.5	7.6	7.6	7.5	7.5	7.5	7.4	7.3	7.2	7.1	7.1	7.1	7.1	7.1	7.0	6.9	6.8	6.7	6.6	6.5	6.5	6.5	6.5	6.5	6.4	6.4	6.4	6.4	6.3	6.2	6.2	6.1	6.0	6.0	6.0	6.0	6.0	5.8	5.6	5.6	5.6	5.6	5.7	5.7	5.6	5.6	5.5	5.4	5.3	5.3	5.2	5.2	5.3	5.3	5.3	5.4	5.5	5.4	5.4	5.3	5.2	5.2	5.2	5.2	5.2	5.3	5.3	5.3	5.3	5.3	5.3	5.3	5.2	5.1	5.1	5.1	5.2	5.3	5.3	5.3	5.2	5.1
대전광역시	7.6	7.6	7.6	7.6	7.6	7.6	7.4	7.5	7.5	7.4	7.4	7.4	7.3	7.3	7.4	7.3	7.3	7.4	7.4	7.3	7.4	7.2	7.2	7.1	7.1	7.0	7.0	6.9	6.9	6.9	6.9	6.7	6.7	6.7	6.6	6.5	6.5	6.3	6.2	6.2	6.2	6.3	6.3	6.4	6.4	6.5	6.4	6.3	6.3	6.0	6.0	6.0	6.0	6.0	6.0	6.0	5.7	5.7	5.6	5.6	5.5	5.4	5.3	5.3	5.3	5.3	5.2	5.1	5.1	5.2	5.1	5.1	5.1	5.1	5.2	5.2	5.1	5.2	5.2	5.1	5.1	5.1	5.1	5.1	5.1	5.0	5.1	5.1	5.2	5.2	5.2	5.2	5.0	4.9	4.9	4.8	4.8	4.7	4.7	4.8	4.8	4.8	4.9	5.0	5.1	5.0
울산광역시	8.7	8.7	8.7	8.7	8.7	8.7	8.6	8.4	8.4	8.2	8.3	8.0	8.0	8.0	7.8	7.6	7.4	7.5	7.4	7.4	7.5	7.5	7.5	7.4	7.2	7.4	7.3	7.1	7.0	7.1	7.2	7.2	7.2	7.2	7.2	7.1	6.9	6.8	6.5	6.5	6.5	6.5	6.4	6.4	6.5	6.4	6.4	6.4	6.3	6.3	6.3	6.0	6.0	6.0	6.0	6.0	6.0	6.0	5.8	5.7	5.6	5.5	5.5	5.3	5.2	5.1	5.0	5.0	4.9	4.9	4.8	4.8	4.8	4.7	4.8	4.8	4.9	4.9	5.0	4.9	4.9	5.0	5.0	4.9	5.0	4.8	4.8	4.8	4.8	4.8	4.8	4.8	4.8	4.9	4.9	4.8	4.8	4.9	4.9	4.9	4.8	4.8	4.8	4.8	4.8	4.8
세종특별자치시	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8.1	7.7	8.0	8.0	8.0	8.0	8.0	8.0	7.8	7.6	7.2	7.0	7.2	7.1	7.0	7.2	7.0	6.8	6.4	6.0	6.0	6.0	6.1	6.5	6.4	6.4	6.4	6.3	6.2	6.3	6.1	6.2	6.0	6.0	5.8	5.3	5.3	5.2	5.1	5.1	5.0	4.9	4.8	4.8	4.9	5.0	6.0	5.8	5.3	5.6	5.0	4.7	4.1	4.1	4.1	4.2	4.2	4.2	4.3	4.4	4.7	4.8	4.8	4.7	4.6	4.6	4.6	4.7	4.7	4.8	4.8	4.8	4.9	5.0	5.1	5.1	5.0	5.0	4.9	4.8	4.7	4.7	4.7	4.8	4.8	4.9	4.8	4.8
