지역(1)	2003. 11	2003. 12	2004. 01	2004. 02	2004. 03	2004. 04	2004. 05	2004. 06	2004. 07	2004. 08	2004. 09	2004. 10	2004. 11	2004. 12	2005. 01	2005. 02	2005. 03	2005. 04	2005. 05	2005. 06	2005. 07	2005. 08	2005. 09	2005. 10	2005. 11	2005. 12	2006. 01	2006. 02	2006. 03	2006. 04	2006. 05	2006. 06	2006. 07	2006. 08	2006. 09	2006. 10	2006. 11	2006. 12	2007. 01	2007. 02	2007. 03	2007. 04	2007. 05	2007. 06	2007. 07	2007. 08	2007. 09	2007. 10	2007. 11	2007. 12	2008. 01	2008. 02	2008. 03	2008. 04	2008. 05	2008. 06	2008. 07	2008. 08	2008. 09	2008. 10	2008. 11	2008. 12	2009. 01	2009. 02	2009. 03	2009. 04	2009. 05	2009. 06	2009. 07	2009. 08	2009. 09	2009. 10	2009. 11	2009. 12	2010. 01	2010. 02	2010. 03	2010. 04	2010. 05	2010. 06	2010. 07	2010. 08	2010. 09	2010. 10	2010. 11	2010. 12	2011. 01	2011. 02	2011. 03	2011. 04	2011. 05	2011. 06	2011. 07	2011. 08	2011. 09	2011. 10	2011. 11	2011. 12	2012. 01	2012. 02	2012. 03	2012. 04	2012. 05	2012. 06	2012. 07	2012. 08	2012. 09	2012. 10	2012. 11	2012. 12	2013. 01	2013. 02	2013. 03	2013. 04	2013. 05	2013. 06	2013. 07	2013. 08	2013. 09	2013. 10	2013. 11	2013. 12	2014. 01	2014. 02	2014. 03	2014. 04	2014. 05	2014. 06	2014. 07	2014. 08	2014. 09	2014. 10	2014. 11	2014. 12	2015. 01	2015. 02	2015. 03	2015. 04	2015. 05	2015. 06	2015. 07	2015. 08	2015. 09	2015. 10	2015. 11	2015. 12	2016. 01	2016. 02	2016. 03	2016. 04	2016. 05	2016. 06	2016. 07	2016. 08	2016. 09	2016. 10	2016. 11	2016. 12	2017. 01	2017. 02	2017. 03	2017. 04	2017. 05	2017. 06	2017. 07	2017. 08	2017. 09	2017. 10	2017. 11	2017. 12	2018. 01	2018. 02	2018. 03	2018. 04	2018. 05	2018. 06	2018. 07	2018. 08	2018. 09	2018. 10	2018. 11	2018. 12	2019. 01	2019. 02	2019. 03	2019. 04	2019. 05	2019. 06	2019. 07	2019. 08	2019. 09	2019. 10	2019. 11	2019. 12	2020. 01	2020. 02	2020. 03
전국	63.2	62.9	62.7	62.9	63.2	63.4	63.5	63.5	63.4	63.2	63.1	63	62.7	62.5	62.3	62.7	63	63.5	64	64.8	65.4	65.7	65.9	65.9	66	66.1	66.4	66.8	67.3	68	68.8	69.2	69.3	69.5	69.9	71	73.7	75.3	76.3	76.7	76.9	77.1	77.1	77.2	77.4	77.6	77.9	78.2	78.5	78.7	79.1	79.4	80.1	81.2	81.9	82.8	83.3	83.6	84	83.9	83.4	82.7	82.1	81.9	81.7	81.7	81.8	82	82.3	82.5	83.2	83.5	83.8	83.9	84	84.3	84.5	84.7	84.7	84.6	84.5	84.4	84.5	84.7	85.1	85.5	86	86.8	87.8	89.1	89.3	89.9	90.3	90.9	91.5	91.9	92.3	92.5	92.8	92.8	92.8	92.7	92.6	92.3	91.9	91.6	91.2	91	90.8	90.5	90.2	90	89.9	90.1	90.3	90.4	90.4	90.2	90.3	90.7	91	91.2	91.5	91.8	92.2	92.3	92.3	92.4	92.4	92.6	92.9	93.2	93.5	93.7	93.9	94.2	94.6	95.2	95.6	96.1	96.5	96.8	97.2	97.7	98.1	98.3	98.3	98.3	98.2	98.2	98.3	98.3	98.3	98.4	98.5	98.7	99	99	99	99	99	99.1	99.2	99.4	99.6	99.8	99.9	99.9	100	100.1	100.2	100.4	100.5	100.5	100.4	100.2	100.1	100	100.3	100.4	100.4	100.2	99.9	99.6	99.3	98.9	98.6	98.3	98.1	98	97.9	98	98.2	98.7	99.1	99.6	100.4
수도권	64.9	64.5	64.3	64.5	64.7	65	65	64.8	64.6	64.2	63.9	63.7	63.3	62.9	62.7	63.1	63.5	64.1	64.6	65.8	66.8	67.1	67.2	67.1	67.1	67.3	67.6	68.2	69	70.1	71.4	72.1	72.4	72.7	73.4	75.3	80.4	83.6	85.6	86.3	86.6	87	87	87.3	87.7	88.2	88.7	89.2	89.8	90.2	90.7	91.3	92.6	94.6	95.9	97.3	98.2	98.6	99	98.7	97.7	96.3	95.3	94.9	94.5	94.5	94.7	95	95.4	95.8	96.6	96.9	96.9	96.8	96.8	96.9	96.9	96.7	96.1	95.6	95	94.5	94.3	94.1	94	94	94.1	94.4	94.7	94.8	94.8	94.8	94.7	94.6	94.6	94.6	94.4	94.3	94	93.9	93.6	93.2	92.8	92.3	91.7	91	90.4	89.8	89.4	88.8	88.3	87.9	87.6	87.7	87.9	87.8	87.5	87.3	87.3	87.8	88	88.1	88.4	88.7	89.1	89.1	89.1	89	89	89.2	89.6	90	90.2	90.3	90.5	90.8	91.3	92	92.6	93.2	93.6	94.1	94.6	95.1	95.6	95.9	95.9	95.9	95.9	96	96.1	96.3	96.5	96.7	96.9	97.3	97.6	97.7	97.7	97.7	97.8	97.9	98.2	98.6	98.9	99.4	99.5	99.7	100	100.3	100.8	101.4	101.7	101.9	102	102.1	102.1	102.3	103.3	103.7	103.9	103.9	103.6	103.3	103	102.6	102.3	102.1	102	102.1	102.2	102.5	103	103.8	104.4	105.1	106.6
서울	61.6	61.2	61	61.4	61.7	62.1	62.2	62.1	61.9	61.5	61.3	61.1	60.8	60.6	60.4	61	61.3	62	62.6	63.7	64.9	65.2	65.3	65.3	65.4	65.8	66.3	66.9	68	69.5	70.8	71.3	71.5	71.7	72.3	73.8	78.2	81.2	83.1	83.6	84	84.3	84.3	84.5	84.8	85.2	85.6	85.9	86.5	86.9	87.5	88.1	89.7	91.9	93.3	94.7	95.4	95.6	95.8	95.5	94.7	93	92.2	92	91.8	92.1	92.3	92.7	93.5	93.9	95	95.3	95.3	95.3	95.4	95.7	95.6	95.5	95.1	94.8	94.3	93.9	93.6	93.4	93.3	93.4	93.5	93.8	93.9	93.9	93.9	93.8	93.7	93.6	93.5	93.3	93.2	93	92.8	92.5	92.1	91.6	91.1	90.4	89.8	89	88.4	87.8	87.4	86.8	86.3	86	85.8	86	86.2	86	85.5	85.1	85.2	85.6	85.7	85.7	86	86.3	86.6	86.6	86.6	86.5	86.5	86.6	86.9	87.3	87.4	87.4	87.5	87.8	88.3	88.9	89.5	90.1	90.6	91.1	91.7	92.3	92.9	93.3	93.3	93.3	93.3	93.4	93.6	93.9	94.3	94.6	95	95.7	96.2	96.3	96.3	96.4	96.6	96.8	97.3	98.2	98.7	99.3	99.3	99.6	100	100.8	102.2	103.6	104.4	104.8	105	105.2	105.6	106.5	108.4	109.1	109.1	108.9	108.5	108.1	107.7	107.3	107.1	107	107.1	107.2	107.4	108.1	108.8	110.1	110.6	110.8	110.9
경기	66.8	66.5	66.2	66.3	66.5	66.7	66.6	66.3	66	65.6	65.3	65	64.6	64.2	63.9	64.3	64.8	65.3	65.9	67.4	68.6	68.9	69	68.9	68.8	68.8	69.1	69.7	70.4	71.5	73.1	74.1	74.5	74.9	75.8	78.3	84.6	88.1	90.2	91	91.4	91.7	91.6	91.8	92.1	92.6	93.1	93.6	94	94.2	94.6	95	96	97.5	98.7	99.8	100.4	100.7	100.9	100.4	99	97.6	96.4	95.9	95.4	95.3	95.5	95.7	96	96.3	97	97.3	97.2	97.1	97	97	96.9	96.6	96	95.3	94.6	94	93.8	93.6	93.5	93.6	93.8	94.2	94.6	94.8	94.8	94.8	94.8	94.8	94.9	95	95	94.9	94.6	94.5	94.3	94	93.7	93.3	92.7	92	91.4	90.8	90.4	89.9	89.3	88.9	88.6	88.6	88.8	88.8	88.6	88.4	88.4	88.8	89	89.2	89.5	89.8	90.3	90.2	90.2	90.1	90.1	90.3	90.8	91.2	91.4	91.6	91.8	92.2	92.7	93.5	94.1	94.7	95.1	95.6	96	96.6	97	97.2	97.3	97.3	97.3	97.3	97.3	97.5	97.6	97.7	97.8	98	98.3	98.3	98.3	98.3	98.4	98.5	98.6	98.8	99.1	99.5	99.7	99.8	100	100	100.1	100.3	100.5	100.6	100.6	100.6	100.5	100.5	101	101.5	101.7	101.7	101.5	101.3	101	100.5	100.1	99.8	99.6	99.6	99.7	99.9	100.2	100.9	101.6	102.7	104.6
인천	67.1	66.6	66.4	66.6	66.6	66.8	66.8	66.7	66.8	66.5	66.2	65.9	65.5	65	64.6	64.6	64.9	65.2	65.3	65.4	65.4	65.5	65.4	65.3	65.2	65.2	65.2	65.3	65.4	65.7	66	66.2	66.4	66.5	66.8	67.8	70.5	73.1	75	75.7	76	76.5	77.2	77.9	78.8	79.7	80.5	81.7	83	83.9	85.1	86	87.4	90.1	92	94.9	97.6	99	100.8	101.3	101.2	100.4	99.9	99.3	98.9	98.6	98.6	98.6	98.6	98.7	99.3	99.6	99.7	99.6	99.6	99.5	99.5	99.3	98.9	98.5	97.9	97.5	97.2	97.1	96.9	96.8	96.8	96.8	96.9	96.9	96.8	96.7	96.4	96.2	95.9	95.5	95.2	95	94.8	94.6	94.4	94.1	93.7	93.2	92.6	92	91.5	90.9	90.4	89.8	89.1	88.6	88.2	88.4	88.5	88.5	88.4	88.3	88.4	89.1	89.5	89.7	90	90.3	90.9	91.1	91.2	91.2	91.3	91.5	91.8	92.1	92.4	92.5	92.6	92.9	93.3	94	94.6	95.2	95.6	95.9	96.2	96.6	97	97.2	97.2	97.2	97.3	97.3	97.4	97.6	97.7	97.9	98	98.2	98.4	98.5	98.5	98.4	98.5	98.5	98.6	98.7	98.9	99.3	99.6	99.8	100	100	100	100.1	100.1	100.1	100	100	99.8	99.5	99.4	99.5	99.7	99.9	99.8	99.7	99.6	99.5	99.4	99.4	99.4	99.1	99.3	99.4	99.6	100.1	100.3	100.9	103.3
부산	59.8	59.3	59.2	59.2	59.3	59.4	59.5	59.4	59.1	58.9	58.8	58.7	58.5	58.2	58.1	58	58	58.1	58.2	58.2	58.2	58.2	58.2	58.2	58.1	58.1	58.1	58.1	58.1	58	57.9	57.8	57.7	57.6	57.6	57.6	57.6	57.7	57.7	57.7	57.7	57.7	57.7	57.7	57.7	57.8	57.8	57.9	58	58.1	58.3	58.4	58.8	59.2	59.5	59.8	60.3	60.5	61	61.2	61.3	61.4	61.3	61.4	61.5	61.6	61.9	62	62.2	62.4	63.2	63.7	64.6	65.1	65.5	66.3	67.3	68.3	69.3	70	70.5	71.1	71.8	72.8	74.3	75.5	76.9	78.7	80.9	84.7	85.6	86.9	88	89.1	90.2	90.9	92	92.3	92.2	91.9	91.7	91.4	91	90.5	90.1	89.6	89.3	89.1	89	88.7	88.4	88.2	88.1	88.1	88.2	88.1	88	87.9	87.8	88	88.1	88.2	88.3	88.4	88.5	88.6	88.6	88.7	88.8	88.9	89.1	89.3	89.5	89.7	89.8	90	90.3	90.8	91.2	91.7	92	92.2	92.5	93	93.7	94	94	94.1	94.2	94.3	94.5	94.7	94.9	95.3	95.8	96.6	97.4	97.9	98.2	98.4	98.6	98.8	99.2	99.6	99.9	100.1	100.1	100.1	100	99.9	99.7	99.5	99.3	99	98.7	98.4	98	97.6	97.3	97	96.7	96.3	96	95.7	95.4	95	94.6	94.3	93.9	93.7	93.4	93.1	93.2	93.7	93.9	93.9	93.9
대구	61.7	61.1	60.9	61	61.3	61.4	61.4	61.4	61.5	61.4	61.5	61.6	61.5	61.4	61.4	61.7	62.1	62.8	63.6	64.3	64.9	65.6	66.2	66.6	66.9	67.4	67.8	68.2	68.5	68.7	69	68.9	68.8	68.6	68.5	68.5	68.5	68.5	68.5	68.3	68.2	67.9	67.7	67.5	67.2	67.1	67	66.9	66.7	66.5	66.4	66.3	66.2	66	65.9	65.7	65.7	65.6	65.4	65.2	64.9	64.3	63.6	63	62.7	62.5	62.5	62.4	62.5	62.5	62.8	63	63.2	63.4	63.5	63.6	63.6	63.7	63.8	63.8	63.8	63.8	64	64.1	64.5	64.7	65	65.8	66.7	67.9	68.2	68.9	69.6	70.4	71.4	72.1	73.2	73.6	75.2	75.6	76.1	76.6	76.8	76.9	77	77.2	77.4	77.6	77.8	78.4	78.9	79.1	79.3	80.2	81	81.9	83.2	83.9	84.4	85.2	86.2	87.4	88.7	89.5	90.1	90.7	91.1	91.4	91.6	92	92.4	92.9	93.6	94.3	94.8	95.4	96	97	98	99	99.7	100.5	101.5	102.3	102.8	102.8	102.6	102.3	101.9	101.5	101.3	100.8	100.6	100.2	100	99.8	99.8	99.6	99.5	99.3	99.2	99	98.8	98.7	98.7	99.2	99.5	99.8	100	100.2	100.4	100.6	100.7	101.1	101.3	101.4	101.5	101.7	102	102.6	103	103.3	103.4	103.4	103.3	103.2	103.1	103	102.8	102.7	102.7	102.8	103	103.2	103.7	104	104
광주	58.3	58	57.9	58.1	58.2	58.3	58.3	58.5	58.7	58.7	59	59.9	60.1	60.3	60.4	60.7	61.1	61.5	61.8	62	62.2	62.9	63.2	63.3	63.5	63.6	63.9	64.2	64.5	64.8	64.9	65.2	65.2	65.3	65.5	65.8	66	66	66	66	66.1	66.2	66.1	66.1	66.1	66.1	66.1	66.2	66.4	66.5	66.4	66.5	66.6	67	67.4	67.6	67.7	67.8	68.1	68.2	68.3	68.3	68.1	68.1	68	67.9	67.8	67.7	67.7	67.7	67.7	67.8	67.8	67.9	68	68	68.2	68.3	68.5	68.6	68.6	68.8	68.9	69.2	69.6	70.2	70.8	72.1	73.8	76.5	77.4	79	80.3	81.8	83.7	84.8	85.5	85.9	86.8	86.8	87.4	87.6	88.2	88.7	88.9	88.9	88.9	88.9	89	89.3	89.3	89.4	89.5	89.8	90	90.1	90	90	90	90.1	90.3	90.3	90.3	90.6	90.8	91	91	91.1	91.2	91.4	91.6	91.8	91.9	92.3	92.6	92.9	93.6	95	95.7	96.6	97.1	97.5	97.8	98.2	98.8	99	99.1	99.1	99.1	99.3	99.2	99.2	99.1	99	99	99.1	99.2	99.3	99.3	99.4	99.3	99.4	99.4	99.4	99.5	99.6	99.7	99.9	100	100.1	100.2	100.4	100.6	100.8	101	101.1	101.3	101.5	102.2	102.9	103.2	103.6	103.7	103.8	103.8	103.7	103.6	103.5	103.3	103.2	103.1	103	103.1	103.1	103.2	103.3	103.3
대전	75.4	74.6	74.9	75.6	76	76.6	77.5	77.9	78.1	78.2	78.1	78	76.9	76.1	75.6	75.9	76.8	77.6	78	78.5	78.7	78.7	78.6	78	77.5	78	78.2	78.1	78.1	77.9	77.5	77.1	76.8	76.5	76.1	76	76	76	75.9	75.7	75.4	75	74.8	74.6	74.3	74.2	74.1	74.2	74.2	74.3	74.3	74.3	74.4	74.6	74.7	74.8	74.8	74.9	75.1	75.1	75	75	74.7	74.7	74.8	74.8	75.1	75.4	75.8	76.2	77.2	77.9	78.7	79.2	79.7	80.8	81.3	82	82.5	82.6	82.7	83.1	83.6	84.2	85.2	86.6	87.8	89.9	91.8	93.3	92.6	94.7	96.8	98.5	99.9	100.8	101.1	100.9	100.5	100	99.8	99.4	99.2	98.4	97.8	97	96.8	96.9	97.1	97.2	97.2	97.2	97.2	97.5	97.6	97.7	97.4	97.2	97.1	97.3	97.5	97.7	98.1	98.1	98.1	97.9	97.8	97.7	97.7	97.7	97.9	98.2	98.3	98.3	98.3	98.3	98.4	98.5	98.5	98.5	98.4	98.4	98.3	98.4	98.5	98.5	98.4	98.3	98.3	98.3	98.3	98.2	98.3	98.3	98.3	98.4	98.5	98.6	98.7	98.8	98.8	98.9	98.9	98.9	99	99.2	99.5	99.7	100	100.1	100.3	100.5	100.6	100.6	100.6	100.5	100.5	100.6	100.6	101.3	102	102.6	102.9	103	103	102.9	103.1	103.5	103.8	104.8	106.1	107.7	109.3	110.8	112.6	114.2	116.1
울산	51.5	51.1	51.1	51.2	51.6	52.1	52.7	52.8	52.9	52.9	53	53.3	53.6	53.6	53.6	53.7	53.9	54.5	55	55.5	55.8	56.3	56.8	56.8	56.7	56.7	56.9	57	57.6	58.2	59.3	60	60.3	60.6	61.3	62.7	64.9	66.2	67.4	68	68.5	69	69.3	70	70.1	70.1	70.1	70.6	71	71.2	71.4	71.5	71.7	71.8	71.9	72.1	71.9	72.2	72.3	72.4	72.3	71.9	71.7	71.4	71.3	71.4	71.5	71.7	72.1	72.5	72.9	73.2	73.7	74.1	74.3	74.6	74.9	75.2	75.7	75.9	76	76	76.3	76.5	76.9	77.1	77.6	78.4	79.9	81.4	81.8	82.9	83.8	84.6	85.5	86.5	88.8	89.7	90.8	91.8	92.5	93.3	94	94.5	94	93.8	93.7	93.7	94	93.7	93.6	93.4	93.3	93.4	93.4	93.5	93.6	93.4	93.4	93.7	93.9	93.9	94	94.1	94.4	94.7	95	95.4	95.9	96.3	96.6	96.9	97.1	97.4	97.5	97.8	98	98.4	98.7	99.2	99.5	99.8	100.3	100.7	101.1	101.5	101.7	101.9	102	102.2	102.3	102.3	102.1	101.9	101.9	102	102.1	102	101.8	101.7	101.7	101.6	101.4	101.3	101.1	100.8	100.7	100.4	100	99.7	99.2	98.7	98.3	97.7	96.7	95.8	94.8	93.7	92.9	91.9	90.8	89.8	88.9	88.4	87.8	87.2	86.7	86.3	85.9	85.7	85.5	85.7	86	86.5	86.9	87.3	87.8
