Reg	2011. 01	2011. 02	2011. 03	2011. 04	2011. 05	2011. 06	2011. 07	2011. 08	2011. 09	2011. 10	2011. 11	2011. 12	2012. 01	2012. 02	2012. 03	2012. 04	2012. 05	2012. 06	2012. 07	2012. 08	2012. 09	2012. 10	2012. 11	2012. 12	2013. 01	2013. 02	2013. 03	2013. 04	2013. 05	2013. 06	2013. 07	2013. 08	2013. 09	2013. 10	2013. 11	2013. 12	2014. 01	2014. 02	2014. 03	2014. 04	2014. 05	2014. 06	2014. 07	2014. 08	2014. 09	2014. 10	2014. 11	2014. 12	2015. 01	2015. 02	2015. 03	2015. 04	2015. 05	2015. 06	2015. 07	2015. 08	2015. 09	2015. 10	2015. 11	2015. 12	2016. 01	2016. 02	2016. 03	2016. 04	2016. 05	2016. 06	2016. 07	2016. 08	2016. 09	2016. 10	2016. 11	2016. 12	2017. 01	2017. 02	2017. 03	2017. 04	2017. 05	2017. 06	2017. 07	2017. 08	2017. 09	2017. 10	2017. 11	2017. 12	2018. 01	2018. 02	2018. 03	2018. 04	2018. 05	2018. 06	2018. 07	2018. 08	2018. 09	2018. 10	2018. 11	2018. 12	2019. 01	2019. 02	2019. 03	2019. 04	2019. 05	2019. 06	2019. 07	2019. 08	2019. 09	2019. 10						
Cap	-0.844915564	-0.602252043	-0.286069521	-0.238637907	-0.455637538	-0.542962526	-0.585820377	-0.58903895	-0.499342382	0.320546934	-0.090075318	0.105834184	-0.590732937	-0.699656249	-0.115908608	-0.496970801	-0.418200443	-0.079064408	-0.442932642	-0.272771729	0.018763294	-0.16096864	-0.754372003	-0.167575187	-0.693727297	-0.357809836	-0.369413641	-0.242534075	-0.549484373	-0.176299215	-0.192561483	-0.003089128	-0.307667844	-0.494429822	-0.188241818	-0.017742108	-0.661541559	-0.680514205	-0.318594055	0.272607125	-0.286831814	-0.477998156	-0.32537	-0.302416487	-0.236774522	0.528737836	0.162328624	-0.006731198	-0.454028251	-0.15487029	0.482830811	0.755986084	0.62639614	0.786054339	0.479781636	1.157291412	0.366708057	2.517392923	1.417911187	0.776906813	-0.482487219	-0.23711332	0.395675221	0.656210297	0.56507384	1.058447318	0.749379538	0.187569018	0.919201653	0.506970114	0.843141673	0.706860484	-0.344850841	-0.348408212	-0.05314642	-0.406427239	0.032992778	0.299541505	0.169358666	0.561601169	0.378057765	-0.044337691	0.18850071	0.394912928	-0.390249671	-0.186378433	0.79816634	0.041123912	0.295137141	-0.142080694	-0.021892374	-0.526192063	-0.117771993	-0.301823592	0.405839138	0.131074579	-0.435394403	-0.122091657	-0.180957678	-0.022061773	0.126500816	-0.048742055	-0.133271966	0.122689347	-0.508574607	0.176727506	-1	-1	-1	-1	-1	-1
SO	-0.841428638	-0.727004985	0.488858951	0.196493003	-0.609427924	-0.112540958	-0.031903817	-0.530142243	-0.446802181	0.126217058	-0.498157679	2.725075542	-0.097224406	-0.664387317	0.328936129	-0.020191159	0.543818343	-0.574740439	-0.349947514	0.157751136	0.617698182	-0.688713605	-1.01982142	-0.539602467	-0.793677035	-0.622492042	0.068554745	-0.54906269	-0.653125146	-0.614383279	-0.113441932	1.177653304	-0.777009022	-0.311656134	1.309645943	1.070887927	-0.649971738	-0.678352408	-0.240479216	-0.517979099	-0.238226782	-0.112090471	-0.319764897	0.097836388	-0.267958912	0.300555459	-0.13641676	-0.382833052	-0.428782708	-0.661684396	-0.211648059	-0.409411775	-0.076502012	-0.01298337	0.111350993	0.445161729	0.879881513	2.966085992	0.205052252	1.510563066	-0.112540958	-0.161644022	-0.1760596	-0.035057225	-0.448153642	1.303339127	-0.70357967	0.430746151	0.10189077	0.299203998	0.277580631	0.344703167	-0.593660885	-0.634655186	-0.285527898	0.031614825	-0.669342672	0.343802194	0.899252447	0.614094288	1.208736894	-0.318413436	0.986646891	-0.01163191	-0.288681306	0.282535986	-0.005325094	0.249199961	0.722661612	0.025758497	1.294779878	-0.654927093	0.275328197	-0.322467818	0.36272264	-0.217504388	-0.437341958	0.309565195	0.055490627	-0.475182851	-0.46256922	0.146939452	-0.161644022	-0.32922512	-0.337333883	-0.520231533	-1	-1	-1	-1	-1	-1
IC	-0.655195217	-0.469531103	-0.553837767	-0.553837767	-0.56709949	0.330908571	-0.685507726	-0.528261588	-0.009159882	-0.65235342	0.177451497	-0.440165861	-0.000634489	-0.507421739	0.260810895	-0.686454991	-0.660878813	-0.790654239	-0.043261454	-0.713925702	-0.856015585	-0.737607349	-0.806757759	-0.001581755	-0.862646446	-0.887275359	-0.768867124	-0.74897454	-0.676035067	2.233018472	-0.73287102	-0.657089749	-0.682665928	-0.74897454	-0.633408102	-0.066943101	-0.699716714	-0.266816204	0.000312776	-0.527314322	-0.629619038	-0.525419791	-0.58320301	-0.597411998	-0.566152224	-0.605937391	-0.407958821	-0.603095593	-0.528261588	-0.691191321	1.205234984	-0.524472525	0.678555151	1.70823317	-0.402275225	1.358692058	0.480576581	3.924835346	-0.072626697	0.765703613	-0.600253796	-0.542470577	-0.06031224	-0.079257558	-0.220400175	-0.602148328	-0.358700995	-0.556679565	1.136084575	-0.450585786	1.591719466	-0.398486162	-0.36438459	-0.446796722	-0.672246003	-0.263974406	0.736338371	-0.349228336	-0.427851404	1.345430336	-0.614462784	-0.206191187	-0.61541005	-0.197665794	0.342275762	-0.310390434	0.232392919	-0.656142483	0.207764006	-0.753710869	0.065674123	0.013574499	2.918838974	1.593613998	1.619190177	1.776436314	-0.118095459	0.92294975	1.269649065	-0.602148328	2.542774417	0.220078462	-0.585097542	0.102617492	1.19481506	4.713907829	-1	-1	-1	-1	-1	-1
GG	-0.86929991	-0.586214065	-0.454576217	-0.312857465	-0.401827302	-0.763098761	-0.717617474	-0.611885204	-0.573671546	0.491504881	-0.016994661	-0.508145671	-0.792169274	-0.73262161	-0.278277621	-0.597584387	-0.638494101	0.13796993	-0.516585497	-0.330205997	-0.028833862	0.047710675	-0.678817717	-0.091312021	-0.646816708	-0.223418749	-0.43394553	-0.100103507	-0.506856253	-0.360448709	-0.146288113	-0.229396959	-0.139137705	-0.510490067	-0.522915367	-0.294922834	-0.659828107	-0.732269951	-0.37838334	0.577309783	-0.257060835	-0.567341676	-0.294922834	-0.370060733	-0.187901146	0.72852334	0.310634712	0.164930486	-0.451411282	0.043373542	0.574144848	1.217681613	0.8028407	0.879854117	0.68480035	1.317670112	0.219086039	2.226475311	1.917952767	0.587390687	-0.564176741	-0.218964396	0.600870965	0.927093701	0.925921503	1.200215861	1.264569538	0.216389984	1.105033374	0.679525459	0.897671528	0.937877923	-0.277691522	-0.261749627	0.083931597	-0.538036723	0.128709565	0.368306859	0.053337226	0.450946826	0.284729134	0.047007356	0.080297783	0.574027628	-0.507325132	-0.293047317	1.077252279	0.073264594	0.194704319	-0.110067191	-0.375335625	-0.559487948	-0.59582609	-0.531003534	0.266911722	0.018171282	-0.474151926	-0.363730863	-0.42198911	0.167626542	-0.019221837	-0.132925055	-0.069978016	0.242764441	-0.7639193	-0.203374161	-1	-1	-1	-1	-1	-1
BS	-0.193366995	-0.364754573	-0.438457081	0.821504842	-0.208575449	0.620870237	-0.652545319	-0.76134426	-0.496366195	-0.740871341	1.147316723	2.026482355	-0.764853903	-0.658394724	-0.331997903	-0.333752725	-0.230218249	-0.391661838	-0.813988908	0.502127307	-0.671848357	0.258207102	1.057820821	0.059912259	-0.788251524	-0.705774908	-0.516254173	-0.760759319	-0.85961427	-0.418569103	-0.158855503	0.060497199	-0.698170681	-0.482912562	0.375780151	0.068686367	0.159352151	-0.439626962	-0.175233838	-0.440796844	-0.695830919	-0.113230141	-0.58820186	-0.408040173	-0.167629611	0.458256767	1.191772204	-0.439626962	-0.563634357	-0.79468587	0.771199956	0.02832547	-0.196876638	1.833451977	0.778219242	0.296813178	-0.206235687	-0.106795795	-0.0693596	-0.300411114	-0.083983114	-0.148326573	1.126843804	0.524939988	-0.034848109	0.612681069	-0.601070552	0.536053859	-0.809309384	-0.238992357	1.071859394	0.781143945	-0.549595784	-0.289882184	-0.416814281	-0.506895125	-0.476478216	-0.10094639	0.553602075	1.795430842	1.42574842	1.516999145	0.932643545	-0.27467373	-0.643771211	-0.818083492	-0.067019838	0.254697459	0.215506443	0.612096129	0.506221891	0.274585437	1.387142345	0.106122562	-0.970752973	-0.717473719	-0.626222995	-0.835046768	-0.853179924	-0.602825373	1.016290042	0.376365091	-0.568313881	0.819750021	1.261380129	0.15818227	-1	-1	-1	-1	-1	-1
DG	-0.933231351	-0.91675597	-0.862127075	0.083906645	-0.182300827	-0.686967761	-0.649681372	-0.845651694	-0.881203832	0.602447584	-0.873399704	-0.621933362	-0.902881965	-0.763274789	-0.699107515	-0.598520979	-0.166692571	-0.484927562	-0.874266829	-0.330579256	-0.765876165	-0.235195471	-0.666156753	1.614382828	-0.935832727	-0.882938082	-0.104259549	-0.095588295	0.24779333	-0.801428303	-0.301964121	-0.234328346	1.186022922	1.088904886	1.571026562	1.321294471	0.018005121	0.75679589	1.298749213	-0.170161073	-0.146748689	4.603363792	-0.562968841	-0.288957241	1.301350589	-0.714715771	0.528741932	-0.775414543	0.419484142	-0.719918523	-0.661821127	-0.431165793	-0.062637533	0.22004532	-0.029686771	0.604181835	-0.626268989	-0.399082156	1.772199635	0.096913525	-0.08171429	-0.392145154	1.583166316	-0.579444222	-0.742463781	0.085640896	1.460901647	-0.643611495	-0.891609336	-0.900280589	0.286813969	-0.90374909	-0.640142994	-0.871665453	-0.159755569	0.098647775	-0.738128155	-0.513542698	-0.907217591	0.085640896	-0.427697291	-0.76674329	-0.502270069	0.228716573	-0.429431542	-0.221321466	0.114256031	0.837438545	0.764600018	0.873857808	0.902472943	-0.813568057	1.049884247	-0.75200216	0.239122077	1.633459585	1.515530542	-0.958377985	-0.406886284	-0.16322407	3.587960047	1.780870888	0.475847288	0.021473622	-0.816169433	1.147869408	-1	-1	-1	-1	-1	-1
GJ	-0.971420547	-0.945222715	-0.882109757	-0.386732573	-0.861865978	-0.100938044	0.21938999	3.170218502	-0.529629838	-0.847576251	-0.86782003	0.014570578	0.845756333	-0.262888277	0.145559737	-0.371252036	-0.26884233	0.168185137	-0.660618997	3.602482728	-0.303375836	0.162231085	0.177711622	0.401584003	-0.810661125	-0.041397517	-0.901162725	-0.537965511	-0.615368196	-0.620131439	-0.546301185	-0.882109757	-0.809470314	-0.828523283	-0.031871033	0.334898613	-0.964275684	-0.216446666	0.347997529	-0.673717913	0.567106667	-0.061641296	0.586159636	0.214626748	1.018423861	0.644509352	-0.204538561	0.357524013	-0.637993597	-0.813042746	-0.128326687	-0.189058024	-0.765410324	-0.442700668	0.309891591	-0.300994214	-0.786844914	-0.398640679	-0.197393698	0.751682301	1.335179464	-0.476043363	-0.836858956	2.890378026	0.72786609	-0.466516879	-0.896399483	2.193753862	-0.648710891	-0.928551368	1.445924844	-0.349817446	0.087210021	1.035095209	1.451878897	0.35037915	0.355142392	-0.88925462	0.708813121	1.794832332	2.013941471	0.600449362	0.089591642	-0.33433691	-0.961894063	-0.948795147	-0.510576869	-0.861865978	-0.459372016	-0.71301466	-0.079503454	-0.749929787	-0.929742178	1.37090378	-0.431983374	0.558770994	-0.648710891	-0.951176768	-0.796371398	0.059821378	0.843374712	1.189900579	1.350660001	1.268494074	-0.896399483	-0.330764478	-1	-1	-1	-1	-1	-1
DJ	-0.448112015	-0.848186153	-0.376670205	-0.689228125	2.763197358	-0.587423545	-0.814251293	-0.458828287	2.909653069	8.135621493	-0.367739979	2.723904362	-0.816037338	-0.641004903	-0.530270097	-0.596353772	-0.65350722	-0.726735076	-0.891051239	-0.851758244	0.59315237	-0.837469882	-0.848186153	-0.567777048	-0.823181519	-0.819609429	0.480631519	-0.664223492	-0.553488686	-0.846400108	-0.837469882	-0.82675361	0.114492241	0.996798598	-0.044465787	0.466343157	-0.957134914	-0.866046606	-0.444539925	-0.635646767	1.377226238	-0.817823384	-0.837469882	-0.78924666	0.384185075	-0.744595528	-0.696372306	-0.144484322	-0.053396013	-0.771386207	1.166472898	-0.61957236	1.168258943	0.303813038	-0.573135183	-0.68744208	-0.594567726	3.213280763	-0.348093481	0.03947834	-0.867832651	-0.68744208	1.904109589	-0.460614332	-0.660651401	-0.742809483	-0.69101417	-0.544558459	-0.37845625	1.455812229	0.3181014	-0.782102479	-0.801748976	0.360966486	-0.499907328	-0.632074677	-0.587423545	-0.733879257	0.412761799	-0.703516487	-0.61600027	-0.467758513	-0.869618696	4.358135773	0.344892079	-0.567777048	-0.766028071	-0.696372306	-0.580279364	-0.533842188	-0.505265464	2.666750914	-0.208781951	2.272034912	-0.882121013	-0.941060506	-0.951776778	-0.885693104	3.77945711	-0.833897791	-0.328446983	0.52528265	0.409189708	0.653877909	-0.924986099	3.582992131	-1	-1	-1	-1	-1	-1
US	-0.41609695	-0.760039842	1.605967311	1.626763858	0.286186445	-0.673654186	-0.516880216	-0.129744495	-0.673654186	1.641161468	-0.659256576	-0.744042499	-0.734444092	-0.648058436	0.914882057	0.705316853	0.732512338	0.054224959	0.070222303	-0.556873576	2.457026003	-0.406498544	-0.53287756	-0.625662154	-0.881619656	-0.873620984	2.287454159	-0.721646217	0.695718447	-0.68965153	-0.620862951	-0.179336261	-0.827228687	0.017431068	1.420398123	-0.683252592	-0.841626296	-0.680053123	-0.628861623	-0.531277826	-0.62406242	-0.579269857	-0.539276497	-0.729644889	-0.137743167	3.498453087	1.447593607	0.758108088	-0.761639577	1.370806357	0.004633193	0.319780867	-0.158539714	0.044626553	0.746909947	-0.569671451	-0.556873576	1.273222559	5.250162237	-0.601666138	0.239794147	-0.668854983	-0.569671451	3.869591464	-0.574470654	-0.486485263	-0.430494559	-0.366505184	0.494151914	5.187772596	1.713149515	-0.006564948	-0.736043827	1.601168108	-0.732844358	-0.732844358	-0.331311028	-0.137743167	-0.841626296	0.574138634	-0.670454717	-0.548874904	-0.788835061	0.774105432	-0.732844358	-0.76643878	-0.870421515	-0.795233999	-0.776037186	-0.387301731	-0.897616999	-0.838426827	-0.921613015	-0.85762364	-0.931211421	-0.419296419	-0.915214078	-0.472087653	0.434961742	0.966073558	-0.894417531	-0.83202789	-0.897616999	-0.158539714	-0.940809828	-0.660856311	-1	-1	-1	-1	-1	-1
SJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.704642208	12.87925899	0.122615329	-0.255851798	2.684940065	2.376796222	-0.345354159	1.252902288	-0.127991282	-0.239229931	0.027998547	-0.044881947	-0.690577552	-0.547373774	-0.939905558	0.240247003	2.213134762	0.686480203	-0.923283691	-0.932233927	-0.75450781	0.01137668	-0.8759753	2.309030149	-0.898990193	-0.948855794	0.382172176	1.682513622	2.80512895	-0.71998547	0.139237196	-0.709756629	-0.914333454	-0.14717036	-0.933512532	0.65579368	1.903712314	1.641598256	0.535604795	0.337420995	0.917907737	0.122615329	-0.991049764	-0.955248819	0.131565565	0.451216854	-0.953970214	-0.116483836	-0.232836905	-0.6777915	0.969051943	-0.909219034	1.639041046	0.079142753	-0.971870687	-0.965477661	-0.953970214	-0.104976389	-0.964199056	-0.95780603	-0.906661823	-0.578060298	-0.928398111	-0.969313476	-0.900268798	2.587766073	-0.317224846	-0.969313476	2.812800581	-0.722542681	-0.961641845	-0.906661823	-0.951413004	-0.961641845	-0.975706502	-0.909219034	-0.971870687	-0.213657828	-0.987213948	-0.985935343	-0.948855794	-0.363254631	-0.966756266	-0.96036324	-0.939905558	-0.975706502	-0.974427897	-0.943741373	-1	-1	-1	-1	-1	-1
