구분(1)	2007. 01	2007. 02	2007. 03	2007. 04	2007. 05	2007. 06	2007. 07	2007. 08	2007. 09	2007. 10	2007. 11	2007. 12	2008. 01	2008. 02	2008. 03	2008. 04	2008. 05	2008. 06	2008. 07	2008. 08	2008. 09	2008. 10	2008. 11	2008. 12	2009. 01	2009. 02	2009. 03	2009. 04	2009. 05	2009. 06	2009. 07	2009. 08	2009. 09	2009. 10	2009. 11	2009. 12	2010. 01	2010. 02	2010. 03	2010. 04	2010. 05	2010. 06	2010. 07	2010. 08	2010. 09	2010. 10	2010. 11	2010. 12	2011. 01	2011. 02	2011. 03	2011. 04	2011. 05	2011. 06	2011. 07	2011. 08	2011. 09	2011. 10	2011. 11	2011. 12	2012. 01	2012. 02	2012. 03	2012. 04	2012. 05	2012. 06	2012. 07	2012. 08	2012. 09	2012. 10	2012. 11	2012. 12	2013. 01	2013. 02	2013. 03	2013. 04	2013. 05	2013. 06	2013. 07	2013. 08	2013. 09	2013. 10	2013. 11	2013. 12	2014. 01	2014. 02	2014. 03	2014. 04	2014. 05	2014. 06	2014. 07	2014. 08	2014. 09	2014. 10	2014. 11	2014. 12	2015. 01	2015. 02	2015. 03	2015. 04	2015. 05	2015. 06	2015. 07	2015. 08	2015. 09	2015. 10	2015. 11	2015. 12	2016. 01	2016. 02	2016. 03	2016. 04	2016. 05	2016. 06	2016. 07	2016. 08	2016. 09	2016. 10	2016. 11	2016. 12	2017. 01	2017. 02	2017. 03	2017. 04	2017. 05	2017. 06	2017. 07	2017. 08	2017. 09	2017. 10	2017. 11	2017. 12	2018. 01	2018. 02	2018. 03	2018. 04	2018. 05	2018. 06	2018. 07	2018. 08	2018. 09	2018. 10	2018. 11	2018. 12	2019. 01	2019. 02	2019. 03	2019. 04	2019. 05	2019. 06	2019. 07	2019. 08	2019. 09	2019. 10
서울	697	590	687	685	704	778	840	730	724	977	1,081	454	524	788	799	764	1,016	1,090	1,437	1,491	1,530	1,981	2,263	2,486	2,511	2,460	2,459	2,295	2,136	2,085	2,060	1,960	1,887	1,778	1,814	1,803	1,803	1,813	1,658	1,575	1,957	1,979	1,941	2,085	2,169	2,506	2,842	2,729	2,269	2,216	2,104	1,855	1,785	1,825	1,826	1,767	1,776	1,821	1,801	1,861	1,890	1,703	1,732	1,691	1,703	1,698	3,146	3,847	3,754	3,700	3,594	3,481	3,415	3,308	3,168	3,035	2,908	2,722	2,581	3,970	4,331	3,808	3,568	3,157	2,905	2,734	2,259	2,185	2,241	2,601	2,492	2,362	1,797	1,724	1,522	1,356	1,497	1,238	1,064	987	976	638	482	317	251	264	241	494	737	884	788	651	507	409	426	372	327	283	268	274	205	187	200	157	119	64	41	39	75	56	68	45	45	48	48	47	47	47	42	39	29	28	28	27	27	50	770	292	178	123	190	205	207	191
부산	8,680	8,576	8,548	8,074	7,964	9,212	9,557	9,925	10,739	12,012	11,213	11,502	10,860	12,184	13,289	13,642	12,611	11,542	13,612	12,971	12,619	12,407	14,292	13,997	13,882	13,763	13,828	14,790	13,602	12,685	12,253	11,451	10,436	9,891	9,287	9,200	8,279	7,657	7,595	7,814	7,272	6,910	6,747	6,131	5,223	6,051	4,136	3,458	3,064	2,824	2,734	2,305	2,671	2,682	3,158	3,046	2,842	3,008	2,887	4,193	3,909	3,970	4,191	4,063	4,014	4,448	5,630	5,484	5,393	5,261	5,199	5,784	6,985	6,568	6,896	6,131	5,485	4,956	4,575	4,848	4,954	4,385	5,350	4,259	4,131	3,433	3,985	3,490	2,962	2,640	2,822	2,227	2,671	2,199	2,375	2,060	1,710	1,515	1,258	935	835	987	1,371	1,044	1,252	1,191	1,074	1,290	1,308	1,217	1,251	1,315	1,253	1,568	1,429	1,364	1,306	1,168	1,110	1,171	1,102	1,041	959	905	836	734	752	738	720	1,473	1,593	1,920	2,291	2,937	2,703	2,427	2,238	2,169	3,266	3,129	3,111	3,205	3,920	4,153	5,224	5,228	5,296	5,401	5,220	4,982	4,855	4,644	4,562	4,380
대구	9,467	9,134	9,189	9,009	10,888	12,489	12,179	12,075	11,944	11,879	12,212	12,199	13,434	15,638	15,557	15,873	16,590	20,535	21,378	21,410	21,403	21,246	21,324	21,379	21,560	21,380	20,402	20,691	19,851	19,257	18,473	17,920	17,043	16,467	16,119	16,009	15,875	16,053	16,002	16,467	16,303	16,389	16,325	16,066	14,743	15,304	14,505	13,163	12,380	11,929	11,325	10,561	9,916	11,577	10,828	10,152	9,861	9,295	9,384	8,672	7,477	6,807	6,104	5,895	5,721	5,564	5,289	5,202	4,993	4,678	3,707	3,288	2,898	2,622	2,347	2,089	1,939	1,760	1,649	1,492	1,602	1,359	1,196	1,234	955	615	523	296	562	367	1,754	1,097	773	788	554	1,013	857	669	483	203	49	27	11	11	108	121	114	2,396	1,806	1,666	1,769	1,638	1,462	1,230	1,225	1,631	1,404	1,135	978	915	828	703	627	529	383	299	237	139	133	125	125	126	143	135	153	230	194	506	1,345	945	745	575	429	362	291	738	706	1,585	1,814	1,739	1,818	1,736	1,550	1,362
인천	243	312	266	219	362	883	797	635	507	330	308	527	509	1,487	1,594	1,365	1,116	1,099	1,026	976	933	921	1,492	1,647	1,605	2,320	2,101	2,157	2,016	1,840	1,702	1,664	1,541	1,432	4,578	4,539	3,591	3,046	3,033	2,949	3,341	4,320	4,344	3,741	3,847	4,127	4,100	4,265	4,474	4,173	3,823	3,438	3,945	3,821	3,749	3,730	3,783	3,724	3,873	3,642	3,532	3,694	3,802	3,829	4,002	4,058	4,212	4,212	4,420	4,181	4,059	4,026	4,637	4,478	5,080	5,068	4,920	5,223	5,281	5,130	4,840	4,335	4,222	5,275	7,267	6,891	6,314	5,933	7,443	6,979	6,418	5,512	4,640	3,996	3,713	3,735	3,257	2,991	2,846	2,547	2,998	2,529	2,440	3,144	2,764	2,802	4,528	4,206	4,036	3,596	3,465	3,329	3,108	3,179	3,724	3,124	2,398	2,830	3,571	3,053	3,641	3,335	4,501	3,703	3,158	3,057	2,516	2,081	2,291	1,908	1,751	1,549	1,192	1,246	1,237	1,311	1,186	1,327	1,260	1,208	1,135	1,122	1,394	1,324	1,357	1,799	2,454	2,105	3,478	3,632	2,778	1,557	1,046	836
광주	7,005	6,246	5,905	5,829	7,842	8,272	7,186	7,433	7,294	7,600	7,911	7,940	8,009	7,779	8,009	7,279	6,952	7,490	10,774	11,043	10,628	11,323	12,672	12,384	12,395	12,669	12,821	11,384	8,565	8,209	7,264	6,799	6,102	5,751	4,974	4,678	4,304	3,889	3,457	3,775	3,824	2,822	2,859	2,474	2,150	1,899	2,359	1,809	1,259	964	805	717	721	655	682	458	619	806	770	784	865	818	1,142	940	1,104	1,108	1,313	3,051	3,017	2,792	3,608	3,348	3,369	3,235	1,612	1,471	1,350	1,233	1,116	1,064	913	817	377	323	340	206	483	129	127	117	657	410	268	186	172	247	252	141	109	91	120	189	183	190	260	269	298	735	672	711	764	812	1,049	1,095	931	906	1,090	877	691	554	818	764	696	1,392	1,326	804	797	766	769	781	796	707	562	431	383	366	338	317	266	240	194	194	75	58	52	49	45	40	40	39	39	181	139	95
대전	819	803	1,048	1,020	957	1,179	1,191	1,478	2,095	2,088	2,017	1,881	2,442	2,414	2,890	2,343	2,270	3,076	3,000	2,718	2,619	2,788	4,008	3,802	3,715	3,676	3,360	3,169	3,012	3,696	3,428	3,150	3,300	2,928	2,776	3,101	3,042	2,839	2,768	2,662	2,508	2,987	2,880	2,741	2,639	2,461	2,357	2,205	2,068	1,847	1,651	1,530	1,272	1,629	1,189	997	913	854	1,482	1,557	1,400	1,301	1,227	1,192	1,179	1,228	1,197	1,501	1,561	1,377	1,484	1,441	1,404	1,300	1,303	1,399	1,253	1,187	1,163	1,066	981	876	989	1,146	867	740	669	608	573	531	590	827	650	562	669	444	456	424	478	457	432	780	1,322	909	809	552	1,067	1,243	1,038	866	759	684	812	767	740	859	693	730	606	644	551	726	998	935	888	1,073	1,083	1,093	945	854	1,062	759	1,084	1,210	740	843	888	1,035	973	978	948	990	1,426	1,183	1,407	1,475	1,475	1,225	1,137	1,158	1,048	1,018	964	935
울산	1,180	1,210	1,687	1,521	1,500	1,528	1,741	1,564	3,240	3,590	3,536	7,672	6,922	7,350	8,496	9,105	9,575	9,633	9,718	9,728	9,520	9,449	9,471	9,569	9,486	9,668	9,577	9,084	7,991	8,032	7,962	7,769	7,478	7,488	8,025	7,106	7,041	6,930	6,482	6,362	6,401	6,392	6,128	6,085	5,994	5,841	5,680	5,575	5,472	5,567	5,469	5,354	5,419	5,200	5,014	4,942	4,713	4,501	3,780	3,510	3,363	3,507	3,144	2,916	3,549	3,047	3,291	2,975	3,018	3,071	3,474	3,659	3,245	3,035	2,792	2,438	2,210	1,924	1,830	1,685	2,816	2,499	2,895	3,310	2,943	2,559	2,081	1,709	1,467	1,115	806	555	409	342	307	258	329	309	250	118	98	96	125	105	94	89	365	437	857	668	627	593	1,609	1,037	907	701	605	526	509	481	682	811	789	736	713	873	869	898	872	866	849	855	1,089	837	830	1,008	1,004	1,004	1,006	1,005	1,007	1,010	1,009	997	1,006	1,009	1,008	1,076	1,085	1,201	1,359	1,339	1,345	1,012
세종	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	50	42	21	3	0	0	0	102	721	424	619	414	739	180	43	14	158	54	4	4	4	211	267	302	1,344	897	697	313	61	433	295	84	0	0	0	0	0	0	0	0	16	16	4	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0	0	0	0	0	-	0	0	0	0	0	0
경기	819	3,361	2,579	2,488	2,488	3,899	3,883	4,452	7,906	8,573	9,453	13,643	20,691	21,178	20,685	18,104	17,661	16,733	20,514	19,922	22,455	22,360	22,111	22,795	21,415	20,405	24,040	24,704	23,192	21,699	20,248	19,738	17,534	16,638	16,473	19,325	20,432	22,467	21,408	21,386	22,349	21,969	21,866	22,326	23,185	22,701	22,247	22,418	22,153	21,028	21,162	19,715	21,303	21,579	20,819	22,137	21,724	21,556	21,595	22,378	23,539	22,206	21,427	20,595	20,890	21,173	22,034	21,938	21,864	24,567	26,732	25,040	25,732	25,888	24,511	25,164	24,941	24,556	27,464	27,803	25,500	28,399	26,413	24,760	22,525	19,653	17,509	16,174	19,362	20,632	17,887	15,340	13,505	13,999	14,539	14,723	14,201	12,695	10,285	10,976	10,458	12,927	13,014	12,428	11,534	12,510	21,809	25,937	24,276	20,491	19,047	18,365	17,272	19,737	17,243	17,860	16,296	14,594	14,396	13,362	15,092	14,492	14,465	13,309	11,958	11,229	9,560	7,596	7,945	7,912	8,375	8,793	8,611	8,676	7,422	9,003	8,600	8,134	7,530	7,287	6,487	5,529	5,078	4,968	6,769	5,878	7,305	7,048	6,562	7,853	7,821	8,569	8,413	6,976
강원	5,312	5,344	5,801	5,460	5,212	6,642	6,850	6,625	6,558	6,673	6,739	7,114	6,861	6,583	6,239	6,264	6,217	11,246	10,769	10,377	10,125	9,383	10,930	10,581	10,072	9,940	9,780	9,746	9,249	8,987	8,788	8,577	7,817	7,530	7,353	7,157	5,691	5,416	5,274	5,108	5,105	5,009	4,741	4,556	4,413	4,163	3,988	3,837	3,720	3,544	3,376	3,252	3,363	3,214	3,114	2,922	2,690	2,460	2,207	2,244	2,318	2,642	2,567	3,034	2,809	3,086	3,244	3,184	3,616	3,769	4,367	4,421	4,159	4,220	3,846	4,149	3,751	3,461	3,582	3,446	3,572	3,283	3,156	3,055	2,936	3,049	2,899	2,840	2,413	2,275	2,169	1,739	1,630	3,357	3,086	3,054	2,930	2,850	2,703	2,577	2,946	3,373	2,089	1,766	1,761	1,641	1,937	1,876	2,264	2,271	1,863	2,097	1,943	2,127	3,061	2,678	2,874	2,479	3,605	3,314	3,466	3,281	3,064	3,297	3,013	3,019	2,655	2,316	3,094	2,701	2,474	2,816	2,693	4,636	5,215	5,038	4,883	4,729	4,906	5,240	5,112	5,350	5,300	5,736	5,589	5,802	5,748	7,882	7,776	7,712	7,474	8,097	7,797	7,382
