Date Time	MM	Price_index	Unsold	Permits	JS	JS_Ratio	Mort_Int	Completed	Starts	Reg
2003. 11	-0.449	74.18	-	6663	-1.025	56.9	6.04	-	-	GG
2003. 12	-0.451	74.578	-	34008	-0.414	56.6	6.28	-	-	GG
2004. 01	0.151	74.91	-	1795	0.208	56.6	6.29	-	-	GG
2004. 02	0.302	75.242	-	6977	0.622	56.8	6.15	-	-	GG
2004. 03	0.301	76.039	-	2171	0.206	57.2	5.98	-	-	GG
2004. 04	-0.15	76.039	-	4105	-0.206	57.2	6.03	-	-	GG
2004. 05	-0.45	76.039	-	6392	-0.825	57.2	6.01	-	-	GG
2004. 06	-0.452	75.972	-	10604	-1.247	57.1	5.99	-	-	GG
2004. 07	-0.606	76.504	-	11658	-1.474	56.7	5.93	-	-	GG
2004. 08	-0.457	77.035	-	7862	-0.855	56.2	5.8	-	-	GG
2004. 09	-0.459	77.035	-	7257	-0.647	56.2	5.63	-	-	GG
2004. 10	-0.615	77.168	-	16921	-1.085	56.2	5.57	-	-	GG
2004. 11	-0.619	76.77	-	3770	-1.316	55.8	5.47	-	-	GG
2004. 12	-0.467	76.835	-	45645	-0.667	53.4	5.41	-	-	GG
2005. 01	0.626	77.545	-	15318	0.895	53.2	5.45	-	-	GG
2005. 02	0.778	77.78	-	1330	1.33	53.3	5.53	-	-	GG
2005. 03	0.772	78.485	-	5107	1.313	53.5	5.48	-	-	GG
2005. 04	0.919	78.408	-	2429	0.864	53.7	5.32	-	-	GG
2005. 05	2.276	78.329	-	27859	1.499	53.7	5.15	-	-	GG
2005. 06	1.78	78.093	-	3979	0.633	53.4	5.13	-	-	GG
2005. 07	0.437	78.408	-	6131	1.048	53	5.18	-	-	GG
2005. 08	0.145	78.642	-	5999	1.867	53	5.26	-	-	GG
2005. 09	-0.145	78.956	-	5271	1.426	53.6	5.36	-	-	GG
2005. 10	-0.145	78.878	-	8230	0.602	54.2	5.61	-	-	GG
2005. 11	0	78.564	-	1739	0.2	54.7	5.59	-	-	GG
2005. 12	0.436	78.878	-	45124	0.199	54.7	5.6	-	-	GG
2006. 01	0.868	79.349	-	11212	0.795	54.7	5.64	-	-	GG
2006. 02	1.004	79.505	-	6630	1.183	54.9	5.58	-	-	GG
2006. 03	1.563	80.132	-	4303	0.78	54.9	5.46	-	-	GG
2006. 04	2.238	80.289	-	5533	0.774	54.6	5.42	-	-	GG
2006. 05	1.368	80.367	-	2672	0.192	53.9	5.41	-	-	GG
