Date Time,Permits,Starts,Completed,Unsold,MM,JS,MG,JSratio,JW,Interest,Reg
1999. 01,2.684996298223145,,,,,,0.33734345877172167,,,6.35,GN
1999. 02,2.150782375540257,,,,,,-0.167478450593872,,,5.65,GN
1999. 03,0.629694753481669,,,,,,0.08393999053768475,,,5.03,GN
1999. 04,0.04750780374579583,,,,,,-0.16552268723806218,,,4.82,GN
1999. 05,-0.6525557267488415,,,,,,0.9195156912379154,,,4.8,GN
1999. 06,-1.694941071714425,,,,,,0.8385776257102684,,,4.81,GN
1999. 07,-3.361661097326719,,,,,,0.6711204194884912,,,4.84,GN
1999. 08,-3.1108306987353953,,,,,,0.6424308853976379,,,4.75,GN
1999. 09,-3.3668010645109674,,,,,,0.9658822992562044,,,4.74,GN
1999. 10,-4.099760384984795,,,,,,1.372009187289902,,,4.75,GN
1999. 11,-4.430774271650394,,,,,,1.2199213150751786,,,4.75,GN
1999. 12,-5.232609152393151,,,,,,1.4922165249163122,,,4.77,GN
2000. 01,-9.453207539619019,,,,,,2.1608643457383225,,,4.77,GN
2000. 02,-9.941161757643671,,,,,,1.5249016438439789,,,5.0,GN
2000. 03,-10.024429226028495,,,,,,1.8815691404408197,,,5.1,GN
2000. 04,-10.078912878181528,,,,,,2.6200873362445476,,,5.1,GN
2000. 05,-9.94253241555947,,,,,,2.6720390202523703,,,5.13,GN
2000. 06,-9.860635605090446,,,,,,2.016643382129635,,,5.14,GN
2000. 07,-9.011170361773654,,,,,,2.3264256542126605,,,5.16,GN
2000. 08,-5.656142448375223,,,,,,3.121516164994431,,,5.17,GN
2000. 09,-6.170824495757967,,,,,,3.3085752869682628,,,5.16,GN
2000. 10,-6.176307127421165,,,,,,4.429178342221807,,,5.36,GN
2000. 11,-6.178705778773814,,,,,,5.257903494176364,,,5.38,GN
2000. 12,-7.24370697935009,,,,,,4.733496037843854,,,5.39,GN
2001. 01,-7.550734352489197,,,,,,4.618642794917238,,,5.32,GN
2001. 02,-7.744339783095889,,,,,,4.09077336518362,,,5.13,GN
2001. 03,-7.535657115415402,,,,,,3.0508724140469567,,,5.03,GN
2001. 04,-7.547307707699699,,,,,,2.860683672415565,,,5.01,GN
2001. 05,-7.0521575356170985,,,,,,3.780887168800229,,,5.02,GN
2001. 06,-6.4034936769649455,,,,,,2.468661305581832,,,5.02,GN
2001. 07,-6.100920942052188,,,,,,1.4638422205989654,,,4.81,GN
2001. 08,-6.164313870657919,,,,,,1.6514161220043677,,,4.6,GN
2001. 09,-6.077619757483596,,,,,,1.4483972416976965,,,4.33,GN
2001. 10,-5.807942812550028,,,,,,1.4413818871612083,,,4.02,GN
2001. 11,-2.7496623379222065,,,,,,2.114499424626004,,,4.03,GN
2001. 12,-2.2130497638866693,,,,,,2.4004709057757756,,,4.01,GN
2002. 01,-2.6153378621738472,,,,,,2.108433734939763,,,3.99,GN
2002. 02,-2.3065971666399907,,,,,,1.3373912297998336,,,4.02,GN
2002. 03,-1.624009524571798,,,,,,2.588927137119912,,,4.03,GN
2002. 04,-1.449250640307351,,,,,,3.2601835915088806,,,4.03,GN
2002. 05,-0.5391337842164273,,,,,,3.279090568106424,,,4.26,GN
2002. 06,0.26578507683687824,,,,,,3.177734262512222,,,4.31,GN
2002. 07,0.21712672082599305,,,,,,2.866246588652177,,,4.29,GN
2002. 08,-2.6506323035056862,,,,,,3.2322743949261934,,,4.31,GN
2002. 09,-2.4573695373779447,,,,,,3.8830412670529446,,,4.33,GN
2002. 10,-0.8160066832079432,,,,,,4.331595999436555,,,4.33,GN
2002. 11,-1.086368957099411,,,,,,3.3732912723449138,,,4.31,GN
2002. 12,1.3263316391868065,,,,,,3.381092850119405,,,4.33,GN
2003. 01,1.1227889386905683,,,,,,3.2979428394174004,,,4.3,GN
2003. 02,1.5103424643829007,,,,,,2.615868577420466,,,4.32,GN
2003. 03,1.6785907235472997,,,,,,2.227994388343313,,,4.25,GN
2003. 04,1.8605455618696944,,,,,,3.828693550865303,,,4.26,GN
2003. 05,2.0719695453817804,,,,,,4.0106616056601485,,,4.09,GN
2003. 06,2.8786017288298353,,,,,,2.9697331685025086,,,4.03,GN
2003. 07,4.054968885064828,,,,,,2.577312487085903,,,3.85,GN
2003. 08,4.225273131102926,,,,,,2.368744033819703,,,3.77,GN
2003. 09,3.9412042780534624,,,,,,1.8051711334638565,,,3.76,GN
2003. 10,4.356856291019686,,,,,,3.2618572920481315,,,3.77,GN
2003. 11,1.4795026612774103,,,,,,3.269154992730683,,,3.8,GN
2003. 12,2.447187149831916,,,,,,3.5598263765663107,,,3.79,GN
2004. 01,2.1562650072034546,,,,,,3.370755899504063,,,3.8,GN
2004. 02,1.7241650992476358,,,,,,3.4498688805250532,,,3.78,GN
2004. 03,1.095033115895627,,,,,,3.507237797987406,,,3.77,GN
2004. 04,0.874357191451894,,,,,,3.0496558571371013,,,3.77,GN
2004. 05,0.8938890667520379,,,,1.8151815181518094,-1.5817223198594021,3.4277158004073716,,,3.77,GN
2004. 06,1.252658776212579,,,,2.1523178807947074,-0.8849557522123908,2.2426342223296647,,,3.78,GN
2004. 07,0.38503231551144246,,,,2.3255813953488413,-1.2389380530973493,1.6039005155394692,,,3.78,GN
2004. 08,0.2147280694733442,,,,1.81818181818183,-1.590106007067138,2.450863372324341,,,3.62,GN
2004. 09,0.01940931647190358,,,,1.4802631578947567,-2.284710017574687,1.8729641693810972,,,3.53,GN
2004. 10,-0.7903068472867005,,,,1.6366612111292866,-1.9298245614035148,2.7709432522400324,,,3.53,GN
2004. 11,-0.2639742076196604,,,,1.9575856443719397,-1.7574692442882234,3.0539080005272057,,,3.36,GN
2004. 12,0.2842889587001731,,,,2.6058631921824116,-1.4109347442680886,2.8482931329906425,,,3.28,GN
2005. 01,0.5334060348967475,,,,2.759740259740262,-1.4134275618374659,2.0791741094882576,,,3.27,GN
2005. 02,0.7828657755722719,,,,3.5714285714285587,-0.7117437722420017,1.5206852181598451,,,3.27,GN
2005. 03,0.9435754161997731,,,,3.5598705501618255,-0.7130124777183555,1.8995911777725638,,,3.25,GN
2005. 04,0.5344340283335974,,,,4.051863857374394,-0.357142857142867,2.689378130217035,,,3.26,GN
2005. 05,0.5570498839442906,,,,4.213938411669349,0.0,3.309866554586516,,,3.3,GN
2005. 06,0.2448825436209353,,,,4.220779220779214,0.5376344086021501,2.5120950295656197,,,3.28,GN
2005. 07,-1.3779764286857719,,,,4.383116883116878,0.8976660682226134,1.7190938511326914,,,3.25,GN
2005. 08,-1.8313215343364844,,,,4.538087520259304,1.4388489208633004,1.8127433537041382,,,3.25,GN
2005. 09,-1.5376580758764233,,,,4.025764895330108,1.2522361359570633,1.199605679243132,,,3.25,GN
2005. 10,-0.85712642068193,,,,3.6799999999999944,1.610017889087656,1.5987312468824788,,,3.44,GN
2005. 11,-0.4161172362734139,,,,3.0158730158730274,1.9677996422182487,1.8018479834937207,,,3.5,GN
2005. 12,2.2566656995357746,,,,2.843601895734582,2.6881720430107503,2.5116123470451335,,,3.69,GN
2006. 01,3.2126995958059843,,,,2.0376175548589393,2.8673835125448077,1.800048649963526,,,3.75,GN
2006. 02,3.3644999599807885,,,,1.4062500000000089,2.872531418312385,1.9970612662109533,,,3.92,GN
2006. 03,4.352744317272288,,,,1.0903426791277315,3.046594982078865,2.0829628876978257,,,3.98,GN
2006. 04,4.212937209860731,,,,0.9331259720062324,3.035714285714297,2.2833604556550036,,,3.97,GN
2006. 05,5.4252841363854625,,,,1.0903426791277315,3.208556149732611,2.298336040518234,,,3.96,GN
2006. 06,5.707982331519126,,,,1.244167962674947,3.380782918149472,1.0931812975641941,,,4.16,GN
2006. 07,6.4752080998879435,,,,1.2403100775193687,3.1914893617021267,1.2865971026238432,,,4.21,GN
2006. 08,6.136655594685447,,,,1.2383900928792713,3.3568904593639592,1.4826809705740907,,,4.42,GN
2006. 09,7.952777333119895,,,,1.0802469135802406,3.169014084507049,1.3759331293981436,,,4.48,GN
2006. 10,7.374017028173522,,,,0.7704160246533087,3.5087719298245723,1.9663381044097816,,,4.48,GN
2006. 11,7.692009664639025,,,,0.6144393241167556,3.4904013961605695,1.9605628145749288,,,4.47,GN
2006. 12,5.880342564430925,,,,0.7680491551459223,3.832752613240431,2.2599509526504358,,,4.49,GN
2007. 01,5.720318252761323,,,,0.9244992295839749,4.188481675392675,1.955454226587161,,,4.63,GN
2007. 02,5.528426144549381,,,,0.9244992295839749,4.347826086956519,1.555229303008443,,,4.6,GN
2007. 03,5.523628841844083,,,,0.9244992295839749,4.159445407279017,1.5537214736737415,,,4.6,GN
2007. 04,5.511292920601886,,,,1.232665639445285,4.317789291882557,2.8305661132226323,,,4.68,GN
2007. 05,6.044821514326874,,,,1.0752688172043001,4.302925989672968,3.7362941702229424,,,4.62,GN
2007. 06,5.152180546662396,,,,1.071975497702904,4.639175257731942,2.929335867173455,,,4.54,GN
2007. 07,5.164859132383542,,,,1.2232415902140525,4.444444444444451,3.0192724824852135,,,4.67,GN
2007. 08,5.970463322394747,,,,1.2213740458015154,4.436860068259385,3.1044331305103645,,,4.91,GN
2007. 09,5.978687269889545,,,,1.5290519877675823,4.067796610169494,3.2790528278126896,,,4.97,GN
2007. 10,5.252238574515765,,,,1.6793893129770865,4.047217537942682,4.038998929006676,,,5.0,GN
2007. 11,4.67519159196414,,,,2.1341463414634276,4.530201342281881,4.609405745769379,,,5.0,GN
2007. 12,2.0486683608131875,,,,2.595419847328251,4.522613065326619,5.3754192827040415,,,4.99,GN
2008. 01,1.4305016407875752,,,,3.358778625954195,4.333333333333345,6.124424188964017,,,4.99,GN
2008. 02,1.1340968664959152,,,,3.511450381679393,4.492512479201327,6.597145724706888,,,4.97,GN
2008. 03,0.009129382103406858,,,,3.8051750380517557,4.635761589403975,5.6986188113996805,,,4.97,GN
2008. 04,-0.14301364655034698,,,,4.407294832826758,4.950495049504955,5.307930344032519,,,4.99,GN
2008. 05,-1.2189801104530202,,,,4.8484848484848575,5.254515599343179,5.312959296464093,,,4.99,GN
2008. 06,-1.605162978229553,,,,4.682779456193353,5.56464811783961,4.440948693126812,,,4.93,GN
2008. 07,-2.4032285497038606,,,,4.223227752639502,5.392156862745101,3.7624954835601576,,,4.98,GN
2008. 08,-2.442292300304149,,,,4.066265060240948,4.885993485342022,3.1737493275954876,,,5.21,GN
2008. 09,-3.9099242636465528,,,,3.603603603603611,4.538087520259304,3.0503821852001067,,,5.21,GN
2008. 10,-3.7872503801824897,,,,3.432835820895508,3.8523274478330816,3.4893016694098167,,,4.89,GN
2008. 11,-4.103187029774293,,,,3.125,4.006410256410264,2.9138099902056736,,,4.0,GN
2008. 12,-4.852594245237715,,,14.354872572163023,2.6587887740029403,3.833865814696491,1.8032162358726955,,,3.27,GN
2009. 01,-5.321701916920122,,,14.866212292676932,2.6548672566371723,3.6624203821655987,1.1654342534331619,65.6,,2.43,GN
2009. 02,-6.064941171762446,,,15.37090538540712,2.1994134897360684,3.322784810126578,1.7967446943118581,65.7,,2.06,GN
2009. 03,-6.550496738434449,,,15.723739931485456,1.6011644832605532,2.672955974842761,2.2505444865693613,65.8,,1.77,GN
2009. 04,-6.6313655554666235,,,15.986225401588431,1.5895953757225412,2.6521060842433775,2.4324978950646337,65.9,,1.79,GN
2009. 05,-8.065759064350889,,,16.03139993957611,1.8759018759018753,2.635658914728678,2.7146332985748867,65.9,,1.91,GN
2009. 06,-7.6305751760845215,,,16.021936944087418,3.039073806078152,3.56589147286821,3.0828516377649384,66.0,,1.93,GN
2009. 07,-7.909161397470787,,,15.911084711219894,3.328509406657032,4.192546583850909,3.3495539334955415,66.1,,1.94,GN
2009. 08,-8.834355490635506,,,15.727682846272407,3.768115942028971,4.341085271317824,3.3688513296284306,66.1,,1.98,GN
2009. 09,-7.8923708380022415,,,15.449313062313413,4.040404040404044,4.791344667697062,2.4764847548507385,66.2,,1.98,GN
2009. 10,-7.674093564911157,,,15.081270130628253,4.906204906204925,5.701078582434493,2.6171782060433024,66.2,,2.0,GN
2009. 11,-7.766612974227629,,,14.510561378893627,5.611510791366925,6.769230769230772,3.0186539660940204,66.4,,2.0,GN
2009. 12,-9.781480110453018,,,13.816721031097819,6.752873563218387,7.9877112135176676,3.2131385701476223,66.5,,2.0,GN
2010. 01,-9.983309488554507,,,13.094041078003142,7.747489239598271,8.575803981623299,2.5526289026746474,66.7,,2.0,GN
2010. 02,-9.333617636465505,,,12.31379456901893,8.309455587392556,9.494640122511488,2.6923770454852836,66.9,,2.0,GN
2010. 03,-8.95223207139427,,,11.565654651871347,8.392603129445252,9.57446808510638,3.1156401306159376,67.2,,2.01,GN
2010. 04,-8.947092104210023,,,10.807037846861284,9.065155807365443,10.120845921450151,3.812617734312429,67.4,,2.0,GN
2010. 05,-9.67456879302065,,,10.009667822230869,9.41011235955056,10.479041916167663,3.8340276995833866,67.5,,2.01,GN
2010. 06,-10.627176044501361,,,8.75942587064167,11.76470588235292,13.11475409836067,2.969697649129488,67.6,,2.0,GN
2010. 07,-10.978064470946055,,,7.427058636775616,13.547486033519561,14.85884101040118,2.4315197831737523,67.7,,2.2,GN
2010. 08,-10.909874239635027,,,6.158116003625432,14.979195561719848,15.781710914454283,3.336732884001403,67.8,,2.27,GN
2010. 09,-11.047625360172885,,,4.967919011506141,17.0563961485557,17.34693877551021,3.625804599604754,67.9,,2.27,GN
2010. 10,-11.343687469985595,,,3.6894007281590673,20.844686648501366,20.02881844380402,3.9153742005789915,68.1,,2.26,GN
2010. 11,-12.036212381943335,,,2.4363424088649,27.860026917900417,24.751066856330016,3.911456156942106,68.7,,2.37,GN
2010. 12,-11.885782675684329,,,1.047647820899495,27.430093209054608,24.541607898448504,4.221208515139496,68.7,,2.5,GN
2011. 01,-11.555111453497679,,,-0.27322863273029085,28.306878306878325,24.47552447552448,4.003467916287118,68.5,8.5,2.66,GN
2011. 02,-10.754304566191772,,,-1.6009770235601977,28.608923884514436,24.549237170596406,4.082902912303288,68.6,8.5,2.75,GN
2011. 03,-10.025799883944293,,,-2.7938777286762577,28.83116883116883,24.554183813443053,4.261514891397655,68.2,8.5,2.92,GN
2011. 04,-9.11157105410597,,,-4.01178777901243,28.883183568677783,25.067750677506773,3.9570568779482507,67.4,8.5,3.01,GN
