Date Time,MG,MM,JS,JSratio,Permits,Starts,Completed,Unsold,Interest,JW,Reg
1990. 07,7.723860382323333,,,,,,,,,,SO
1990. 08,9.654818426793256,,,,,,,,,,SO
1990. 09,9.44152647737939,,,,,,,,,,SO
1990. 10,9.326749548826951,,,,,,,,,,SO
1990. 11,8.723135271807836,,,,,,,,,,SO
1990. 12,8.266049625836946,,,,,,,,,,SO
1991. 01,8.523979816783434,,,,,,,,,,SO
1991. 02,9.187261893132748,,,,,,,,,,SO
1991. 03,9.417671169750896,,,,,,,,,,SO
1991. 04,9.399206041828045,,,,,,,,5.35,,SO
1991. 05,9.172232536831192,,,,,,,,4.1999999999999975,,SO
1991. 06,8.913475584931874,,,,,,,,4.33,,SO
1991. 07,6.347274557071625,,,,,,,,4.329999999999998,,SO
1991. 08,6.00482240563851,,,,,,,,2.580000000000002,,SO
1991. 09,5.380929454111927,,,,,,,,-1.1400000000000006,,SO
1991. 10,5.813953488372081,,,,,,,,-1.139999999999997,,SO
1991. 11,6.0706652721568055,,,,,,,,-4.140000000000001,,SO
1991. 12,5.935990610752495,,,,,,,,-5.109999999999998,,SO
1992. 01,5.159919481100417,,,,,,,,-3.8200000000000003,,SO
1992. 02,4.577293079753519,,,,,,,,-2.99,,SO
1992. 03,4.7461002323266,,,,,,,,-2.530000000000001,,SO
1992. 04,4.825849769198487,,,,,,,,-0.13000000000000078,,SO
1992. 05,4.182150003298224,,,,,,,,0.4299999999999997,,SO
1992. 06,4.273861660687972,,,,,,,,-0.02000000000000135,,SO
1992. 07,3.893093040549389,,,,,,,,-0.07000000000000028,,SO
1992. 08,4.05099643199025,,,,,,,,-2.960000000000001,,SO
1992. 09,3.747037276449028,,,,,,,,-1.6599999999999984,,SO
1992. 10,4.424247620680788,,,,,,,,-1.3800000000000008,,SO
1992. 11,4.482699846599614,,,,,,,,-2.5199999999999996,,SO
1992. 12,4.647255248101745,,,,,,,,-3.67,,SO
1993. 01,4.80298437864306,,,,,,,,-0.9599999999999991,,SO
1993. 02,4.531051964512023,,,,,,,,-2.4700000000000006,,SO
1993. 03,4.346635202899174,,,,,,,,-2.369999999999999,,SO
1993. 04,4.951351807686621,,,,,,,,0.5600000000000005,,SO
1993. 05,5.295371562440643,,,,,,,,2.8100000000000005,,SO
1993. 06,4.77032545998064,,,,,,,,2.539999999999999,,SO
1993. 07,4.738008614561107,,,,,,,,1.8100000000000005,,SO
1993. 08,5.296060146628179,,,,,,,,1.0199999999999996,,SO
1993. 09,5.400689711798989,,,,,,,,-1.4800000000000004,,SO
1993. 10,5.444535073409473,,,,,,,,-2.459999999999999,,SO
1993. 11,5.180683712044232,,,,,,,,-2.9299999999999997,,SO
1993. 12,4.827586206896561,,,,,,,,-1.58,,SO
1994. 01,5.397595230878061,,,,,,,,-0.16999999999999993,,SO
1994. 02,6.2917718324079,,,,,,,,0.07000000000000028,,SO
1994. 03,6.674442455808727,,,,,,,,0.17999999999999972,,SO
1994. 04,6.003207055522153,,,,,,,,1.9900000000000002,,SO
1994. 05,6.015913840218623,,,,,,,,1.5199999999999996,,SO
1994. 06,5.5757406372275,,,,,,,,2.9000000000000004,,SO
1994. 07,4.1499832343833365,,,,,,,,0.8399999999999999,,SO
1994. 08,3.2952265955167537,,,,,,,,-0.19000000000000128,,SO
1994. 09,3.094179075614001,,,,,,,,0.120000000000001,,SO
1994. 10,4.06175726072926,,,,,,,,1.5099999999999998,,SO
1994. 11,4.526161444667398,,,,,,,,0.629999999999999,,SO
1994. 12,3.9803665925300935,,,,,,,,2.84,,SO
1995. 01,2.610132786231256,,,,,,,,0.5800000000000001,,SO
1995. 02,2.3394789428043516,,,,,,,,-0.19000000000000128,,SO
1995. 03,3.16346790205162,,,,,,,,-0.4900000000000002,,SO
1995. 04,4.226526666919361,,,,,,,,-2.83,,SO
1995. 05,3.4697929469603928,,,,,,,,-3.9499999999999993,,SO
1995. 06,3.530102456299833,,,,,,,,-0.48999999999999844,,SO
1995. 07,3.5784988404758744,,,,,,,,-1.17,,SO
1995. 08,3.661601950853499,,,,,,,,-2.4499999999999993,,SO
1995. 09,2.9190574341262154,,,,,,,,-1.3899999999999988,,SO
1995. 10,3.0030639743068965,,,,,,,,-0.3200000000000003,,SO
1995. 11,3.4997787284260173,,,,,,,,-1.17,,SO
1995. 12,4.619087290567436,,,,,,,,-0.6399999999999988,,SO
1996. 01,4.295687733711562,,,,,,,,-0.7300000000000004,,SO
1996. 02,4.2743502327798,,,,,,,,-1.8499999999999996,,SO
1996. 03,3.74599941809719,,,,,,,,0.4299999999999997,,SO
